times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.82, 0.0)|(1.0, 0.84, 0.0)|(1.0, 0.86, 0.0)|(1.0, 0.88, 0.0)|(1.0, 0.9, 0.0)
0.0|1.0|0.86|0.0|-164054.68041498726|-164053.57051909342|-164052.4732356529|-164051.38856466574|-164050.25344386522
0.2|1.0|0.86|0.0|-164061.3436787902|-164060.5617066832|-164059.8049594828|-164059.07343718913|-164058.26624017544
0.4|1.0|0.86|0.0|-164257.03850480143|-164256.0295085343|-164255.02051226716|-164254.04935336002|-164253.02774463955
0.6|1.0|0.86|0.0|-164351.03250714578|-164350.16224786537|-164349.29198858494|-164348.44695421122|-164347.55147002413
0.8|1.0|0.86|0.0|-164198.11556881422|-164197.16963481376|-164196.2363132667|-164195.34082907962|-164194.36967017248
1.0|1.0|0.86|0.0|-164181.68154211325|-164180.86173264618|-164180.07976053914|-164179.29778843213|-164178.46536651175
1.2|1.0|0.86|0.0|-164375.2904012124|-164374.38230457198|-164373.49943283823|-164372.64178601117|-164371.70846446406
1.4|1.0|0.86|0.0|-163798.42490015138|-163797.7186027644|-163797.0123053774|-163796.3438453504|-163795.5997106034
1.6|1.0|0.86|0.0|-163993.37882400205|-163992.63468925506|-163991.9031669614|-163991.1968695744|-163990.41489746736
1.8|1.0|0.86|0.0|-164023.03070180255|-164022.6901655624|-164022.34962932224|-164022.02170553542|-164021.6685568419
2.0|1.0|0.86|0.0|-164173.3975755559|-164173.04442686238|-164172.7291155289|-164172.42641664876|-164172.06065550193
2.2|1.0|0.86|0.0|-163880.4741960916|-163879.8309609713|-163879.21295075768|-163878.62016545073|-163877.97693033042
2.4|1.0|0.86|0.0|-163981.682677518|-163981.15295447776|-163980.6484563442|-163980.14395821062|-163979.5890102637
2.6|1.0|0.86|0.0|-164045.05064469404|-164044.42002202707|-164043.8146242668|-164043.22183895984|-164042.5659913862
2.8|1.0|0.86|0.0|-164258.82995897686|-164257.80835025638|-164256.79935398925|-164255.81558262877|-164254.76874900164
3.0|1.0|0.86|0.0|-163935.83825098965|-163935.05627888264|-163934.26169432225|-163933.49233466855|-163932.6599127482
3.2|1.0|0.86|0.0|-164161.54588084455|-164160.28463551064|-164159.0486150834|-164157.83781956282|-164156.56396177557
3.4|1.0|0.86|0.0|-164421.63448998876|-164421.00386732182|-164420.42369446822|-164419.84352161462|-164419.20028649428
3.6|1.0|0.86|0.0|-164394.73994441863|-164394.0210345783|-164393.3147371913|-164392.6084398043|-164391.86430505727
3.8|1.0|0.86|0.0|-164545.64621688877|-164544.83901987504|-164544.0444353147|-164543.26246320765|-164542.43004128727
4.0|1.0|0.86|0.0|-164449.6780594307|-164448.7447378836|-164447.8366412432|-164446.94115705608|-164445.9826106023
4.2|1.0|0.86|0.0|-164390.66722417783|-164389.75912753743|-164388.87625580365|-164388.01860897662|-164387.1105123362
4.4|1.0|0.86|0.0|-164393.56025334945|-164393.01791785588|-164392.4755823623|-164391.97108422872|-164391.3909113751
4.6|1.0|0.86|0.0|-164349.58062855562|-164349.34099194218|-164349.11396778206|-164348.88694362197|-164348.6346945552
4.8|1.0|0.86|0.0|-164339.34944176607|-164338.35305795228|-164337.3692865918|-164336.42335259137|-164335.4017438709
5.0|1.0|0.86|0.0|-164319.47221530348|-164318.51366884972|-164317.5551223959|-164316.63441330215|-164315.6506419417
5.2|1.0|0.86|0.0|-164485.5345671935|-164484.7904324465|-164484.04629769945|-164483.34000031246|-164482.57064065876
5.4|1.0|0.86|0.0|-164263.39142652994|-164262.07973138266|-164260.79326114207|-164259.49417844813|-164258.16987084752
5.6|1.0|0.86|0.0|-164336.89281427438|-164336.060392354|-164335.25319534028|-164334.4586107799|-164333.62618885952
5.8|1.0|0.86|0.0|-164379.1066956007|-164378.23643632032|-164377.35356458658|-164376.49591775952|-164375.58782111906
6.0|1.0|0.86|0.0|-164566.30666901066|-164565.82739578377|-164565.37334746358|-164564.93191159668|-164564.44002591647
6.2|1.0|0.86|0.0|-164477.8933711028|-164477.4771601426|-164477.07356163574|-164476.68257558224|-164476.2537521687
6.4|1.0|0.86|0.0|-164368.84609953198|-164367.68575382477|-164366.52540811757|-164365.39028731702|-164364.1921042498
6.6|1.0|0.86|0.0|-164684.80525627307|-164683.21608715234|-164681.63953048494|-164680.07558627086|-164678.47380469678
6.8|1.0|0.86|0.0|-164482.55195452546|-164481.7825948718|-164481.0258476714|-164480.29432537773|-164479.5123532707
7.0|1.0|0.86|0.0|-164409.07585247603|-164407.4614584486|-164405.89751423453|-164404.3335700205|-164402.71917599306
7.2|1.0|0.86|0.0|-164157.11866475546|-164155.70606998145|-164154.3439250208|-164152.9565551535|-164151.53134792618
7.4|1.0|0.86|0.0|-164247.0777436198|-164245.98046017927|-164244.9336265521|-164243.91201783167|-164242.8021219378
7.6|1.0|0.86|0.0|-164323.59961607712|-164322.52755754325|-164321.45549900943|-164320.42127783562|-164319.3239943951
7.8|1.0|0.86|0.0|-164270.55150161724|-164269.56773025676|-164268.609183803|-164267.65063734923|-164266.6542535354
8.0|1.0|0.86|0.0|-164474.82965582827|-164473.58102294768|-164472.3576149738|-164471.15943190656|-164469.89818657262
8.2|1.0|0.86|0.0|-164608.89862789685|-164608.06620597647|-164607.25900896275|-164606.4770368557|-164605.632002482
8.4|1.0|0.86|0.0|-164473.23691856154|-164472.53062117452|-164471.84954869418|-164471.18108866725|-164470.43695392023
8.6|1.0|0.86|0.0|-164498.91381962012|-164498.62373319335|-164498.34625921986|-164498.0940101531|-164497.79131127294
8.8|1.0|0.86|0.0|-164169.39964250106|-164168.34019642056|-164167.28075034008|-164166.24652916624|-164165.16185817905
9.0|1.0|0.86|0.0|-164383.79130131158|-164383.00932920456|-164382.2525820042|-164381.52105971053|-164380.72647515018
9.2|1.0|0.86|0.0|-164554.73811528977|-164554.08226771615|-164553.43903259587|-164552.82102238224|-164552.1399499019
9.4|1.0|0.86|0.0|-164405.337541204|-164404.54295664365|-164403.7609845366|-164402.99162488294|-164402.17181541587
9.6|1.0|0.86|0.0|-164435.99841527164|-164435.65787903147|-164435.32995524467|-164435.02725636453|-164434.64888276436
9.8|1.0|0.86|0.0|-164180.1726685341|-164179.1132224536|-164178.0537763731|-164177.04478010596|-164175.94749666547
10.0|1.0|0.86|0.0|-164432.13186362668|-164430.88323074614|-164429.63459786554|-164428.42380234497|-164427.14994455772
