times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.24, 0.0)|(1.0, 0.26, 0.0)|(1.0, 0.28, 0.0)|(1.0, 0.3, 0.0)|(1.0, 0.32, 0.0)
0.0|1.0|0.28|0.0|-164377.23438687096|-164373.5515504959|-164369.8813265742|-164366.1606528391|-164362.43997910403
0.2|1.0|0.28|0.0|-164516.50573255733|-164513.1760448758|-164509.89680700758|-164506.54189441938|-164503.19959428447
0.4|1.0|0.28|0.0|-164582.86638440963|-164579.22138539463|-164575.6142237396|-164571.93138736454|-164568.27377589617
0.6|1.0|0.28|0.0|-164349.99401764845|-164346.91657903368|-164343.83914041892|-164340.73647689747|-164337.633813376
0.8|1.0|0.28|0.0|-164334.48070004123|-164331.27713689304|-164328.09879865157|-164324.8573981434|-164321.6412225419
1.0|1.0|0.28|0.0|-164563.57171810366|-164560.15374324875|-164556.7609933005|-164553.30518108557|-164549.8745937773
1.2|1.0|0.28|0.0|-164285.9968450143|-164282.40229581264|-164278.8203590643|-164275.20058495595|-164271.59342330092
1.4|1.0|0.28|0.0|-164416.01005620282|-164413.0713545748|-164410.1578778534|-164407.1939513187|-164404.230024784
1.6|1.0|0.28|0.0|-164140.32705111432|-164136.8712388994|-164133.45326404445|-164129.95961446947|-164126.47857734785
1.8|1.0|0.28|0.0|-164585.0604547306|-164581.03708211542|-164577.03893440688|-164573.00294933832|-164568.96696426978
2.0|1.0|0.28|0.0|-164427.6884735351|-164424.23266132013|-164420.78946155854|-164417.29581198355|-164413.81477486194
2.2|1.0|0.28|0.0|-164401.1751478553|-164397.73194809371|-164394.31397323878|-164390.83293611716|-164387.3771239022
2.4|1.0|0.28|0.0|-164221.50778280885|-164218.15287022063|-164214.82318253908|-164211.44304504414|-164208.05029509592
2.6|1.0|0.28|0.0|-164519.4822359515|-164516.53092187011|-164513.60483269545|-164510.62829370738|-164507.65175471932
2.8|1.0|0.28|0.0|-164532.16965551898|-164528.71384330402|-164525.25803108906|-164521.7643815141|-164518.2833443925
3.0|1.0|0.28|0.0|-164587.17160459427|-164583.81669200605|-164580.46177941782|-164577.06902946957|-164573.68889197466
3.2|1.0|0.28|0.0|-164571.4545731978|-164567.64561228934|-164563.87448874093|-164560.05291537914|-164556.2439544707
3.4|1.0|0.28|0.0|-164466.25854756185|-164462.50003646675|-164458.791975185|-164455.00823918323|-164451.23711563484
3.6|1.0|0.28|0.0|-164416.73789725165|-164413.81180807695|-164410.9109438089|-164407.95962972756|-164405.00831564618
3.8|1.0|0.28|0.0|-164380.89440884456|-164377.602558523|-164374.33593310817|-164371.00624542663|-164367.70178265174
4.0|1.0|0.28|0.0|-164297.37637411055|-164294.3746102158|-164291.4106836811|-164288.37108242634|-164285.36931853162
4.2|1.0|0.28|0.0|-164250.4475645635|-164247.34490104206|-164244.26746242726|-164241.1269615458|-164238.01168557102
4.4|1.0|0.28|0.0|-164314.300789692|-164310.8954272904|-164307.5152897955|-164304.08470248725|-164300.6667276323
4.6|1.0|0.28|0.0|-164253.47092723698|-164250.11601464875|-164246.77371451387|-164243.36835211227|-164240.0008270707
4.8|1.0|0.28|0.0|-164353.72106572473|-164349.86165500293|-164346.02746918783|-164342.130221106|-164338.27081038422
5.0|1.0|0.28|0.0|-164458.6295230169|-164455.24938552198|-164451.8818604804|-164448.47649807882|-164445.07113567725
5.2|1.0|0.28|0.0|-164502.48302327734|-164498.56055028882|-164494.63807730033|-164490.66515449848|-164486.7174566033
5.4|1.0|0.28|0.0|-164453.75084176418|-164450.58511597605|-164447.44461509457|-164444.24105194642|-164441.06271370497
5.6|1.0|0.28|0.0|-164625.5910190983|-164622.31178123012|-164619.0703807219|-164615.76591794705|-164612.47406762553
5.8|1.0|0.28|0.0|-164500.67728122673|-164497.17101919846|-164493.66475717013|-164490.10804532847|-164486.57655839348
6.0|1.0|0.28|0.0|-164886.78231530002|-164883.3895653518|-164880.03465276354|-164876.6040654553|-164873.1987030537
6.2|1.0|0.28|0.0|-164461.27314470918|-164458.1326438277|-164455.0173678529|-164451.86425451812|-164448.7111411833
6.4|1.0|0.28|0.0|-164615.5388851336|-164612.20919745206|-164608.8795097705|-164605.49937227558|-164602.131847234
6.6|1.0|0.28|0.0|-164500.9451946085|-164497.4010952202|-164493.85699583188|-164490.2624466302|-164486.6931223352
6.8|1.0|0.28|0.0|-164792.3336647388|-164789.04181441726|-164785.76257654908|-164782.4202764142|-164779.09058873262
7.0|1.0|0.28|0.0|-164591.77965100692|-164588.74004975217|-164585.71306095074|-164582.635622336|-164579.58340862792
7.2|1.0|0.28|0.0|-164681.6445838351|-164678.45363314028|-164675.28790735212|-164672.0338943906|-164668.83033124244
7.4|1.0|0.28|0.0|-164645.40361907473|-164641.9225819531|-164638.42893237813|-164634.89744544314|-164631.3659585082
7.6|1.0|0.28|0.0|-164782.92318347155|-164779.92141957683|-164776.94488058877|-164773.89266688068|-164770.8782905326
7.8|1.0|0.28|0.0|-164600.6429157492|-164597.0105291875|-164593.4033675325|-164589.72053115748|-164586.07553214242
8.0|1.0|0.28|0.0|-164560.85489382356|-164557.6513306754|-164554.4603799806|-164551.23159192575|-164547.97757896423
8.2|1.0|0.28|0.0|-164380.12571455823|-164376.78341442335|-164373.45372674178|-164370.0735892469|-164366.70606420533
8.4|1.0|0.28|0.0|-164425.80802055285|-164422.80625665814|-164419.80449276342|-164416.7522790553|-164413.71267780056
8.6|1.0|0.28|0.0|-164522.01581462438|-164518.53477750276|-164515.0789652878|-164511.5727032595|-164508.07905368457
8.8|1.0|0.28|0.0|-164679.06608360427|-164676.39224349635|-164673.74362829508|-164671.00672592048|-164668.3076609059
9.0|1.0|0.28|0.0|-164625.51049825523|-164621.90333660023|-164618.3213998519|-164614.66378838354|-164611.03140182182
9.2|1.0|0.28|0.0|-164793.9804607599|-164791.13004630522|-164788.2922443039|-164785.4039924892|-164782.54096558123
9.4|1.0|0.28|0.0|-164793.8791912174|-164790.76391524263|-164787.66125172118|-164784.50813838636|-164781.3676375049
9.6|1.0|0.28|0.0|-164666.07720153118|-164662.59616440957|-164659.1277397413|-164655.59625280628|-164652.08999077798
9.8|1.0|0.28|0.0|-164709.50815167194|-164705.81270284357|-164702.14247892183|-164698.40919273344|-164694.68851899836
10.0|1.0|0.28|0.0|-164632.86100326473|-164629.26645406306|-164625.64667995472|-164622.0016809397|-164618.35668192466
10.2|1.0|0.28|0.0|-164407.50063443373|-164404.4862580856|-164401.50971909758|-164398.44489293618|-164395.4305165881
