times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
26.6|1.0|1.0|0.0|-164511.48017878283|-164510.60991950243|-164509.67659795532
26.8|1.0|1.0|0.0|-164456.73430071992|-164456.25502749305|-164455.7379169061
27.0|1.0|1.0|0.0|-164538.309961352|-164537.66672623172|-164536.97304129807
27.2|1.0|1.0|0.0|-164726.52560253307|-164725.80669269274|-164725.03733303907
27.4|1.0|1.0|0.0|-164468.00186664076|-164467.52259341386|-164466.96764546694
27.6|1.0|1.0|0.0|-164489.88447092997|-164489.46825996978|-164489.01421164957
27.8|1.0|1.0|0.0|-164468.32423380783|-164467.97108511432|-164467.56748660747
28.0|1.0|1.0|0.0|-164580.65346693218|-164580.36338050535|-164580.04806917187
28.2|1.0|1.0|0.0|-164735.05328862782|-164734.85148937438|-164734.58662785427
28.4|1.0|1.0|0.0|-164634.23001172618|-164634.1038871928|-164633.90208793935
28.6|1.0|1.0|0.0|-164299.51378359803|-164299.3372092513|-164299.0849601845
28.8|1.0|1.0|0.0|-164591.82890071784|-164591.425302211|-164590.97125389078
29.0|1.0|1.0|0.0|-164422.5501626526|-164422.24746377242|-164421.8817026256
29.2|1.0|1.0|0.0|-164224.1673015816|-164223.86460270145|-164223.5240664613
29.4|1.0|1.0|0.0|-164377.3602485773|-164376.57827647025|-164375.72062964318
29.6|1.0|1.0|0.0|-164299.6660532649|-164299.27506721136|-164298.82101889115
29.8|1.0|1.0|0.0|-164299.1081168552|-164298.729743255|-164298.3009198415
30.0|1.0|1.0|0.0|-164186.5293583494|-164186.1131473892|-164185.62126170896
30.2|1.0|1.0|0.0|-164409.7445575468|-164409.45447111997|-164409.11393487983
30.4|1.0|1.0|0.0|-164440.36812359438|-164440.279836421|-164440.14109943426
30.6|1.0|1.0|0.0|-164075.28689190012|-164075.21121718007|-164075.11031755336
30.8|1.0|1.0|0.0|-164102.35570279043|-164101.62418049673|-164100.85482084306
31.0|1.0|1.0|0.0|-164078.55600333936|-164078.51816597933|-164078.4172663526
31.2|1.0|1.0|0.0|-164159.1117428169|-164159.07390545687|-164158.98561828348
31.4|1.0|1.0|0.0|-164246.55932328574|-164246.1557247789|-164245.70167645864
31.6|1.0|1.0|0.0|-164321.08913659674|-164320.59725091647|-164320.04230296958
31.8|1.0|1.0|0.0|-163909.39343469817|-163908.87632411125|-163908.308763711
32.0|1.0|1.0|0.0|-163864.74292866612|-163864.27626789256|-163863.74654485233
32.2|1.0|1.0|0.0|-163984.0706194867|-163983.91927004664|-163983.73008324654
32.4|1.0|1.0|0.0|-164061.98469745432|-164061.7576732942|-164061.48019932077
32.6|1.0|1.0|0.0|-164188.3346288264|-164187.79229333284|-164187.18689557255
32.8|1.0|1.0|0.0|-163988.74866713968|-163988.14326937942|-163987.47480935242
33.0|1.0|1.0|0.0|-163742.43781416854|-163741.92070358162|-163741.3657556347
33.2|1.0|1.0|0.0|-163970.6097075282|-163970.06737203462|-163969.46197427434
33.4|1.0|1.0|0.0|-164258.93812344558|-164258.73632419214|-164258.45885021868
33.6|1.0|1.0|0.0|-164312.35038668595|-164311.55580212557|-164310.68554284517
33.8|1.0|1.0|0.0|-164365.6632269508|-164364.94431711046|-164364.16234500342
34.0|1.0|1.0|0.0|-164442.94385782332|-164442.27539779636|-164441.556487956
34.2|1.0|1.0|0.0|-163897.07687730223|-163897.1021022089|-163897.08948975557
34.4|1.0|1.0|0.0|-163865.42080456205|-163865.04243096185|-163864.58838264164
34.6|1.0|1.0|0.0|-164392.6213541411|-164391.8519944874|-164391.04479747367
34.8|1.0|1.0|0.0|-164116.3311913202|-164115.99065508007|-164115.59966902653
35.0|1.0|1.0|0.0|-164282.95328324108|-164282.73887153433|-164282.46139756084
35.2|1.0|1.0|0.0|-164387.43218338874|-164386.88984789516|-164386.28445013487
35.4|1.0|1.0|0.0|-164435.01896983758|-164434.55230906402|-164434.00997357044
35.6|1.0|1.0|0.0|-164358.10822937507|-164357.98210484168|-164357.79291804158
35.8|1.0|1.0|0.0|-164356.0638841976|-164355.78641022413|-164355.45848643733
36.0|1.0|1.0|0.0|-164456.6734244845|-164456.23198861763|-164455.75271539073
36.2|1.0|1.0|0.0|-164476.78442583885|-164476.40605223866|-164475.95200391844
36.4|1.0|1.0|0.0|-164280.04849964887|-164279.34220226188|-164278.5980675149
36.6|1.0|1.0|0.0|-164110.0509505001|-164109.06717913965|-164108.00773305914
36.8|1.0|1.0|0.0|-164135.23362925864|-164134.75435603174|-164134.21202053817
37.0|1.0|1.0|0.0|-164271.89448746527|-164271.21341498493|-164270.46928023794
37.2|1.0|1.0|0.0|-164622.94079311303|-164622.62548177954|-164622.24710817938
37.4|1.0|1.0|0.0|-164406.35383366558|-164405.95023515873|-164405.48357438517
37.6|1.0|1.0|0.0|-164518.17584100252|-164517.69656777562|-164517.17945718873
37.8|1.0|1.0|0.0|-164532.26395138245|-164532.11260194235|-164531.88557778226
38.0|1.0|1.0|0.0|-164572.9407430876|-164572.7263313808|-164572.44885740735
38.2|1.0|1.0|0.0|-164396.43251840142|-164396.25594405463|-164396.02891989454
38.4|1.0|1.0|0.0|-165018.57726171723|-165018.28717529043|-165017.9592515036
38.6|1.0|1.0|0.0|-164507.3089050934|-164507.04404357326|-164506.7287322398
38.8|1.0|1.0|0.0|-164688.52570911276|-164688.31129740598|-164688.0590483392
39.0|1.0|1.0|0.0|-164716.61364269917|-164716.41184344573|-164716.13436947227
39.2|1.0|1.0|0.0|-164522.7350099688|-164522.14222466186|-164521.4737646349
39.4|1.0|1.0|0.0|-164465.67847910433|-164464.82083227724|-164463.92534809015
39.6|1.0|1.0|0.0|-164469.37666850557|-164468.7460458386|-164468.09019826498
39.8|1.0|1.0|0.0|-164514.16565336997|-164513.56025560966|-164512.91702048937
40.0|1.0|1.0|0.0|-164340.14217198227|-164339.94037272886|-164339.68812366205
40.2|1.0|1.0|0.0|-164217.44742228033|-164216.90508678675|-164216.31230147975
40.4|1.0|1.0|0.0|-164463.97718981747|-164463.77539056406|-164463.5357539506
40.6|1.0|1.0|0.0|-164258.7395779792|-164258.27291720567|-164257.75580661875
40.8|1.0|1.0|0.0|-164398.460336071|-164398.08196247084|-164397.64052660397
41.0|1.0|1.0|0.0|-164221.41696786147|-164220.95030708794|-164220.4584214077
41.2|1.0|1.0|0.0|-164562.46039841184|-164561.8550006516|-164561.1865406246
41.4|1.0|1.0|0.0|-164398.99151315726|-164398.18431614357|-164397.3014444098
41.6|1.0|1.0|0.0|-164287.83796187877|-164287.47220073195|-164287.0686022251
41.8|1.0|1.0|0.0|-164301.34930807597|-164301.12228391587|-164300.8321974891
42.0|1.0|1.0|0.0|-164316.0583641508|-164315.76827772404|-164315.42774148387
42.2|1.0|1.0|0.0|-164441.60880054938|-164440.92772806904|-164440.17098086872
42.4|1.0|1.0|0.0|-164255.8764852058|-164255.3845995256|-164254.84226403202
42.6|1.0|1.0|0.0|-164381.96006403692|-164381.35466627663|-164380.68620624967
42.8|1.0|1.0|0.0|-164233.59723252783|-164233.269308741|-164232.86571023412
43.0|1.0|1.0|0.0|-164180.9276273833|-164180.19610508962|-164179.40152052924
43.2|1.0|1.0|0.0|-164269.744523798|-164269.31570038447|-164268.84903961094
43.4|1.0|1.0|0.0|-163986.185399567|-163986.36197391376|-163986.4628735405
43.6|1.0|1.0|0.0|-164247.9694810757|-164247.64155728888|-164247.25057123534
43.8|1.0|1.0|0.0|-164252.97662505135|-164252.49735182448|-164251.98024123756
44.0|1.0|1.0|0.0|-164533.53414230308|-164533.04225662284|-164532.49992112926
44.2|1.0|1.0|0.0|-164149.32311518234|-164148.61681779532|-164147.8348456883
44.4|1.0|1.0|0.0|-164148.8443588099|-164147.7849127294|-164146.68762928888
44.6|1.0|1.0|0.0|-164608.3936400021|-164607.61166789505|-164606.754021068
44.8|1.0|1.0|0.0|-164353.08113403298|-164352.56402344606|-164352.00907549914
45.0|1.0|1.0|0.0|-164316.55546916265|-164316.4167321759|-164316.26538273582
45.2|1.0|1.0|0.0|-164112.6559321794|-164112.25233367254|-164111.77306044564
45.4|1.0|1.0|0.0|-164493.59964866235|-164493.30956223558|-164492.96902599538
45.6|1.0|1.0|0.0|-164423.71404470978|-164423.1717092162|-164422.5663114559
45.8|1.0|1.0|0.0|-164225.57987737437|-164224.77268036065|-164223.88980862693
46.0|1.0|1.0|0.0|-163930.4628028764|-163929.68083076936|-163928.87363375566
46.2|1.0|1.0|0.0|-164227.30283686245|-164226.59653947546|-164225.8650171818
46.4|1.0|1.0|0.0|-164261.14727705263|-164260.86980307914|-164260.529266839
46.6|1.0|1.0|0.0|-164041.60873290963|-164040.76369853588|-164039.85560189546
46.8|1.0|1.0|0.0|-164064.482545589|-164064.04110972217|-164063.5492240419
47.0|1.0|1.0|0.0|-164110.50919634147|-164110.40829671474|-164110.231722368
47.2|1.0|1.0|0.0|-163798.47658373628|-163798.19910976282|-163797.84596106934
47.4|1.0|1.0|0.0|-164214.18917454648|-164213.78557603963|-164213.33152771942
47.6|1.0|1.0|0.0|-164168.88524215206|-164167.90147079158|-164166.86724961776
47.8|1.0|1.0|0.0|-164094.58103809468|-164093.7612286276|-164092.89096934724
48.0|1.0|1.0|0.0|-164049.25100570676|-164048.9104694666|-164048.48164605306
48.2|1.0|1.0|0.0|-164143.2612067372|-164142.64319652357|-164141.9621240433
48.4|1.0|1.0|0.0|-164314.81275459312|-164314.0307824861|-164313.1983605657
48.6|1.0|1.0|0.0|-164174.94941078214|-164174.28095075517|-164173.5242035548
48.8|1.0|1.0|0.0|-164121.182170862|-164120.94253424858|-164120.65244782175
49.0|1.0|1.0|0.0|-164266.33956684617|-164265.6711068192|-164264.9648094322
49.2|1.0|1.0|0.0|-164430.78073348282|-164430.40235988266|-164429.9735364691
49.4|1.0|1.0|0.0|-164443.363125476|-164443.0478141425|-164442.694665449
49.6|1.0|1.0|0.0|-164460.29356056123|-164459.763837521|-164459.1584397607
49.8|1.0|1.0|0.0|-164129.2606178717|-164128.73089483147|-164128.15072197787
50.0|1.0|1.0|0.0|-164198.73688995084|-164198.333291444|-164197.87924312375
50.2|1.0|1.0|0.0|-164032.74795121068|-164031.99120401032|-164031.1461696366
50.4|1.0|1.0|0.0|-164171.7710727444|-164171.46837386422|-164171.1152251707
50.6|1.0|1.0|0.0|-164339.44361996395|-164338.7499350303|-164338.01841273662
50.8|1.0|1.0|0.0|-164506.39340594783|-164506.027644801|-164505.59882138748
51.0|1.0|1.0|0.0|-164336.3523100286|-164335.80997453502|-164335.17935186805
51.2|1.0|1.0|0.0|-164453.4513582317|-164452.78289820472|-164452.05137591105
51.4|1.0|1.0|0.0|-164297.9488615157|-164297.3813011154|-164296.76329090178
51.6|1.0|1.0|0.0|-164234.35721325918|-164234.11757664572|-164233.78965285892
51.8|1.0|1.0|0.0|-164092.4054443357|-164091.93878356216|-164091.38383561524
52.0|1.0|1.0|0.0|-164230.75741122587|-164230.20246327895|-164229.59706551867
52.2|1.0|1.0|0.0|-164489.51450393314|-164489.18658014634|-164488.80820654618
52.4|1.0|1.0|0.0|-164518.31501789746|-164517.82313221725|-164517.2681842703
52.6|1.0|1.0|0.0|-164279.23723859774|-164278.85886499757|-164278.44265403738
52.8|1.0|1.0|0.0|-164355.29186581814|-164355.0774541114|-164354.79998013793
53.0|1.0|1.0|0.0|-164119.71304525444|-164119.1959346675|-164118.62837426725
53.2|1.0|1.0|0.0|-164104.1366653805|-164103.87180386038|-164103.5564925269
53.4|1.0|1.0|0.0|-164207.8110318288|-164207.45788313533|-164207.02905972177
53.6|1.0|1.0|0.0|-163961.1929935376|-163961.20560599098|-163961.16776863096
