A,B,C,Equation,RMSE
36.03558096859435,-49.22460360256082,-164339.81023933235,U = 36.0356*lambda^2 + -49.2246*lambda + -164339.8102,0.008943795979942413
31.531133342294886,-30.77438613671984,-164505.8104962429,U = 31.5311*lambda^2 + -30.7744*lambda + -164505.8105,0.005044981327955611
27.02668569447012,-25.693369171960512,-164489.69430338775,U = 27.0267*lambda^2 + -25.6934*lambda + -164489.6943,0.005393311904426798
31.53113336089759,-41.24272244241729,-164304.54750172945,U = 31.5311*lambda^2 + -41.2427*lambda + -164304.5475,0.010089962685015053
22.522238090129356,-16.197993617359316,-164286.71735069278,U = 22.5222*lambda^2 + -16.1980*lambda + -164286.7174,0.008841577806947389
33.78335714219209,-48.008402715757256,-164574.39200125833,U = 33.7834*lambda^2 + -48.0084*lambda + -164574.3920,0.007627294842998675
29.27890953646641,-32.20680048939539,-164231.36101781586,U = 29.2789*lambda^2 + -32.2068*lambda + -164231.3610,0.0067416398780055405
31.531133337033282,-24.215910390688805,-164374.08611872545,U = 31.5311*lambda^2 + -24.2159*lambda + -164374.0861,0.010089962658821606
27.026685702299865,-20.90063691776595,-164103.3446728656,U = 27.0267*lambda^2 + -20.9006*lambda + -164103.3447,0.013483279766900738
31.531133348272157,-36.19774108330603,-164117.72729723074,U = 31.5311*lambda^2 + -36.1977*lambda + -164117.7273,0.010089962679194285
31.531133358541425,-28.88251816596312,-164316.23797923123,U = 31.5311*lambda^2 + -28.8825*lambda + -164316.2380,0.005044981322134845
38.28780477655733,-26.47714311076561,-164538.5173698453,U = 38.2878*lambda^2 + -26.4771*lambda + -164538.5174,0.0038136474201243106
33.7833571875927,-29.97259452402068,-164710.69199047628,U = 33.7834*lambda^2 + -29.9726*lambda + -164710.6920,0.009144805261327382
29.27890952979193,-24.13483034003002,-164523.35669856885,U = 29.2789*lambda^2 + -24.1348*lambda + -164523.3567,0.011598755826662544
24.77446193531672,-34.18875747812854,-164601.84236401052,U = 24.7745*lambda^2 + -34.1888*lambda + -164601.8424,0.01078662381352059
29.278909557956048,8.153050157387042,-164547.4221503407,U = 29.2789*lambda^2 + 8.1531*lambda + -164547.4222,0.006741639873338545
36.03558097169024,-28.161806532065384,-164471.82889125525,U = 36.0356*lambda^2 + -28.1618*lambda + -164471.8289,0.010268559950318109
24.77446191622113,-13.630458501385874,-164472.73973296874,U = 24.7745*lambda^2 + -13.6305*lambda + -164472.7397,0.011361213481693161
31.531133361497123,-23.333038701850455,-164466.1519536744,U = 31.5311*lambda^2 + -23.3330*lambda + -164466.1520,0.00943829584694234
24.774461935738035,-4.801741198491072,-164442.11379293178,U = 24.7745*lambda^2 + -4.8017*lambda + -164442.1138,0.011361213481693161
27.026685762492352,-28.84648263035342,-164367.37239442955,U = 27.0267*lambda^2 + -28.8465*lambda + -164367.3724,0.005393311899759802
29.27890951543685,-21.36009057845513,-164422.78899195977,U = 29.2789*lambda^2 + -21.3601*lambda + -164422.7890,0.011598755831906974
27.026685702947734,-36.161705459220684,-164462.71011780182,U = 27.0267*lambda^2 + -36.1617*lambda + -164462.7101,0.008943795988854378
31.531133326529783,-20.558298904114054,-164938.65591885132,U = 31.5311*lambda^2 + -20.5583*lambda + -164938.6559,0.01008996267337352
27.026685718312788,-19.008768945510383,-164771.88901580867,U = 27.0267*lambda^2 + -19.0088*lambda + -164771.8890,0.004044983941737711
29.27890954515487,-8.87376182799926,-164667.95876280332,U = 29.2789*lambda^2 + -8.8738*lambda + -164667.9588,0.006741639888895197
29.278909517807225,-32.71129858808126,-164583.55118009978,U = 29.2789*lambda^2 + -32.7113*lambda + -164583.5512,0.011598755831545288
24.774461910595292,-18.04481715967995,-164567.63159908194,U = 24.7745*lambda^2 + -18.0448*lambda + -164567.6316,0.01136121347264661
27.026685708193533,-36.41395453531004,-164722.62006233484,U = 27.0267*lambda^2 + -36.4140*lambda + -164722.6201,0.010268559950522378
36.03558095739762,-31.06267077414668,-164754.60946980235,U = 36.0356*lambda^2 + -31.0627*lambda + -164754.6095,0.011440942271923157
22.522238106949935,-12.540382178805885,-164571.4089777168,U = 22.5222*lambda^2 + -12.5404*lambda + -164571.4090,0.008841577825926327
33.78335715788706,-31.486088870078675,-164629.3349116245,U = 33.7834*lambda^2 + -31.4861*lambda + -164629.3349,0.012134951800322489
40.540028586166656,-33.873446102807065,-164540.22036131396,U = 40.5400*lambda^2 + -33.8734*lambda + -164540.2204,0.01078662381663192
33.78335715624672,-16.729518460386316,-164742.36519596094,U = 33.7834*lambda^2 + -16.7295*lambda + -164742.3652,0.004471897987156903
