times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.7, 0.0)|(1.0, 0.72, 0.0)|(1.0, 0.74, 0.0)|(1.0, 0.76, 0.0)|(1.0, 0.78, 0.0)
0.0|1.0|0.74|0.0|-163747.49586085262|-163746.28506533205|-163745.0238199981|-163743.78779957083|-163742.55177914363
0.2|1.0|0.74|0.0|-163851.39725146105|-163850.4260925539|-163849.40448383344|-163848.37026265962|-163847.38649129917
0.4|1.0|0.74|0.0|-163659.4925528031|-163658.3700444559|-163657.2096987487|-163656.06196549482|-163654.9268446943
0.6|1.0|0.74|0.0|-163738.1915097231|-163737.35908780276|-163736.48882852233|-163735.6311816953|-163734.78614732157
0.8|1.0|0.74|0.0|-163855.32962255448|-163854.4593632741|-163853.51342927365|-163852.58010772654|-163851.6593986328
1.0|1.0|0.74|0.0|-163879.5833703258|-163878.57437405866|-163877.51492797816|-163876.468094351|-163875.4338731772
1.2|1.0|0.74|0.0|-163878.0738149709|-163877.2287805972|-163876.30807150342|-163875.42519976967|-163874.54232803595
1.4|1.0|0.74|0.0|-164092.749094627|-164091.47523683976|-164090.1509292391|-164088.8266216385|-164087.54015139793
1.6|1.0|0.74|0.0|-164293.4859889656|-164292.3256432584|-164291.11484773783|-164289.9418895773|-164288.7563189634
1.8|1.0|0.74|0.0|-164036.75950124598|-164035.30906911194|-164033.79557471123|-164032.30730521723|-164030.83164817654
2.0|1.0|0.74|0.0|-163875.80113975823|-163875.271416718|-163874.67863141102|-163874.09845855742|-163873.56873551718
2.2|1.0|0.74|0.0|-164305.8693223084|-164304.91077585463|-164303.8765546808|-164302.89278332033|-164301.89639950657
2.4|1.0|0.74|0.0|-164315.984586251|-164314.47109185028|-164312.90714763623|-164311.34320342218|-164309.81709656815
2.6|1.0|0.74|0.0|-164085.1668691703|-164083.930848743|-164082.64437850245|-164081.35790826182|-164080.0966629279
2.8|1.0|0.74|0.0|-164637.1238635141|-164635.45901967335|-164633.75633847257|-164632.07888217844|-164630.4014258843
3.0|1.0|0.74|0.0|-164672.48401681142|-164670.89484769068|-164669.2300038499|-164667.5903849158|-164665.9886033417
3.2|1.0|0.74|0.0|-164468.60131577548|-164467.3274579882|-164465.99053793427|-164464.6914552403|-164463.40498499974
3.4|1.0|0.74|0.0|-164578.21614774657|-164576.92967750598|-164575.592757452|-164574.2810623047|-164572.99459206415
3.6|1.0|0.74|0.0|-164705.75564128955|-164704.31782160889|-164702.8169396615|-164701.34128262082|-164699.89085048685
3.8|1.0|0.74|0.0|-164460.2375237336|-164458.96366594636|-164457.6267458924|-164456.30243829178|-164454.9907431445
4.0|1.0|0.74|0.0|-164557.91565944912|-164556.79315110194|-164555.64541784808|-164554.47245968753|-164553.34995134035
4.2|1.0|0.74|0.0|-164651.663305234|-164650.36422254005|-164649.0273024861|-164647.69038243213|-164646.36607483152
4.4|1.0|0.74|0.0|-164540.80774567038|-164539.7861369499|-164538.70146596275|-164537.6546323356|-164536.62041116177
4.6|1.0|0.74|0.0|-164418.2231368405|-164417.2898152934|-164416.2934314796|-164415.30966011912|-164414.35111366535
4.8|1.0|0.74|0.0|-164313.11887272596|-164312.33690061892|-164311.4918662452|-164310.68466923147|-164309.87747221778
5.0|1.0|0.74|0.0|-164192.33680905812|-164191.22691316428|-164190.04134255042|-164188.88099684322|-164187.720651136
5.2|1.0|0.74|0.0|-164409.3340687593|-164408.17372305208|-164406.9629275315|-164405.7647444643|-164404.57917385042
5.4|1.0|0.74|0.0|-164588.67054278954|-164587.58587180235|-164586.45075100186|-164585.32824265468|-164584.23095921415
5.6|1.0|0.74|0.0|-164609.386618237|-164608.3650095165|-164607.28033852932|-164606.2335049022|-164605.18667127506
5.8|1.0|0.74|0.0|-164347.67645365023|-164346.27647132956|-164344.82603919553|-164343.3882195149|-164341.97562474088
6.0|1.0|0.74|0.0|-164350.90524170504|-164349.59354655776|-164348.23140159712|-164346.8944815432|-164345.55756148923
6.2|1.0|0.74|0.0|-164225.0329573797|-164223.79693695248|-164222.53569161857|-164221.27444628463|-164220.02581340406
6.4|1.0|0.74|0.0|-164267.5873749462|-164265.79640657204|-164263.96760083787|-164262.16402001036|-164260.36043918284
6.6|1.0|0.74|0.0|-164103.16503882612|-164101.80289386548|-164100.37768663815|-164098.96509186417|-164097.56510954353
6.8|1.0|0.74|0.0|-164200.23322231727|-164199.26206341013|-164198.2404546897|-164197.23145842255|-164196.26029951542
7.0|1.0|0.74|0.0|-163985.87201926493|-163984.33329995757|-163982.7693557435|-163981.20541152943|-163979.67930467537
7.2|1.0|0.74|0.0|-163883.32016116384|-163882.14720300326|-163880.91118257603|-163879.70038705546|-163878.4895915349
7.4|1.0|0.74|0.0|-164002.88764383935|-164001.34892453198|-163999.7849803179|-163998.22103610387|-163996.68231679648
7.6|1.0|0.74|0.0|-164130.46953076567|-164129.51098431187|-164128.48937559142|-164127.4929917776|-164126.50922041715
7.8|1.0|0.74|0.0|-164103.4743340777|-164102.4148879972|-164101.30499210337|-164100.20770866284|-164099.13565012903
8.0|1.0|0.74|0.0|-164266.822600237|-164265.51090508973|-164264.14876012912|-164262.79922762178|-164261.4749200212
8.2|1.0|0.74|0.0|-164105.6979833983|-164104.51241278442|-164103.30161726387|-164102.0908217433|-164100.9052511294
8.4|1.0|0.74|0.0|-164174.2718922036|-164173.22505857647|-164172.10255022926|-164171.0178792421|-164169.92059580158
8.6|1.0|0.74|0.0|-164013.41253849916|-164012.22696788528|-164011.01617236473|-164009.80537684416|-164008.63241868358
8.8|1.0|0.74|0.0|-164097.00787923145|-164095.36826029737|-164093.6781915499|-164091.98812280246|-164090.33589141502
9.0|1.0|0.74|0.0|-164093.0798524087|-164091.64203272804|-164090.11592587398|-164088.6150439266|-164087.1267744326
9.2|1.0|0.74|0.0|-164433.10608867562|-164431.85745579505|-164430.57098555446|-164429.29712776715|-164428.0484948866
9.4|1.0|0.74|0.0|-163946.18478348482|-163945.08750004432|-163943.93976679043|-163942.8046459899|-163941.69475009604
9.6|1.0|0.74|0.0|-164277.0596755546|-164275.89932984737|-164274.6885343268|-164273.51557616628|-164272.34261800573
9.8|1.0|0.74|0.0|-164305.34940839445|-164304.5295989274|-164303.64672719364|-164302.78908036658|-164301.94404599286
10.0|1.0|0.74|0.0|-164231.7547812264|-164230.7962347726|-164229.7998509588|-164228.80346714502|-164227.84492069125
10.2|1.0|0.74|0.0|-164124.80513936726|-164123.46821931328|-164122.09346189932|-164120.70609203202|-164119.3565595247
10.4|1.0|0.74|0.0|-163890.9096429556|-163889.62317271502|-163888.2988651144|-163886.97455751378|-163885.67547481984
10.6|1.0|0.74|0.0|-164317.21590011465|-164315.47538155384|-164313.67180072636|-164311.89344480552|-164310.14031379137
10.8|1.0|0.74|0.0|-164270.9520330999|-164270.14483608617|-164269.27457680576|-164268.4421548854|-164267.60973296498
11.0|1.0|0.74|0.0|-164224.45919286826|-164223.90424492132|-164223.3240720677|-164222.7438992141|-164222.17633881385
11.2|1.0|0.74|0.0|-164168.45990004213|-164167.17342980154|-164165.82389729423|-164164.49958969365|-164163.18789454637
11.4|1.0|0.74|0.0|-164454.73109197244|-164453.54552135855|-164452.3095009313|-164451.07348050407|-164449.87529743684
11.6|1.0|0.74|0.0|-164445.39173165857|-164444.13048632463|-164442.84401608404|-164441.55754584345|-164440.27107560285
11.8|1.0|0.74|0.0|-164531.44819124104|-164530.4644198806|-164529.41758625343|-164528.4085899863|-164527.39959371916
12.0|1.0|0.74|0.0|-164108.493398195|-164107.1060283277|-164105.65559619365|-164104.23038896633|-164102.81779419232
12.2|1.0|0.74|0.0|-164054.0368283848|-164052.75035814417|-164051.38821318356|-164050.0512931296|-164048.73959798232
12.4|1.0|0.74|0.0|-163940.69180455912|-163939.39272186518|-163938.06841426456|-163936.73149421063|-163935.41979906333
12.6|1.0|0.74|0.0|-164125.4751264821|-164124.18865624152|-164122.8265112809|-164121.50220368028|-164120.17789607964
12.8|1.0|0.74|0.0|-164328.93495826318|-164327.4593012225|-164325.93319436844|-164324.39447506107|-164322.89359311372
13.0|1.0|0.74|0.0|-164310.65864907514|-164309.53614072796|-164308.3631825674|-164307.2028368602|-164306.080328513
13.2|1.0|0.74|0.0|-164429.61419515207|-164428.54213661826|-164427.4070158177|-164426.29711992387|-164425.19983648337
13.4|1.0|0.74|0.0|-164508.01217728032|-164506.85183157312|-164505.64103605258|-164504.430240532|-164503.25728237143
13.6|1.0|0.74|0.0|-164309.11378812094|-164308.38226582727|-164307.60029372023|-164306.81832161322|-164306.0741868662
13.8|1.0|0.74|0.0|-164313.0846958161|-164311.86128784218|-164310.60004250827|-164309.33879717434|-164308.10277674708
14.0|1.0|0.74|0.0|-164440.45904771835|-164438.85726614427|-164437.20503475683|-164435.57802827607|-164433.976246702
14.2|1.0|0.74|0.0|-164146.83138778334|-164145.50708018275|-164144.13232276877|-164142.7575653548|-164141.42064530082
14.4|1.0|0.74|0.0|-164318.3842996468|-164317.07260449952|-164315.68523463223|-164314.32308967158|-164312.9861696176
14.6|1.0|0.74|0.0|-164333.07003527108|-164332.1114888173|-164331.07726764347|-164330.06827137634|-164329.0845000159
14.8|1.0|0.74|0.0|-164191.10004239006|-164189.8009596961|-164188.45142718882|-164187.11450713486|-164185.8154244409
15.0|1.0|0.74|0.0|-164544.91115240412|-164543.59945725685|-164542.2373122962|-164540.90039224227|-164539.56347218828
15.2|1.0|0.74|0.0|-164220.8215513997|-164219.61075587917|-164218.34951054523|-164217.10087766466|-164215.8522447841
15.4|1.0|0.74|0.0|-164499.8807093219|-164498.25370284115|-164496.58885900036|-164494.94924006626|-164493.30962113218
15.6|1.0|0.74|0.0|-164688.37045148836|-164687.50019220798|-164686.56687066087|-164685.65877402044|-164684.7759022867
15.8|1.0|0.74|0.0|-164489.81605038463|-164488.26471862392|-164486.63771214316|-164485.0737679291|-164483.49721126168
16.0|1.0|0.74|0.0|-164710.92496987435|-164709.5502124604|-164708.11239277973|-164706.71241045906|-164705.32504059176
16.2|1.0|0.74|0.0|-164737.0201358332|-164735.40574180576|-164733.71567305832|-164732.06344167088|-164730.42382273678
16.4|1.0|0.74|0.0|-164787.865837728|-164786.4784678607|-164785.04064818003|-164783.60282849934|-164782.16500881867
16.6|1.0|0.74|0.0|-164706.33290426797|-164705.36174536086|-164704.32752418704|-164703.3185279199|-164702.30953165275
16.8|1.0|0.74|0.0|-164498.35223213988|-164496.99008717926|-164495.57749240525|-164494.16489763127|-164492.7901402173
17.0|1.0|0.74|0.0|-164420.89915618376|-164419.33521196974|-164417.7208179423|-164416.10642391487|-164414.51725479413
17.2|1.0|0.74|0.0|-164272.1101920876|-164270.79849694032|-164269.42373952636|-164268.0742070191|-164266.7372869651
17.4|1.0|0.74|0.0|-164048.14490134688|-164047.51427867994|-164046.79536883958|-164046.11429635927|-164045.4458363323
17.6|1.0|0.74|0.0|-164013.2821462172|-164011.9956759766|-164010.6461434693|-164009.3218358687|-164008.02275317474
17.8|1.0|0.74|0.0|-163893.11528570592|-163891.5891788519|-163890.0252346378|-163888.4612904238|-163886.92257111636
18.0|1.0|0.74|0.0|-163948.99643602944|-163947.97482730896|-163946.90276877512|-163945.8307102413|-163944.78387661415
18.2|1.0|0.74|0.0|-164164.24931639523|-164163.12680804802|-164161.94123743416|-164160.7682792736|-164159.60793356638
18.4|1.0|0.74|0.0|-164428.25645889316|-164427.47448678614|-164426.64206486574|-164425.8222553987|-164425.02767083832
18.6|1.0|0.74|0.0|-163859.1463489566|-163858.28870212953|-163857.3679930358|-163856.45989639533|-163855.57702466162
18.8|1.0|0.74|0.0|-163713.07551881025|-163711.85211083636|-163710.56564059577|-163709.30439526186|-163708.0683748346
19.0|1.0|0.74|0.0|-164248.3403522802|-164246.95298241288|-164245.51516273222|-164244.0647305982|-164242.65213582423
19.2|1.0|0.74|0.0|-164263.3504221188|-164261.92521489147|-164260.44955785078|-164258.99912571677|-164257.54869358276
19.4|1.0|0.74|0.0|-164154.04066462402|-164153.01905590354|-164151.921772463|-164150.86232638254|-164149.81549275538
19.6|1.0|0.74|0.0|-164098.90312094966|-164097.8815122292|-164096.80945369534|-164095.77523252156|-164094.71578644103
19.8|1.0|0.74|0.0|-163969.29066369144|-163967.75194438404|-163966.12493790328|-163964.52315632923|-163962.95921211515
20.0|1.0|0.74|0.0|-164159.85867383977|-164158.48391642582|-164157.0713216518|-164155.65872687782|-164154.25874455716
20.2|1.0|0.74|0.0|-163959.1739106351|-163957.60996642103|-163955.9955723936|-163954.3811783662|-163952.8046216988
20.4|1.0|0.74|0.0|-164100.64281348645|-164099.7094919393|-164098.71310812552|-164097.7167243117|-164096.77079031128
20.6|1.0|0.74|0.0|-163849.42856793577|-163848.10426033515|-163846.74211537454|-163845.3799704139|-163844.0430503599
20.8|1.0|0.74|0.0|-163863.15217528067|-163861.3990442665|-163859.60807589235|-163857.81710751817|-163856.06397650405
21.0|1.0|0.74|0.0|-163822.31076500885|-163820.99906986154|-163819.63692490093|-163818.28739239363|-163816.95047233967
21.2|1.0|0.74|0.0|-164062.31154443778|-164061.34038553067|-164060.3187768102|-164059.28455563638|-164058.3007842759
21.4|1.0|0.74|0.0|-163689.96561007045|-163688.74220209656|-163687.4683443093|-163686.2070989754|-163684.97107854814
21.6|1.0|0.74|0.0|-163847.19245339706|-163846.1330073166|-163844.99788651607|-163843.91321552888|-163842.81593208836
21.8|1.0|0.74|0.0|-163873.12232974914|-163871.7727972419|-163870.3728149212|-163868.97283260056|-163867.59807518657
22.0|1.0|0.74|0.0|-163802.0511551827|-163801.16828344896|-163800.2223494485|-163799.30164035474|-163798.40615616765
22.2|1.0|0.74|0.0|-163801.16092006702|-163799.9248996398|-163798.63842939917|-163797.36457161192|-163796.103326278
22.4|1.0|0.74|0.0|-163979.5661453567|-163978.69588607628|-163977.77517698254|-163976.87969279545|-163976.00943351502
22.6|1.0|0.74|0.0|-163891.05461739658|-163889.70508488928|-163888.30510256864|-163886.91773270132|-163885.55558774067
22.8|1.0|0.74|0.0|-164047.79658519154|-164046.54795231097|-164045.27409452372|-164043.98762428312|-164042.72637894918
23.0|1.0|0.74|0.0|-163799.3407746338|-163797.90295495314|-163796.4399103658|-163795.00209068513|-163793.55165855112
23.2|1.0|0.74|0.0|-163848.88778769254|-163847.2986185718|-163845.6589996377|-163844.03199315697|-163842.41759912952
23.4|1.0|0.74|0.0|-163864.73710581654|-163863.0470370691|-163861.28129360158|-163859.54077504078|-163857.80025647997
23.6|1.0|0.74|0.0|-163976.53389221532|-163975.29787178806|-163974.01140154747|-163972.72493130685|-163971.48891087962
23.8|1.0|0.74|0.0|-164112.07531871926|-164110.91497301206|-164109.70417749148|-164108.50599442425|-164107.33303626374
24.0|1.0|0.74|0.0|-164016.62443530504|-164015.71633866458|-164014.75779221082|-164013.79924575705|-164012.86592420994
24.2|1.0|0.74|0.0|-164085.9142883788|-164084.69088040484|-164083.4170226176|-164082.15577728368|-164080.90714440309
24.4|1.0|0.74|0.0|-164212.0774560746|-164210.84143564734|-164209.56757786009|-164208.30633252615|-164207.05769964555
24.6|1.0|0.74|0.0|-164198.6639089716|-164197.61707534443|-164196.50717945056|-164195.4225084634|-164194.33783747625
24.8|1.0|0.74|0.0|-164069.80247320485|-164068.51600296426|-164067.16647045696|-164065.84216285634|-164064.53046770906
25.0|1.0|0.74|0.0|-164129.29774172942|-164128.07433375547|-164126.80047596822|-164125.5392306343|-164124.3032102071
25.2|1.0|0.74|0.0|-164406.09256163886|-164405.09617782503|-164404.03673174456|-164402.9898981174|-164401.98090185027
25.4|1.0|0.74|0.0|-164227.1216576735|-164226.01176177963|-164224.85141607243|-164223.69107036522|-164222.56856201804
25.6|1.0|0.74|0.0|-164127.7553998252|-164126.84730318477|-164125.91398163766|-164124.98066009057|-164124.07256345014
25.8|1.0|0.74|0.0|-164028.89094652637|-164027.70537591248|-164026.46935548523|-164025.24594751134|-164024.0477644441
26.0|1.0|0.74|0.0|-164236.8281807316|-164235.78134710444|-164234.69667611728|-164233.62461758344|-164232.56517150294
26.2|1.0|0.74|0.0|-164012.23610006412|-164010.88656755685|-164009.47397278284|-164008.08660291551|-164006.7244579549
26.4|1.0|0.74|0.0|-164236.3444868264|-164234.9066671457|-164233.44362255835|-164231.99319042437|-164230.54275829034
26.6|1.0|0.74|0.0|-164450.66790641964|-164449.48233580572|-164448.2210904718|-164446.9976824979|-164445.78688697735
26.8|1.0|0.74|0.0|-164404.9225381583|-164403.68651773105|-164402.3874350371|-164401.11357724984|-164399.85233191593
27.0|1.0|0.74|0.0|-164538.94246734076|-164537.9334710736|-164536.88663744647|-164535.83980381934|-164534.83080755218
27.2|1.0|0.74|0.0|-164445.0578961102|-164444.2254741898|-164443.3173775494|-164442.43450581565|-164441.57685898858
27.4|1.0|0.74|0.0|-164224.63684792616|-164223.37560259222|-164222.06390744494|-164220.764824751|-164219.49096696376
27.6|1.0|0.74|0.0|-164364.45695442616|-164363.7254321325|-164362.93084757213|-164362.1488754651|-164361.40474071808
27.8|1.0|0.74|0.0|-164164.98398297263|-164164.15156105222|-164163.25607686513|-164162.36059267804|-164161.502945851
28.0|1.0|0.74|0.0|-164069.69426437948|-164068.71049301905|-164067.6636593919|-164066.66727557807|-164065.6456668576
28.2|1.0|0.74|0.0|-164355.31793665315|-164354.01885395922|-164352.65670899858|-164351.33240139796|-164350.02070625068
28.4|1.0|0.74|0.0|-163943.19441941025|-163941.63047519614|-163940.02869362207|-163938.426912048|-163936.8503553806
28.6|1.0|0.74|0.0|-164149.23094654796|-164148.04537593407|-164146.8093555068|-164145.59855998625|-164144.41298937236
28.8|1.0|0.74|0.0|-164542.0525424659|-164541.10660846546|-164540.11022465167|-164539.13906574453|-164538.18051929076
29.0|1.0|0.74|0.0|-164394.0681877347|-164393.0213541075|-164391.91145821367|-164390.82678722648|-164389.75472869264
29.2|1.0|0.74|0.0|-164475.24451205807|-164474.28596560427|-164473.25174443045|-164472.24274816332|-164471.25897680287
29.4|1.0|0.74|0.0|-164481.17868504385|-164480.33365067013|-164479.41294157636|-164478.51745738927|-164477.6598105622
29.6|1.0|0.74|0.0|-164583.87884161534|-164583.05903214827|-164582.18877286787|-164581.3311260408|-164580.4987041204
29.8|1.0|0.74|0.0|-164152.4824876009|-164151.37259170707|-164150.21224599986|-164149.0771251993|-164147.92939194548
30.0|1.0|0.74|0.0|-164388.92502679545|-164387.89080562163|-164386.76829727445|-164385.70885119395|-164384.6367926601
30.2|1.0|0.74|0.0|-164159.27747639507|-164158.11713068787|-164156.91894762067|-164155.72076455344|-164154.5604188462
30.4|1.0|0.74|0.0|-164325.030338179|-164323.97089209853|-164322.86099620466|-164321.76371276416|-164320.66642932364
30.6|1.0|0.74|0.0|-164068.34859213763|-164067.17563397708|-164065.93961354985|-164064.71620557594|-164063.51802250874
30.8|1.0|0.74|0.0|-164228.00963895873|-164226.5592068247|-164225.03309997066|-164223.54483047663|-164222.06917343594
31.0|1.0|0.74|0.0|-164512.55919874468|-164511.6258771976|-164510.64210583712|-164509.67094693|-164508.71240047622
31.2|1.0|0.74|0.0|-164202.62129281677|-164201.61229654963|-164200.5402380158|-164199.4807919353|-164198.4465707615
31.4|1.0|0.74|0.0|-164138.05814417332|-164137.01131054616|-164135.90141465233|-164134.8293561185|-164133.769910038
31.6|1.0|0.74|0.0|-164218.60637138662|-164217.62260002617|-164216.58837885235|-164215.56677013187|-164214.57038631808
31.8|1.0|0.74|0.0|-164108.41728570344|-164106.9542411161|-164105.42813426204|-164103.91463986132|-164102.41375791398
32.0|1.0|0.74|0.0|-164009.8297608584|-164008.45500344443|-164007.01718376376|-164005.59197653644|-164004.1919942158
32.2|1.0|0.74|0.0|-163756.64949036838|-163755.7287812746|-163754.7702348208|-163753.83691327373|-163752.90359172664
32.4|1.0|0.74|0.0|-164171.63609510334|-164170.9424101697|-164170.22350032933|-164169.47936558237|-164168.77306819533
