times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.26, 0.0)|(1.0, 0.28, 0.0)|(1.0, 0.3, 0.0)|(1.0, 0.32, 0.0)|(1.0, 0.34, 0.0)
0.0|1.0|0.3|0.0|-164361.96171405385|-164359.0860746925|-164356.13476061114|-164353.23389634312|-164350.24474490172
0.2|1.0|0.3|0.0|-164344.65742807245|-164341.17639095083|-164337.6322915625|-164334.11341708087|-164330.54409278586
0.4|1.0|0.3|0.0|-164600.0727054308|-164596.8565298293|-164593.60251686777|-164590.37372881296|-164587.0440411314
0.6|1.0|0.3|0.0|-164283.2287395173|-164280.02517636915|-164276.74593850097|-164273.49192553945|-164270.18746276456
0.8|1.0|0.3|0.0|-164522.97894023784|-164519.57357783624|-164516.10515316797|-164512.649340953|-164509.15569137805
1.0|1.0|0.3|0.0|-164271.76002012292|-164268.54384452142|-164265.2519941999|-164262.02320614504|-164258.70613091683
1.2|1.0|0.3|0.0|-164286.25172900967|-164282.51844282128|-164278.72209436618|-164274.95097081774|-164271.1167850026
1.4|1.0|0.3|0.0|-164338.95188378938|-164336.11408178805|-164333.2006050667|-164330.32496570537|-164327.373651624
1.6|1.0|0.3|0.0|-164061.1499865399|-164058.18606000516|-164055.14645875042|-164052.1446948557|-164049.07986869427
1.8|1.0|0.3|0.0|-164097.50334892166|-164094.26194841348|-164090.9827105453|-164087.71608513044|-164084.37378499552
2.0|1.0|0.3|0.0|-164109.9758808402|-164107.89482603926|-164105.75070897158|-164103.60659190392|-164101.4372499296
2.2|1.0|0.3|0.0|-164367.9125031953|-164365.27650044742|-164362.59004788616|-164359.91620777824|-164357.19191785698
2.4|1.0|0.3|0.0|-164197.34168423578|-164194.0624463676|-164190.7453711394|-164187.4030710045|-164184.0481584163
2.6|1.0|0.3|0.0|-164084.8890502634|-164082.7323207424|-164080.52514140803|-164078.31796207366|-164076.06033292596
2.8|1.0|0.3|0.0|-164341.88039950316|-164339.02998504852|-164336.1291207805|-164333.25348141915|-164330.32739224448
3.0|1.0|0.3|0.0|-164484.2497727962|-164480.9453100213|-164477.56517252643|-164474.18503503152|-164470.77967262993
3.2|1.0|0.3|0.0|-164576.25761990575|-164573.89909113132|-164571.50272499686|-164569.10635886242|-164566.6595429146
3.4|1.0|0.3|0.0|-164337.18661232071|-164334.0965612526|-164330.96867282447|-164327.84078439637|-164324.66244615486
3.6|1.0|0.3|0.0|-164434.68969739767|-164431.88973275636|-164429.05193075503|-164426.22674120704|-164423.33848939236
3.8|1.0|0.3|0.0|-164134.60045045335|-164131.4094997585|-164128.16809925032|-164124.96453610217|-164121.685298234
4.0|1.0|0.3|0.0|-164382.9877531542|-164379.69590283264|-164376.34099024444|-164372.99869010955|-164369.61855261464
4.2|1.0|0.3|0.0|-164368.6441396733|-164365.28922708507|-164361.87125223014|-164358.47850228188|-164355.02269006695
4.4|1.0|0.3|0.0|-164496.94257066125|-164494.04170639324|-164491.09039231183|-164488.16430313716|-164485.17515169576
4.6|1.0|0.3|0.0|-164018.39135451944|-164015.8310264916|-164013.1950237437|-164010.57163344914|-164007.9230182479
4.8|1.0|0.3|0.0|-164194.27201633475|-164191.66123849354|-164189.0126232923|-164186.3640080911|-164183.67755552984
5.0|1.0|0.3|0.0|-164107.51317838815|-164104.6627639335|-164101.7618996655|-164098.87364785082|-164095.93494622275
5.2|1.0|0.3|0.0|-164303.50948078049|-164300.60861651247|-164297.6320775244|-164294.68076344303|-164291.69161200165
5.4|1.0|0.3|0.0|-164493.1251042822|-164489.9719909474|-164486.76842779922|-164483.57747710444|-164480.33607659626
5.6|1.0|0.3|0.0|-164357.0448927029|-164353.9800665415|-164350.83956566002|-164347.73690213857|-164344.5585638971
5.8|1.0|0.3|0.0|-164472.66325246345|-164469.67410102207|-164466.6344997673|-164463.60751096593|-164460.5174598978
6.0|1.0|0.3|0.0|-164380.41931780637|-164377.66980297843|-164374.84461343044|-164372.05726124247|-164369.19423433449
6.2|1.0|0.3|0.0|-164086.09119771066|-164083.15249608262|-164080.16334464122|-164077.18680565318|-164074.15981685175
6.4|1.0|0.3|0.0|-164276.79149219955|-164273.8780154782|-164270.90147649014|-164267.93754995544|-164264.92317360736
6.6|1.0|0.3|0.0|-164003.41656607212|-164000.17516556394|-163996.87070278908|-163993.5662400142|-163990.23655233264
6.8|1.0|0.3|0.0|-164395.91971645193|-164393.0440770906|-164390.11798791587|-164387.1918987412|-164384.22797220648
7.0|1.0|0.3|0.0|-164454.89174693206|-164451.5998966105|-164448.25759647565|-164444.94052124742|-164441.56038375248
7.2|1.0|0.3|0.0|-164378.0013551403|-164375.02481615226|-164372.01043980417|-164369.00867590946|-164365.95646220134
7.4|1.0|0.3|0.0|-164366.3940083368|-164363.43008180204|-164360.41570545398|-164357.42655401258|-164354.36172785118
7.6|1.0|0.3|0.0|-164289.2057939008|-164286.15358019268|-164283.03830421792|-164279.9356406965|-164276.795139815
7.8|1.0|0.3|0.0|-164227.73269632546|-164224.75615733743|-164221.729168536|-164218.7021797346|-164215.6499660265
8.0|1.0|0.3|0.0|-164286.39087379628|-164283.31343518154|-164280.18554675338|-164277.08288323195|-164273.9297698971
8.2|1.0|0.3|0.0|-164346.41159254793|-164343.1197422264|-164339.76482963818|-164336.43514195664|-164333.04239200836
8.4|1.0|0.3|0.0|-164525.30510444226|-164522.17721601416|-164518.99887777265|-164515.83315198452|-164512.60436392963
8.6|1.0|0.3|0.0|-164414.54580702266|-164412.0233163548|-164409.4503758736|-164406.8774353924|-164404.26665755117
8.8|1.0|0.3|0.0|-164415.6743660834|-164412.88701389544|-164410.0365994408|-164407.19879743946|-164404.29793317145
9.0|1.0|0.3|0.0|-164329.43387384093|-164326.67174655967|-164323.84655701168|-164321.04659237037|-164318.1961779157
9.2|1.0|0.3|0.0|-164246.92061834407|-164243.86840463598|-164240.74051620785|-164237.63785268643|-164234.4847393516
9.4|1.0|0.3|0.0|-164232.15077597988|-164229.14901208514|-164226.0841859237|-164223.03197221563|-164219.94192114752
9.6|1.0|0.3|0.0|-164121.02835342518|-164117.7995653703|-164114.53293995548|-164111.2663145406|-164107.96185176575
9.8|1.0|0.3|0.0|-164095.17056733|-164092.48411476874|-164089.7598248475|-164087.0607598329|-164084.28602009825
10.0|1.0|0.3|0.0|-163933.74683235766|-163930.5432692095|-163927.26403134127|-163924.02263083312|-163920.71816805826
10.2|1.0|0.3|0.0|-164386.9375057422|-164383.88529203413|-164380.757403606|-164377.6673525379|-164374.51423920307
10.4|1.0|0.3|0.0|-164164.0452132123|-164161.4218229177|-164158.7479828098|-164156.09936760858|-164153.40030259395
10.6|1.0|0.3|0.0|-164015.92952224566|-164013.25568213774|-164010.5061673098|-164007.79448984185|-164005.00713765388
10.8|1.0|0.3|0.0|-164434.02889699733|-164431.14064518266|-164428.20194355465|-164425.26324192662|-164422.2740904852
11.0|1.0|0.3|0.0|-164202.34806029926|-164199.11927224445|-164195.81480946956|-164192.5355716014|-164189.2058839198
11.2|1.0|0.3|0.0|-164556.66417571562|-164553.183138594|-164549.63903920565|-164546.12016472404|-164542.52561552235
11.4|1.0|0.3|0.0|-164267.25526751767|-164264.1147666362|-164260.93642839472|-164257.7454776999|-164254.5293020984
11.6|1.0|0.3|0.0|-164312.23459037152|-164309.05625213007|-164305.8526889819|-164302.64912583373|-164299.36988796556
11.8|1.0|0.3|0.0|-164051.09374398316|-164048.0289178217|-164044.9010293936|-164041.7857534188|-164038.62002763068
12.0|1.0|0.3|0.0|-164301.3103383496|-164298.30857445486|-164295.25636074675|-164292.22937194534|-164289.1519333306
12.2|1.0|0.3|0.0|-164120.05521137506|-164117.49488334722|-164114.884105506|-164112.2859401181|-164109.62471246356
12.4|1.0|0.3|0.0|-164239.59511506517|-164235.9122786901|-164232.12854268836|-164228.39525649993|-164224.5989080448
12.6|1.0|0.3|0.0|-163952.38309310024|-163949.4822288322|-163946.50568984417|-163943.56698821613|-163940.5652243214
12.8|1.0|0.3|0.0|-164122.10986089613|-164118.83062302796|-164115.48832289304|-164112.1586352115|-164108.76588526324
13.0|1.0|0.3|0.0|-164048.71746498006|-164045.8292131654|-164042.86528663067|-164039.92658500263|-164036.93743356122
13.2|1.0|0.3|0.0|-164060.12886120813|-164057.24060939343|-164054.3019077654|-164051.37581859072|-164048.39927960266
13.4|1.0|0.3|0.0|-163902.8515035787|-163899.81190232397|-163896.7218512559|-163893.63180018775|-163890.50391175962
13.6|1.0|0.3|0.0|-164040.13805817603|-164037.2245814547|-164034.26065491996|-164031.29672838526|-164028.2823520372
13.8|1.0|0.3|0.0|-164078.39920024326|-164075.66229786866|-164072.86233322736|-164070.10020594607|-164067.2750163981
14.0|1.0|0.3|0.0|-164076.0280590155|-164072.90017058738|-164069.70921989257|-164066.53088165107|-164063.30209359623
14.2|1.0|0.3|0.0|-163774.44583279913|-163771.35578173102|-163768.21528084957|-163765.08739242144|-163761.9216666333
14.4|1.0|0.3|0.0|-163914.19341785382|-163911.10336678574|-163907.96286590426|-163904.83497747613|-163901.669251688
14.6|1.0|0.3|0.0|-164072.2526831008|-164069.8310920597|-164067.34643875188|-164064.88701035074|-164062.37713213626
14.8|1.0|0.3|0.0|-164220.5246845566|-164217.69949500865|-164214.8238556473|-164211.97344119265|-164209.04735201792
15.0|1.0|0.3|0.0|-163972.6476598243|-163969.6963457429|-163966.66935694148|-163963.66759304676|-163960.627991792
15.2|1.0|0.3|0.0|-163895.73691936175|-163892.67209320032|-163889.55681722556|-163886.46676615745|-163883.31365282263
15.4|1.0|0.3|0.0|-164107.55046074046|-164104.77572100586|-164101.93791900453|-164099.11272945654|-164096.24970254855
15.6|1.0|0.3|0.0|-163843.87577059836|-163840.74788217022|-163837.54431902207|-163834.3659807806|-163831.11196781907
15.8|1.0|0.3|0.0|-163958.11937294496|-163955.0167094235|-163951.85098363535|-163948.7104827539|-163945.50691960574
16.0|1.0|0.3|0.0|-163961.80821482243|-163958.49113959423|-163955.1110020993|-163951.75608951107|-163948.33811465613
16.2|1.0|0.3|0.0|-164027.5086515409|-164024.3555382061|-164021.15197505793|-164017.9862492698|-164014.74484876162
16.4|1.0|0.3|0.0|-164246.3404617138|-164243.52788461916|-164240.66485771118|-164237.8144432565|-164234.9261914418
16.6|1.0|0.3|0.0|-163969.86047697644|-163966.87132553503|-163963.8064993736|-163960.76689811886|-163957.68945950412
16.8|1.0|0.3|0.0|-164469.65416544938|-164466.0217788877|-164462.32633005932|-164458.65610613758|-164454.9228199492
17.0|1.0|0.3|0.0|-164090.39590466666|-164087.0283796251|-164083.5977923168|-164080.1798174619|-164076.72400524694
17.2|1.0|0.3|0.0|-163875.89959511545|-163872.796931594|-163869.60598089916|-163866.4654800177|-163863.23669196287
