times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.0, 0.0)|(1.0, 0.02, 0.0)|(1.0, 0.04, 0.0)
6.0|1.0|0.0|0.0|0|4.004453935218626|8.008907870437252
6.2|1.0|0.0|0.0|0|4.5972392420691905|9.194478484138381
6.4|1.0|0.0|0.0|0|4.332377721990342|8.664755443980685
6.6|1.0|0.0|0.0|0|4.174722055182793|8.349444110365585
6.8|1.0|0.0|0.0|0|4.540483202121104|9.080966404242208
7.0|1.0|0.0|0.0|0|5.158493415512494|10.316986831024987
7.2|1.0|0.0|0.0|0|4.471114708647365|8.94222941729473
7.4|1.0|0.0|0.0|0|4.414358668735949|8.828717337471899
7.6|1.0|0.0|0.0|0|4.521564522061963|9.043129044123926
7.8|1.0|0.0|0.0|0|4.622464148738654|9.244928297477308
8.0|1.0|0.0|0.0|0|4.338683948679245|8.67736789735849
8.2|1.0|0.0|0.0|0|4.653995282200049|9.307990564400098
8.4|1.0|0.0|0.0|0|4.899938122301828|9.799876244603656
8.6|1.0|0.0|0.0|0|4.073822428665007|8.147644857330015
8.8|1.0|0.0|0.0|0|4.250396775290137|8.500793550580275
9.0|1.0|0.0|0.0|0|4.74228245538252|9.48456491076504
9.2|1.0|0.0|0.0|0|4.628770375316963|9.257540750633925
9.4|1.0|0.0|0.0|0|4.754894908810966|9.509789817621932
9.6|1.0|0.0|0.0|0|3.4936495750321774|6.987299150064355
9.8|1.0|0.0|0.0|0|4.426971121975803|8.853942243951606
10.0|1.0|0.0|0.0|0|4.464808482057997|8.929616964115993
10.2|1.0|0.0|0.0|0|4.187334508538479|8.374669017076958
10.4|1.0|0.0|0.0|0|4.326071495385259|8.652142990770518
10.6|1.0|0.0|0.0|0|4.4900333887559825|8.980066777511965
10.8|1.0|0.0|0.0|0|4.073822428500862|8.147644857001724
11.0|1.0|0.0|0.0|0|4.206253188699484|8.412506377398968
11.2|1.0|0.0|0.0|0|4.073822428511922|8.147644857023844
11.4|1.0|0.0|0.0|0|4.8494883090350775|9.698976618070155
11.6|1.0|0.0|0.0|0|4.105353561916273|8.210707123832545
11.8|1.0|0.0|0.0|0|5.063900015639956|10.127800031279913
12.0|1.0|0.0|0.0|0|4.704445095589618|9.408890191179236
12.2|1.0|0.0|0.0|0|4.735976229009102|9.471952458018205
12.4|1.0|0.0|0.0|0|4.559401882133679|9.118803764267359
12.6|1.0|0.0|0.0|0|4.86210076205316|9.72420152410632
12.8|1.0|0.0|0.0|0|4.35760262875352|8.71520525750704
13.0|1.0|0.0|0.0|0|4.471114708835375|8.94222941767075
13.2|1.0|0.0|0.0|0|3.9035543083719677|7.807108616743935
13.4|1.0|0.0|0.0|0|4.149497148612864|8.298994297225727
13.6|1.0|0.0|0.0|0|4.193640735121444|8.387281470242888
13.8|1.0|0.0|0.0|0|4.515258295339882|9.030516590679763
14.0|1.0|0.0|0.0|0|4.0359850685560374|8.071970137112075
14.2|1.0|0.0|0.0|0|4.338683948811958|8.677367897623917
14.4|1.0|0.0|0.0|0|3.6576114683708876|7.315222936741775
14.6|1.0|0.0|0.0|0|4.017066388537642|8.034132777075284
14.8|1.0|0.0|0.0|0|4.23778432202118|8.47556864404236
15.0|1.0|0.0|0.0|0|4.288234135255334|8.576468270510668
15.2|1.0|0.0|0.0|0|4.4458898019383195|8.891779603876639
15.4|1.0|0.0|0.0|0|3.5882429750042504|7.176485950008501
15.6|1.0|0.0|0.0|0|4.918856802284718|9.837713604569435
15.8|1.0|0.0|0.0|0|4.729670002144412|9.459340004288824
16.0|1.0|0.0|0.0|0|4.338683948721155|8.67736789744231
16.2|1.0|0.0|0.0|0|4.792732268760447|9.585464537520894
16.4|1.0|0.0|0.0|0|4.490033388666343|8.980066777332686
16.6|1.0|0.0|0.0|0|4.332377721893136|8.664755443786271
16.8|1.0|0.0|0.0|0|4.376521308721276|8.753042617442553
17.0|1.0|0.0|0.0|0|4.672913962089224|9.345827924178447
17.2|1.0|0.0|0.0|0|4.559401882017847|9.118803764035693
17.4|1.0|0.0|0.0|0|4.199946961767273|8.399893923534545
17.6|1.0|0.0|0.0|0|5.120656055723666|10.241312111447332
17.8|1.0|0.0|0.0|0|4.862100762309274|9.724201524618548
18.0|1.0|0.0|0.0|0|5.082818695831811|10.165637391663623
18.2|1.0|0.0|0.0|0|4.496339615375619|8.992679230751238
18.4|1.0|0.0|0.0|0|4.843182082217536|9.686364164435073
18.6|1.0|0.0|0.0|0|4.824263402264915|9.64852680452983
18.8|1.0|0.0|0.0|0|4.26931545541971|8.53863091083942
19.0|1.0|0.0|0.0|0|4.307152815461741|8.614305630923482
19.2|1.0|0.0|0.0|0|4.767507362341275|9.53501472468255
19.4|1.0|0.0|0.0|0|4.6224641487665945|9.244928297533189
19.6|1.0|0.0|0.0|0|4.578320562176523|9.156641124353046
19.8|1.0|0.0|0.0|0|4.263009228648152|8.526018457296304
20.0|1.0|0.0|0.0|0|3.8467982684617166|7.693596536923433
20.2|1.0|0.0|0.0|0|4.181028281932231|8.362056563864462
20.4|1.0|0.0|0.0|0|3.935085441855481|7.870170883710962
20.6|1.0|0.0|0.0|0|4.086434881775058|8.172869763550116
20.8|1.0|0.0|0.0|0|4.937775482321158|9.875550964642317
21.0|1.0|0.0|0.0|0|4.477420935244882|8.954841870489764
21.2|1.0|0.0|0.0|0|4.559401882023667|9.118803764047334
21.4|1.0|0.0|0.0|0|4.855794535666937|9.711589071333874
21.6|1.0|0.0|0.0|0|4.47742093534267|8.95484187068534
21.8|1.0|0.0|0.0|0|4.5530956554180015|9.106191310836003
22.0|1.0|0.0|0.0|0|4.162109601847479|8.324219203694957
22.2|1.0|0.0|0.0|0|4.4521960288606355|8.904392057721271
22.4|1.0|0.0|0.0|0|4.162109601967968|8.324219203935936
22.6|1.0|0.0|0.0|0|3.9918414818739985|7.983682963747997
22.8|1.0|0.0|0.0|0|4.679220188829349|9.358440377658699
23.0|1.0|0.0|0.0|0|4.136884695197805|8.27376939039561
23.2|1.0|0.0|0.0|0|4.3260714953491695|8.652142990698339
23.4|1.0|0.0|0.0|0|4.502645842016209|9.005291684032418
23.6|1.0|0.0|0.0|0|4.117966015216662|8.235932030433323
23.8|1.0|0.0|0.0|0|3.979229028521804|7.958458057043608
24.0|1.0|0.0|0.0|0|3.909860535062035|7.81972107012407
24.2|1.0|0.0|0.0|0|3.954004121878534|7.908008243757068
24.4|1.0|0.0|0.0|0|4.60354546881048|9.20709093762096
24.6|1.0|0.0|0.0|0|4.521564522038098|9.043129044076196
24.8|1.0|0.0|0.0|0|4.52787074884458|9.05574149768916
25.0|1.0|0.0|0.0|0|4.111659788616817|8.223319577233633
25.2|1.0|0.0|0.0|0|4.162109602060518|8.324219204121036
25.4|1.0|0.0|0.0|0|3.6702239215682493|7.340447843136499
25.6|1.0|0.0|0.0|0|4.313459041866008|8.626918083732017
25.8|1.0|0.0|0.0|0|4.054903748583165|8.10980749716633
26.0|1.0|0.0|0.0|0|3.878329401724623|7.756658803449246
26.2|1.0|0.0|0.0|0|4.685526415453642|9.371052830907283
26.4|1.0|0.0|0.0|0|4.527870748873101|9.055741497746203
26.6|1.0|0.0|0.0|0|4.641382828733767|9.282765657467534
26.8|1.0|0.0|0.0|0|4.553095655508223|9.106191311016445
27.0|1.0|0.0|0.0|0|4.174722055296879|8.349444110593758
27.2|1.0|0.0|0.0|0|4.313459041989408|8.626918083978817
27.4|1.0|0.0|0.0|0|4.04229129528685|8.0845825905737
27.6|1.0|0.0|0.0|0|4.136884695334593|8.273769390669186
27.8|1.0|0.0|0.0|0|4.237784321904765|8.47556864380953
28.0|1.0|0.0|0.0|0|3.796348455011612|7.592696910023224
28.2|1.0|0.0|0.0|0|3.9350854417000667|7.870170883400133
28.4|1.0|0.0|0.0|0|3.6954488283215325|7.390897656643065
28.6|1.0|0.0|0.0|0|4.187334508638596|8.374669017277192
28.8|1.0|0.0|0.0|0|4.521564522035769|9.043129044071538
29.0|1.0|0.0|0.0|0|4.206253188514966|8.412506377029931
29.2|1.0|0.0|0.0|0|4.363908855131594|8.727817710263189
29.4|1.0|0.0|0.0|0|4.477420935447444|8.954841870894889
29.6|1.0|0.0|0.0|0|3.8467982684110757|7.6935965368221515
29.8|1.0|0.0|0.0|0|3.840492041775724|7.680984083551448
30.0|1.0|0.0|0.0|0|4.1936407352885|8.387281470577
30.2|1.0|0.0|0.0|0|4.433277348569245|8.86655469713849
30.4|1.0|0.0|0.0|0|4.3765213086863515|8.753042617372703
30.6|1.0|0.0|0.0|0|3.6449990149360385|7.289998029872077
30.8|1.0|0.0|0.0|0|3.941391668537399|7.882783337074798
31.0|1.0|0.0|0.0|0|4.225171868607285|8.45034373721457
31.2|1.0|0.0|0.0|0|4.313459041907335|8.62691808381467
31.4|1.0|0.0|0.0|0|4.1053535618900785|8.210707123780157
31.6|1.0|0.0|0.0|0|4.351296402023291|8.702592804046581
31.8|1.0|0.0|0.0|0|4.3639088552584875|8.727817710516975
32.0|1.0|0.0|0.0|0|4.054903748602373|8.109807497204747
32.2|1.0|0.0|0.0|0|4.754894908825518|9.509789817651036
32.4|1.0|0.0|0.0|0|4.023372615189292|8.046745230378583
32.6|1.0|0.0|0.0|0|4.263009228660376|8.526018457320752
32.8|1.0|0.0|0.0|0|4.288234135335078|8.576468270670157
33.0|1.0|0.0|0.0|0|4.414358668740024|8.828717337480048
33.2|1.0|0.0|0.0|0|4.04859752180404|8.09719504360808
33.4|1.0|0.0|0.0|0|3.9476978952024364|7.895395790404873
33.6|1.0|0.0|0.0|0|3.6954488283651883|7.390897656730377
33.8|1.0|0.0|0.0|0|4.351296401972068|8.702592803944135
34.0|1.0|0.0|0.0|0|4.553095655433717|9.106191310867434
34.2|1.0|0.0|0.0|0|4.641382828706992|9.282765657413984
34.4|1.0|0.0|0.0|0|4.225171868589241|8.450343737178482
34.6|1.0|0.0|0.0|0|4.351296402033768|8.702592804067535
