times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.06, 0.0)|(1.0, 0.08, 0.0)|(1.0, 0.1, 0.0)|(1.0, 0.12, 0.0)|(1.0, 0.14, 0.0)
0.0|1.0|0.1|0.0|-164333.91490902196|-164330.37080963366|-164326.77626043194|-164323.18171123028|-164319.5493246686
0.2|1.0|0.1|0.0|-164380.7953980838|-164376.50716394847|-164372.1432550931|-164367.8297960511|-164363.44066228907
0.4|1.0|0.1|0.0|-164424.49728527933|-164420.58742474418|-164416.62711439567|-164412.66680404716|-164408.68126879196
0.6|1.0|0.1|0.0|-164490.99055084234|-164487.14375257387|-164483.22127958536|-164479.32403150355|-164475.37633360838
0.8|1.0|0.1|0.0|-164902.23903903476|-164898.53097775305|-164894.7598542046|-164891.0013431095|-164887.17976974777
1.0|1.0|0.1|0.0|-164503.34876116842|-164499.70376215343|-164496.008313325|-164492.33808940332|-164488.61741566824
1.2|1.0|0.1|0.0|-164821.5198585414|-164817.60999800626|-164813.63707520437|-164809.6893773092|-164805.666004694
1.4|1.0|0.1|0.0|-164618.1818858066|-164614.0576135647|-164609.88289150942|-164605.72078190747|-164601.49561003887
1.6|1.0|0.1|0.0|-164014.2593360016|-164009.80713997284|-164005.3171065841|-164000.83968564868|-163996.3118148999
1.8|1.0|0.1|0.0|-164533.1669866279|-164529.11838910604|-164525.03195422413|-164520.94551934223|-164516.80863464696
2.0|1.0|0.1|0.0|-164020.35358247432|-164015.96444871227|-164011.5248651369|-164007.08528156148|-164002.60786062607
2.2|1.0|0.1|0.0|-164123.62656502062|-164119.54013013872|-164115.40324544348|-164111.2663607482|-164107.10425114626
2.4|1.0|0.1|0.0|-164235.23495825985|-164231.23681055132|-164227.20082548278|-164223.16484041422|-164219.07840553232
2.6|1.0|0.1|0.0|-164381.05908428738|-164377.04832412553|-164372.98711415028|-164368.92590417506|-164364.81424438648
2.8|1.0|0.1|0.0|-164406.9891445521|-164402.67568551007|-164398.29916420134|-164393.96048025266|-164389.55873403727
3.0|1.0|0.1|0.0|-164301.7923042937|-164298.02118074527|-164294.18699493015|-164290.35280911502|-164286.46817348656
3.2|1.0|0.1|0.0|-164232.91778033183|-164228.31423486304|-164223.64762712753|-164218.99363184537|-164214.2891867498
3.4|1.0|0.1|0.0|-164288.53601124263|-164284.77750014755|-164280.9685392391|-164277.15957833067|-164273.30016760886
3.6|1.0|0.1|0.0|-164049.85452533458|-164045.75547799934|-164041.5933683974|-164037.4438712488|-164033.24392428683
3.8|1.0|0.1|0.0|-164635.22146710922|-164631.71520508092|-164628.1332683326|-164624.58916894428|-164620.99461974262
4.0|1.0|0.1|0.0|-164601.18099225956|-164597.22068191104|-164593.20992174916|-164589.22438649397|-164585.17578897206
4.2|1.0|0.1|0.0|-164238.9774318836|-164235.33243286854|-164231.6495964935|-164227.96676011846|-164224.23347393004
4.4|1.0|0.1|0.0|-164306.60881090345|-164302.8629122617|-164299.0665638066|-164295.28282780483|-164291.43602953636
4.6|1.0|0.1|0.0|-164031.29482225567|-164027.39757417384|-164023.43726382536|-164019.5021783835|-164015.5166431283
4.8|1.0|0.1|0.0|-164485.62538410223|-164481.85426055384|-164478.00746228534|-164474.1606640169|-164470.3012532951
5.0|1.0|0.1|0.0|-164305.66928570293|-164301.4188889276|-164297.11804233893|-164292.81719575028|-164288.47851180157
5.2|1.0|0.1|0.0|-164338.70434118036|-164335.26114141877|-164331.7674918438|-164328.27384226886|-164324.75496778722
5.4|1.0|0.1|0.0|-164097.82919342958|-164093.5787966543|-164089.27795006562|-164084.98971593028|-164080.6510319816
5.6|1.0|0.1|0.0|-164067.4331808821|-164063.49809544024|-164059.4873352784|-164055.5018000232|-164051.46581495466
5.8|1.0|0.1|0.0|-164124.21799669732|-164120.76218448236|-164117.2306975474|-164113.7244355191|-164110.16772367744
6.0|1.0|0.1|0.0|-163946.9373525614|-163942.73740559942|-163938.4870088241|-163934.2492245021|-163929.94837791345
6.2|1.0|0.1|0.0|-164099.78078255383|-164095.95920919205|-164092.08718601693|-164088.22777529512|-164084.31791475997
6.4|1.0|0.1|0.0|-163975.06502736436|-163971.21822909592|-163967.30836856077|-163963.39850802562|-163959.43819767708
6.6|1.0|0.1|0.0|-164420.9404778122|-164416.96755501037|-164412.9315699418|-164408.92080977996|-164404.84698735137
6.8|1.0|0.1|0.0|-164150.05739192924|-164146.034019314|-164141.96019688543|-164137.8989869102|-164133.81255202834
7.0|1.0|0.1|0.0|-164280.71855147163|-164276.78346602985|-164272.79793077466|-164268.81239551946|-164264.7764104509
7.2|1.0|0.1|0.0|-164025.26286291415|-164022.04668731263|-164018.74222453777|-164015.48821157627|-164012.1585238947
7.4|1.0|0.1|0.0|-164203.79889028365|-164199.7629052151|-164195.6764703332|-164191.60264790463|-164187.4783756627
7.6|1.0|0.1|0.0|-164401.38558429576|-164397.40004904056|-164393.364063972|-164389.34069135677|-164385.2542564749
7.8|1.0|0.1|0.0|-164265.92824324872|-164262.13189479365|-164258.27248407184|-164254.45091071006|-164250.56627508157
8.0|1.0|0.1|0.0|-164454.24478405653|-164450.27186125467|-164446.27371354614|-164442.28817829094|-164438.22696831572
8.2|1.0|0.1|0.0|-164318.5288074093|-164314.20273591398|-164309.82621460527|-164305.44969329654|-164301.0353346278
8.4|1.0|0.1|0.0|-164314.00093666054|-164309.62441535183|-164305.19744422977|-164300.80831046772|-164296.3308895323
8.6|1.0|0.1|0.0|-164601.6506885423|-164597.32461704695|-164592.9354832849|-164588.5841868829|-164584.16982821416
8.8|1.0|0.1|0.0|-164375.39263834365|-164371.54584007518|-164367.64859199338|-164363.76395636488|-164359.82887092303
9.0|1.0|0.1|0.0|-164073.4922718533|-164069.10313809128|-164064.68877942255|-164060.28703320713|-164055.82222472507
9.2|1.0|0.1|0.0|-164228.8496218834|-164224.85147417488|-164220.79026419966|-164216.7542791311|-164212.6678442492
9.4|1.0|0.1|0.0|-164569.40651979664|-164565.0804483013|-164560.66608963258|-164556.30218077722|-164551.86259720178
9.6|1.0|0.1|0.0|-164502.38370895368|-164498.1080872717|-164493.75679086967|-164489.41810692096|-164485.0163607056
9.8|1.0|0.1|0.0|-164501.58788302695|-164497.60234777175|-164493.5915876099|-164489.58082744805|-164485.5196174728
10.0|1.0|0.1|0.0|-164666.81102177064|-164662.59846235532|-164658.32284067335|-164654.07244389804|-164649.77159730936
10.2|1.0|0.1|0.0|-165104.6145020814|-165100.02356906587|-165095.3569613304|-165090.71557850155|-165086.02374585936
10.4|1.0|0.1|0.0|-164900.8981557464|-164896.33244763763|-164891.7289021688|-164887.12535669998|-164882.48397387116
10.6|1.0|0.1|0.0|-164640.6527935451|-164636.45284658315|-164632.20244980784|-164627.95205303252|-164623.65120644387
10.8|1.0|0.1|0.0|-164607.07844275612|-164602.99200787424|-164598.84251072563|-164594.7182384837|-164590.5435164284
11.0|1.0|0.1|0.0|-164551.49269258237|-164547.090946367|-164542.61352543157|-164538.17394185616|-164533.65868356073
11.2|1.0|0.1|0.0|-164638.44969800222|-164634.04795178687|-164629.58314330477|-164625.13094727605|-164620.62830143393
11.4|1.0|0.1|0.0|-164496.50914812274|-164492.19568908075|-164487.81916777205|-164483.46787137|-164479.0661251546
11.6|1.0|0.1|0.0|-164364.155734032|-164359.77921272328|-164355.33962914787|-164350.92527047914|-164346.47307445042
11.8|1.0|0.1|0.0|-164392.23105516506|-164388.6743433234|-164385.07979412173|-164381.48524492007|-164377.840245905
12.0|1.0|0.1|0.0|-164401.9238529764|-164397.97615508124|-164393.96539491936|-164389.9924721175|-164385.95648704897
12.2|1.0|0.1|0.0|-164115.73298895598|-164111.49520463403|-164107.219582952|-164102.95657372335|-164098.6557271347
12.4|1.0|0.1|0.0|-164229.1697195345|-164225.0580597459|-164220.92117505064|-164216.7969028087|-164212.59695584676
12.6|1.0|0.1|0.0|-164014.63188823446|-164011.04995148614|-164007.39234001777|-164003.77256590943|-164000.07711708106
12.8|1.0|0.1|0.0|-164368.21560968886|-164364.20484952698|-164360.11841464508|-164356.05720466984|-164351.9203199746
13.0|1.0|0.1|0.0|-164327.22730579055|-164323.00213392192|-164318.7517371466|-164314.48872791795|-164310.16265642262
13.2|1.0|0.1|0.0|-164363.5987828539|-164359.42406079863|-164355.21150138334|-164350.99894196805|-164346.7359327394
13.4|1.0|0.1|0.0|-164630.4656830583|-164626.50537270977|-164622.5198374546|-164618.55952710606|-164614.49831713084
13.6|1.0|0.1|0.0|-164771.03684978458|-164766.6098786625|-164762.11984527373|-164757.64242433832|-164753.12716604286
13.8|1.0|0.1|0.0|-164523.65031161177|-164519.29901520972|-164514.89726899436|-164510.5081352323|-164506.0685516569
14.0|1.0|0.1|0.0|-164554.6937515193|-164550.41812983734|-164546.0668334353|-164541.74076193996|-164537.36424063123
14.2|1.0|0.1|0.0|-164135.69624441976|-164131.88728351134|-164128.0278727895|-164124.16846206773|-164120.27121398592
14.4|1.0|0.1|0.0|-164672.59577061667|-164668.69852253486|-164664.76343709303|-164660.84096410454|-164656.85542884935
