A,B,C,Equation,RMSE
-1.703889641248705e-08,179.9797091569053,-164266.33996692186,U = -0.0000*lambda^2 + 179.9797*lambda + -164266.3400,0.01334776597263513
-2.2522238310206433,177.23199610834126,-164620.98460921348,U = -2.2522*lambda^2 + 177.2320*lambda + -164620.9846,0.01264843759035014
4.504447616979776,183.5832672493416,-164190.43878148633,U = 4.5044*lambda^2 + 183.5833*lambda + -164190.4388,0.01250387926162086
9.008895188092692,185.92558002841542,-164581.69802163343,U = 9.0089*lambda^2 + 185.9256*lambda + -164581.6980,0.013881886148586965
4.504447608115849,175.51129711425165,-164232.98458744,U = 4.5044*lambda^2 + 175.5113*lambda + -164232.9846,0.015254589695897542
6.756671433468201,174.2230250906141,-164552.72069298092,U = 6.7567*lambda^2 + 174.2230*lambda + -164552.7207,0.010786623811964925
6.756671413030073,183.80848963509197,-164521.29622500876,U = 6.7567*lambda^2 + 183.8085*lambda + -164521.2962,0.012932707642535518
2.252223790046975,162.0429987302923,-164225.94624724734,U = 2.2522*lambda^2 + 162.0430*lambda + -164225.9462,0.01452193674113683
-4.504447642956141,171.83566785915173,-164807.48748675166,U = -4.5044*lambda^2 + 171.8357*lambda + -164807.4875,0.011440942258172888
2.2522237955814886,179.95268246962223,-164650.99360714172,U = 2.2522*lambda^2 + 179.9527*lambda + -164650.9936,0.011598755824311592
4.504447605871747,207.79917766476865,-164505.30094598338,U = 4.5044*lambda^2 + 207.7992*lambda + -164505.3009,0.008943795985571023
9.008895205570733,179.74547788672498,-164466.32373138078,U = 9.0089*lambda^2 + 179.7455*lambda + -164466.3237,0.014332922991434148
4.504447582899476,166.05195711832494,-164537.85724245096,U = 4.5044*lambda^2 + 166.0520*lambda + -164537.8572,0.015254589692597477
-2.2522238047771626,175.3401280992839,-164688.26061017602,U = -2.2522*lambda^2 + 175.3401*lambda + -164688.2606,0.007627294857298953
4.504447578050614,177.27704059216194,-164700.37641226064,U = 4.5044*lambda^2 + 177.2770*lambda + -164700.3764,0.0125038792656469
4.5044476056910225,203.00644539561472,-164714.84998174154,U = 4.5044*lambda^2 + 203.0064*lambda + -164714.8500,0.011984201190488947
6.756671412426124,193.6462032395939,-164866.11049110437,U = 6.7567*lambda^2 + 193.6462*lambda + -164866.1105,0.009534118555810883
11.261119046738077,163.07001278351527,-164406.54683539807,U = 11.2611*lambda^2 + 163.0700*lambda + -164406.5468,0.008201558904242309
4.504447572486586,176.77254245997756,-164886.3238514806,U = 4.5044*lambda^2 + 176.7725*lambda + -164886.3239,0.015254589679397221
-6.756671449464889,166.8177132078854,-164713.37049950336,U = -6.7567*lambda^2 + 166.8177*lambda + -164713.3705,0.014332923007532061
