times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.14, 0.0)|(1.0, 0.16, 0.0)|(1.0, 0.18, 0.0)|(1.0, 0.2, 0.0)|(1.0, 0.22, 0.0)
0.0|1.0|0.18|0.0|-164097.27118783726|-164093.68925108892|-164090.11992679394|-164086.5127651389|-164082.90560348387
0.2|1.0|0.18|0.0|-164287.71923325935|-164284.06162179098|-164280.4292352293|-164276.74639885424|-164273.0635624792
0.4|1.0|0.18|0.0|-164328.79799378518|-164325.5692057303|-164322.3530301288|-164319.0990171673|-164315.83239175245
0.6|1.0|0.18|0.0|-164222.7410195135|-164219.3104322052|-164215.8924573503|-164212.4114202287|-164208.95560801373
0.8|1.0|0.18|0.0|-164163.95437449942|-164160.85171097796|-164157.77427236323|-164154.64638393506|-164151.51849550696
1.0|1.0|0.18|0.0|-164204.92886286878|-164201.3973759338|-164197.8658889988|-164194.2965647038|-164190.72724040883
1.2|1.0|0.18|0.0|-164170.92568866626|-164166.90231605104|-164162.8915558892|-164158.8051210073|-164154.76913593875
1.4|1.0|0.18|0.0|-163882.30212275012|-163878.29136258824|-163874.30582733304|-163870.24461735782|-163866.20863228926
1.6|1.0|0.18|0.0|-163877.28651335617|-163873.62890188783|-163869.99651532611|-163866.31367895106|-163862.630842576
1.8|1.0|0.18|0.0|-163893.2329309904|-163889.97891802888|-163886.76274242738|-163883.47089210583|-163880.20426669097
2.0|1.0|0.18|0.0|-163984.55352786736|-163980.69411714555|-163976.83470642378|-163972.95007079528|-163969.06543516682
2.2|1.0|0.18|0.0|-164073.21568623022|-164069.74726156195|-164066.30406180033|-164062.8104122254|-164059.3167626504
2.4|1.0|0.18|0.0|-163994.87990373193|-163991.31057943692|-163987.72864268857|-163984.09625612688|-163980.48909447188
2.6|1.0|0.18|0.0|-164189.86581408905|-164186.37216451406|-164182.89112739245|-164179.35964045746|-164175.85337842916
2.8|1.0|0.18|0.0|-164325.4226875111|-164321.63895150932|-164317.88044041424|-164314.0714795058|-164310.2751310507
3.0|1.0|0.18|0.0|-164037.8681829424|-164033.83219787382|-164029.82143771197|-164025.7476152834|-164021.69901776154
3.2|1.0|0.18|0.0|-164085.38188317366|-164081.3458981051|-164077.30991303653|-164073.236090608|-164069.17488063278
3.4|1.0|0.18|0.0|-164050.21836326394|-164046.5733642489|-164042.94097768722|-164039.2455288588|-164035.58791739045
3.6|1.0|0.18|0.0|-163846.85674783346|-163842.82076276492|-163838.81000260304|-163834.72356772114|-163830.67497019927
3.8|1.0|0.18|0.0|-163979.71626935233|-163975.99559561725|-163972.2875343355|-163968.51641078712|-163964.79573705205
4.0|1.0|0.18|0.0|-164329.9893234889|-164326.2812622072|-164322.59842583214|-164318.86513964375|-164315.13185345533
4.2|1.0|0.18|0.0|-164311.72534974036|-164307.9416137386|-164304.17049019015|-164300.34891682837|-164296.55256837327
4.4|1.0|0.18|0.0|-164388.01635196153|-164384.83801372003|-164381.6975128386|-164378.50656214377|-164375.3029989956
4.6|1.0|0.18|0.0|-164334.75438781828|-164331.3111880567|-164327.8806007484|-164324.39956362676|-164320.94375141183
4.8|1.0|0.18|0.0|-164305.8265152565|-164302.42115285492|-164299.05362781335|-164295.5978155984|-164292.16722829014
5.0|1.0|0.18|0.0|-164299.09146517338|-164295.69871522512|-164292.30596527687|-164288.87537796862|-164285.44479066035
5.2|1.0|0.18|0.0|-163948.57495287978|-163944.69031725128|-163940.8309065295|-163936.908433541|-163933.01118545918
5.4|1.0|0.18|0.0|-164012.21002381612|-164008.66592442783|-164005.13443749284|-164001.5525007445|-163997.98317644952
5.6|1.0|0.18|0.0|-164254.69712452573|-164251.3043745775|-164247.92423708257|-164244.46842486763|-164241.03783755936
5.8|1.0|0.18|0.0|-164460.10621363673|-164456.15851574155|-164452.22343029972|-164448.21267013784|-164444.239747336
6.0|1.0|0.18|0.0|-164208.18956528942|-164204.94816478124|-164201.73198917974|-164198.45275131153|-164195.19873835
6.2|1.0|0.18|0.0|-164447.4967114578|-164444.06612414954|-164440.66076174795|-164437.20494953298|-164433.7617497714
6.4|1.0|0.18|0.0|-164266.18221366475|-164262.13361614288|-164258.122855981|-164254.0364210991|-164249.97521112385
6.6|1.0|0.18|0.0|-164104.00746073772|-164100.1480500159|-164096.33908910747|-164092.45445347895|-164088.5950427572
6.8|1.0|0.18|0.0|-163928.311252942|-163925.23381432725|-163922.19421307248|-163919.0789370977|-163916.00149848292
7.0|1.0|0.18|0.0|-163962.25136487783|-163958.60636586277|-163954.98659175442|-163951.29114292603|-163947.6335314577
7.2|1.0|0.18|0.0|-163956.63600032247|-163953.3063126409|-163949.97662495935|-163946.62171237112|-163943.2667997829
7.4|1.0|0.18|0.0|-164102.9887027302|-164099.70946486198|-164096.45545190046|-164093.12576421892|-164089.82130144403
7.6|1.0|0.18|0.0|-163979.90461171078|-163975.8055643755|-163971.73174194698|-163967.58224479837|-163963.48319746312
7.8|1.0|0.18|0.0|-164264.00769491523|-164260.12305928674|-164256.2510361116|-164252.3537880298|-164248.44392749463
8.0|1.0|0.18|0.0|-164310.14537931568|-164306.2355187805|-164302.31304579202|-164298.35273544354|-164294.4050375483
8.2|1.0|0.18|0.0|-164542.79469361078|-164539.62896782265|-164536.50107939454|-164533.28490379304|-164530.11917800485
8.4|1.0|0.18|0.0|-164384.09219324347|-164380.59854366852|-164377.1175065469|-164373.58601961192|-164370.07975758362
8.6|1.0|0.18|0.0|-164358.1380345837|-164354.7578970888|-164351.40298450057|-164347.98500964564|-164344.5922596974
8.8|1.0|0.18|0.0|-164409.437109997|-164406.23354684885|-164403.06782106071|-164399.82642055253|-164396.59763249767
9.0|1.0|0.18|0.0|-164382.5725843845|-164379.21767179624|-164375.86275920802|-164372.4826217131|-164369.08987176485
9.2|1.0|0.18|0.0|-164074.47557421422|-164070.52787631904|-164066.56756597053|-164062.569418262|-164058.5838830068
9.4|1.0|0.18|0.0|-164282.4350801333|-164278.39909506473|-164274.35049754285|-164270.2514502076|-164266.16501532574
9.6|1.0|0.18|0.0|-164469.232391277|-164465.1081190351|-164460.9964592465|-164456.83434964457|-164452.68485249596
9.8|1.0|0.18|0.0|-164289.8040940462|-164285.76810897767|-164281.73212390914|-164277.64568902724|-164273.584479052
10.0|1.0|0.18|0.0|-164559.40680937344|-164554.94200089134|-164550.4898048626|-164545.9871590205|-164541.49712563172
10.2|1.0|0.18|0.0|-164421.54611969367|-164417.69932142517|-164413.87774806342|-164409.99311243492|-164406.13370171314
10.4|1.0|0.18|0.0|-164418.83752699432|-164415.23036533932|-164411.63581613763|-164407.9655922159|-164404.3332056542
10.6|1.0|0.18|0.0|-164255.00175811793|-164251.88648214316|-164248.79643107505|-164245.63070528692|-164242.5028168588
10.8|1.0|0.18|0.0|-164515.44320797065|-164511.93694594235|-164508.4811337274|-164504.9370343391|-164501.4307723108
11.0|1.0|0.18|0.0|-164808.6229161322|-164804.77611786374|-164800.96715695533|-164797.08252132684|-164793.22311060503
11.2|1.0|0.18|0.0|-164461.20151935902|-164457.08985957043|-164452.97819978185|-164448.81609017993|-164444.65398057798
11.4|1.0|0.18|0.0|-164195.64314450978|-164192.06120776144|-164188.49188346643|-164184.88472181142|-164181.27756015642
11.6|1.0|0.18|0.0|-164554.9141541695|-164551.91239027475|-164548.91062638003|-164545.85841267195|-164542.83142387052
11.8|1.0|0.18|0.0|-164291.43147372082|-164287.3702637456|-164283.33427867704|-164279.27306870182|-164275.18663381992
12.0|1.0|0.18|0.0|-164438.8940881745|-164435.99322390647|-164433.1049720918|-164430.17888291713|-164427.26540619574
12.2|1.0|0.18|0.0|-164190.50014512832|-164187.22090726014|-164183.96689429862|-164180.6498190704|-164177.35796874884
12.4|1.0|0.18|0.0|-164529.78883172077|-164526.69878065266|-164523.63395449123|-164520.53129096978|-164517.44123990167
12.6|1.0|0.18|0.0|-164610.28131332013|-164606.68676411844|-164603.11743982343|-164599.48505326174|-164595.87789160674
12.8|1.0|0.18|0.0|-164388.24382862402|-164384.48531752892|-164380.73941888718|-164376.93045797874|-164373.15933443033
13.0|1.0|0.18|0.0|-164348.29149072722|-164344.4320800054|-164340.58528173697|-164336.68803365514|-164332.81601048
13.2|1.0|0.18|0.0|-164678.7419378762|-164675.36180038133|-164671.98166288642|-164668.57630048483|-164665.17093808323
13.4|1.0|0.18|0.0|-164202.04165146736|-164198.08134111887|-164194.12103077033|-164190.1228830618|-164186.12473535328
13.6|1.0|0.18|0.0|-164356.26958434668|-164352.3471113582|-164348.41202591636|-164344.4391031145|-164340.478792766
13.8|1.0|0.18|0.0|-164315.50613515434|-164311.886361046|-164308.29181184433|-164304.6468128293|-164300.9892013609
14.0|1.0|0.18|0.0|-164565.337660195|-164561.32690003316|-164557.32875232465|-164553.29276725606|-164549.25678218753
14.2|1.0|0.18|0.0|-164340.50806697024|-164337.01441739526|-164333.53338027364|-164330.014505792|-164326.5082437637
14.4|1.0|0.18|0.0|-164819.5647725518|-164815.81887391006|-164812.09820017498|-164808.30185171988|-164804.54334062478
14.6|1.0|0.18|0.0|-164482.1996865485|-164478.68081206683|-164475.1871624919|-164471.64306310355|-164468.1241886219
14.8|1.0|0.18|0.0|-164337.0647054832|-164333.003495508|-164328.94228553277|-164324.83062574416|-164320.7189659556
15.0|1.0|0.18|0.0|-164208.2314633767|-164204.73781380174|-164201.25677668012|-164197.72528974514|-164194.21902771684
15.2|1.0|0.18|0.0|-164305.53654088872|-164302.25730302054|-164298.97806515233|-164295.64837747076|-164292.34391469593
15.4|1.0|0.18|0.0|-164432.84444383252|-164429.3886316176|-164425.95804430931|-164422.46439473436|-164418.99597006608
15.6|1.0|0.18|0.0|-164484.25609279415|-164481.03991719263|-164477.8363540445|-164474.56972862963|-164471.3157156681
15.8|1.0|0.18|0.0|-164540.65849710384|-164536.87476110208|-164533.0910251003|-164529.25683928517|-164525.44787837673
16.0|1.0|0.18|0.0|-164259.1553384635|-164255.53556435514|-164251.9536276068|-164248.3464659518|-164244.7140793901
16.2|1.0|0.18|0.0|-164502.06936387744|-164498.68922638253|-164495.3343137943|-164491.91633893937|-164488.5235889911
16.4|1.0|0.18|0.0|-164269.45697556806|-164266.10206297983|-164262.75976284491|-164259.37962535003|-164255.99948785512
16.6|1.0|0.18|0.0|-164395.947270107|-164392.41578317204|-164388.8969086904|-164385.31497194205|-164381.75826010038
16.8|1.0|0.18|0.0|-164029.56351113756|-164026.32211062938|-164023.09332257454|-164019.81408470636|-164016.53484683813
17.0|1.0|0.18|0.0|-164299.8317439536|-164296.27503211194|-164292.71832027027|-164289.13638352192|-164285.5544467736
17.2|1.0|0.18|0.0|-164237.36486829608|-164233.84599381444|-164230.35234423948|-164226.82085730453|-164223.28937036952
17.4|1.0|0.18|0.0|-164264.00236974852|-164260.34475828012|-164256.6619219051|-164252.9664730767|-164249.2710242483
17.6|1.0|0.18|0.0|-164113.02662678028|-164109.6843266454|-164106.3420265105|-164102.9618890156|-164099.58175152072
17.8|1.0|0.18|0.0|-164146.18959524334|-164142.92296982845|-164139.65634441358|-164136.33926918538|-164133.02219395718
18.0|1.0|0.18|0.0|-164434.02583493787|-164430.79704688303|-164427.59348373488|-164424.3142458667|-164421.07284535852
18.2|1.0|0.18|0.0|-164181.02189334878|-164177.64175585387|-164174.2742308123|-164170.85625595736|-164167.45089355577
18.4|1.0|0.18|0.0|-164147.5711888133|-164143.7748403582|-164140.0037168098|-164136.1695309947|-164132.3479576329
18.6|1.0|0.18|0.0|-164062.9450054434|-164059.70360493523|-164056.48742933373|-164053.18296655887|-164049.92895359735
18.8|1.0|0.18|0.0|-164120.19095861874|-164116.6846965904|-164113.2288843755|-164109.6973974405|-164106.19113541223
19.0|1.0|0.18|0.0|-164210.3226413203|-164206.89205401202|-164203.4740791571|-164199.9930420355|-164196.5498422739
19.2|1.0|0.18|0.0|-164077.65344674187|-164074.67690775383|-164071.71298121908|-164068.69860487102|-164065.70945342962
19.4|1.0|0.18|0.0|-164064.8142329707|-164061.5097701958|-164058.2179198743|-164054.87561973938|-164051.54593205784
19.6|1.0|0.18|0.0|-164387.86738621732|-164384.43679890907|-164381.04404896082|-164377.60084919925|-164374.17026189092
19.8|1.0|0.18|0.0|-164374.5486354911|-164370.63877495594|-164366.75413932747|-164362.79382897896|-164358.85874353713
20.0|1.0|0.18|0.0|-164251.29974146033|-164247.2637563918|-164243.26560868326|-164239.17917380136|-164235.13057627945
20.2|1.0|0.18|0.0|-164156.99252347692|-164153.62499843535|-164150.2953107538|-164146.8899483522|-164143.50981085733
20.4|1.0|0.18|0.0|-164147.98045716068|-164144.71383174584|-164141.45981878432|-164138.15535600943|-164134.86350568788
20.6|1.0|0.18|0.0|-164373.66953307934|-164370.20110841107|-164366.77052110282|-164363.27687152784|-164359.79583440622
20.8|1.0|0.18|0.0|-164348.01319799616|-164344.46909860783|-164340.93761167288|-164337.3556749245|-164333.79896308287
21.0|1.0|0.18|0.0|-164551.0384554602|-164547.052920205|-164543.0673849498|-164539.03139988126|-164535.02063971938
21.2|1.0|0.18|0.0|-164392.94135285317|-164389.04410477137|-164385.17208159622|-164381.24960860773|-164377.3145231659
21.4|1.0|0.18|0.0|-164475.3611778693|-164471.8044660276|-164468.2603666393|-164464.64059253095|-164461.0586557826
21.6|1.0|0.18|0.0|-164407.03557566318|-164403.25183966142|-164399.46810365963|-164395.64653029788|-164391.83756938943
21.8|1.0|0.18|0.0|-164387.32231109397|-164384.00523586577|-164380.70077309088|-164377.34586050268|-164374.0161728211
22.0|1.0|0.18|0.0|-164223.0571090259|-164219.5256220909|-164216.0193600626|-164212.46264822097|-164208.9059363793
22.2|1.0|0.18|0.0|-164383.4914719185|-164379.9473725302|-164376.4032731419|-164372.82133639354|-164369.25201209856
22.4|1.0|0.18|0.0|-164476.0441695482|-164472.6640320533|-164469.2838945584|-164465.8533072501|-164462.42271994185
22.6|1.0|0.18|0.0|-164375.5085135156|-164371.72477751382|-164367.9410415121|-164364.1194681503|-164360.29789478853
22.8|1.0|0.18|0.0|-164137.81421788482|-164133.6521082829|-164129.51522358763|-164125.327889079|-164121.16577947704
23.0|1.0|0.18|0.0|-164007.45190017074|-164003.6177143556|-163999.80875344714|-163995.97456763205|-163992.11515691024
23.2|1.0|0.18|0.0|-164634.13292574498|-164631.38341091704|-164628.65912099576|-164625.88438126113|-164623.1096415265
23.4|1.0|0.18|0.0|-164372.33477952288|-164369.78706394837|-164367.25196082715|-164364.64118298597|-164362.06824250476
23.6|1.0|0.18|0.0|-164204.94392617405|-164201.63946339922|-164198.36022553098|-164195.00531294275|-164191.68823771455
23.8|1.0|0.18|0.0|-164436.1081695579|-164432.29920864946|-164428.49024774102|-164424.6560619259|-164420.8344885641
24.0|1.0|0.18|0.0|-164104.04799346626|-164100.69308087803|-164097.3760056498|-164093.99586815492|-164090.64095556666
24.2|1.0|0.18|0.0|-164450.78334686236|-164446.9113236872|-164443.06452541874|-164439.16727733694|-164435.28264170844
24.4|1.0|0.18|0.0|-164236.0058789489|-164232.15908068046|-164228.33750731865|-164224.45287169018|-164220.58084851506
24.6|1.0|0.18|0.0|-164072.4980338594|-164068.86564729764|-164065.25848564267|-164061.60087417427|-164057.94326270593
24.8|1.0|0.18|0.0|-164152.87577557008|-164148.91546522154|-164144.96776732636|-164140.9570071645|-164136.97147190932
25.0|1.0|0.18|0.0|-164176.2218449716|-164172.62729576993|-164169.07058392826|-164165.45080981994|-164161.85626061822
25.2|1.0|0.18|0.0|-163923.11107302425|-163919.37778683583|-163915.64450064744|-163911.88598955236|-163908.11486600392
25.4|1.0|0.18|0.0|-164173.03944839406|-164169.30616220567|-164165.59810092393|-164161.83958982886|-164158.0936911871
25.6|1.0|0.18|0.0|-164530.10102359077|-164526.09026342884|-164522.10472817364|-164518.08135555845|-164514.04537048988
25.8|1.0|0.18|0.0|-164284.7088249844|-164281.1268882361|-164277.54495148777|-164273.91256492605|-164270.2927908177
26.0|1.0|0.18|0.0|-164328.72296431824|-164325.35543927667|-164321.9879142351|-164318.5699393802|-164315.17718943194
26.2|1.0|0.18|0.0|-164414.8826451812|-164411.28809597951|-164407.71877168454|-164404.08638512285|-164400.47922346782
26.4|1.0|0.18|0.0|-164493.5639681785|-164490.1207684169|-164486.702793562|-164483.22175644035|-164479.76594422542
26.6|1.0|0.18|0.0|-164572.14067960795|-164568.28126888614|-164564.4344706177|-164560.52461008253|-164556.6525869074
26.8|1.0|0.18|0.0|-164778.20934153147|-164774.72830440986|-164771.29771710158|-164767.77884261994|-164764.27258059164
27.0|1.0|0.18|0.0|-164624.9554210067|-164621.5122212451|-164618.08163393685|-164614.61320926854|-164611.14478460027
27.2|1.0|0.18|0.0|-164716.10474921882|-164712.96424833735|-164709.8237474559|-164706.64540921443|-164703.46707097295
27.4|1.0|0.18|0.0|-164665.1868258142|-164661.60488906587|-164658.04817722423|-164654.41579066255|-164650.83385391417
27.6|1.0|0.18|0.0|-164581.3896858285|-164577.56811246672|-164573.78437646493|-164569.92496574315|-164566.07816747468
27.8|1.0|0.18|0.0|-164606.1605441867|-164602.31374591825|-164598.46694764978|-164594.58231202132|-164590.69767639285
28.0|1.0|0.18|0.0|-164616.24705986193|-164612.47593631354|-164608.73003767178|-164604.92107676333|-164601.12472830823
28.2|1.0|0.18|0.0|-164832.18737903936|-164828.20184378416|-164824.254145889|-164820.25599818048|-164816.27046292528
28.4|1.0|0.18|0.0|-164378.39536542975|-164374.3593803612|-164370.36123265268|-164366.30002267746|-164362.25142515555
28.6|1.0|0.18|0.0|-164342.05917804354|-164338.2502171351|-164334.44125622665|-164330.58184550487|-164326.7602721431
28.8|1.0|0.18|0.0|-164484.9230127496|-164481.55548770804|-164478.18796266647|-164474.76998781157|-164471.3772378633
29.0|1.0|0.18|0.0|-164461.18252960398|-164457.12131962876|-164453.0853345602|-164448.9988996783|-164444.91246479636
29.2|1.0|0.18|0.0|-164530.33733274107|-164527.09593223286|-164523.86714417805|-164520.58790630987|-164517.32128089498
29.4|1.0|0.18|0.0|-164351.1017583375|-164347.4693717758|-164343.8622101208|-164340.20459865243|-164336.5595996374
29.6|1.0|0.18|0.0|-164269.3604482461|-164265.58932469765|-164261.85603850926|-164258.0723025075|-164254.30117895905
29.8|1.0|0.18|0.0|-164218.1412752355|-164214.5593384872|-164210.96478928553|-164207.3197902705|-164203.71262861547
30.0|1.0|0.18|0.0|-164413.0793540464|-164409.0181440712|-164404.98215900263|-164400.87049921404|-164396.79667678548
30.2|1.0|0.18|0.0|-164269.95773104826|-164266.4766939266|-164262.995656805|-164259.46416987|-164255.95790784172
30.4|1.0|0.18|0.0|-164301.73181661035|-164298.35167911547|-164294.97154162053|-164291.52834185894|-164288.12297945734
30.6|1.0|0.18|0.0|-164258.06510416587|-164254.6345168576|-164251.20392954937|-164247.71027997436|-164244.24185530609
30.8|1.0|0.18|0.0|-164282.774338549|-164279.205014254|-164275.64830241233|-164272.04114075733|-164268.44659155564
31.0|1.0|0.18|0.0|-164587.56143103086|-164583.72724521573|-164579.90567185395|-164576.0336486788|-164572.174237957
31.2|1.0|0.18|0.0|-164484.0539854239|-164480.43421131556|-164476.8396621139|-164473.1820506455|-164469.56227653718
31.4|1.0|0.18|0.0|-164537.9391671145|-164533.82750732588|-164529.75368489735|-164525.6168002021|-164521.49252796016
31.6|1.0|0.18|0.0|-164371.1960609756|-164367.1348510004|-164363.0862534785|-164358.98720614327|-164354.90077126137
31.8|1.0|0.18|0.0|-164470.79660499538|-164466.98764408694|-164463.20390808518|-164459.34449736337|-164455.51031154825
32.0|1.0|0.18|0.0|-164489.83237767417|-164486.590977166|-164483.3495766578|-164480.04511388292|-164476.79110092143
32.2|1.0|0.18|0.0|-164349.7280984961|-164346.08309948107|-164342.4633253727|-164338.79310145098|-164335.12287752927
32.4|1.0|0.18|0.0|-164169.9459254479|-164166.4144385129|-164162.89556403126|-164159.32623973626|-164155.78214034793
32.6|1.0|0.18|0.0|-163905.05918041774|-163901.65381801614|-163898.27368052123|-163894.84309321298|-163891.4125059047
32.8|1.0|0.18|0.0|-164304.38206559053|-164300.68661676213|-164297.01639284042|-164293.283106652|-164289.56243291698
33.0|1.0|0.18|0.0|-164180.3913874669|-164176.64548882516|-164172.92481509008|-164169.15369154167|-164165.3951804466
33.2|1.0|0.18|0.0|-164225.21604663448|-164221.6593347928|-164218.12784785783|-164214.50807374946|-164210.93874945448
33.4|1.0|0.18|0.0|-164143.07856232216|-164139.21915160038|-164135.39757823857|-164131.52555506348|-164127.65353188833
33.6|1.0|0.18|0.0|-164363.37545807534|-164359.46559754017|-164355.56834945836|-164351.6332640165|-164347.71079102805
33.8|1.0|0.18|0.0|-164505.0424986678|-164501.49839927952|-164497.97952479788|-164494.41020050287|-164490.85348866123
34.0|1.0|0.18|0.0|-164059.69313039895|-164056.06074383727|-164052.42835727558|-164048.72029599387|-164045.06268452547
34.2|1.0|0.18|0.0|-164141.87295559005|-164138.3540811084|-164134.84781908014|-164131.29110723847|-164127.74700785012
34.4|1.0|0.18|0.0|-164244.96634645373|-164241.54837159882|-164238.14300919723|-164234.68719698227|-164231.24399722068
34.6|1.0|0.18|0.0|-164211.34494988262|-164207.58643878755|-164203.85315259916|-164200.05680414403|-164196.26045568893
34.8|1.0|0.18|0.0|-164355.1466333363|-164351.18632298778|-164347.25123754595|-164343.2530898374|-164339.28016703555
35.0|1.0|0.18|0.0|-163991.85752735363|-163988.13685361855|-163984.44140479018|-163980.67028124174|-163976.93699505334
35.2|1.0|0.18|0.0|-164352.13225698823|-164348.3611334398|-164344.60262234468|-164340.79366143627|-164336.99731298117
35.4|1.0|0.18|0.0|-164402.4172358717|-164398.8100742167|-164395.215525015|-164391.57052599997|-164387.93813943828
