A,B,C,Equation,RMSE
15.76556670804766,103.1068060186808,-164401.5128289407,U = 15.7656*lambda^2 + 103.1068*lambda + -164401.5128,0.009438295840719679
15.76556668537182,120.13361804597662,-164501.1725834753,U = 15.7656*lambda^2 + 120.1336*lambda + -164501.1726,0.009438295842275346
20.27001429843437,104.24192684557056,-164670.90679940593,U = 20.2700*lambda^2 + 104.2419*lambda + -164670.9068,0.008943795993544884
15.765566685323044,117.7372519117489,-164725.96974238966,U = 15.7656*lambda^2 + 117.7373*lambda + -164725.9697,0.014269362049320293
15.76556667850298,135.773060192907,-164825.25589989295,U = 15.7656*lambda^2 + 135.7731*lambda + -164825.2559,0.014269362053436195
15.765566694329411,116.60213110383484,-164842.39734580062,U = 15.7656*lambda^2 + 116.6021*lambda + -164842.3973,0.007134681024145661
18.017790518153163,113.00758189073531,-164582.5626393185,U = 18.0178*lambda^2 + 113.0076*lambda + -164582.5626,0.002696655946379656
15.765566682511064,126.43984471866861,-164242.18414372663,U = 15.7656*lambda^2 + 126.4398*lambda + -164242.1841,0.009438295845386677
20.270014311830078,80.27826549019665,-164462.3835251512,U = 20.2700*lambda^2 + 80.2783*lambda + -164462.3835,0.008943795984398395
13.513342890575698,101.53024935754365,-164258.43449256357,U = 13.5133*lambda^2 + 101.5302*lambda + -164258.4345,0.012134951800322487
18.01779050250563,113.38595550411264,-164603.3512514949,U = 18.0178*lambda^2 + 113.3860*lambda + -164603.3513,0.009815975844680889
13.513342872089227,132.43076005385956,-164677.80851468645,U = 13.5133*lambda^2 + 132.4308*lambda + -164677.8085,0.012134951795655493
13.51334291888801,107.07972880260786,-164195.95477983486,U = 13.5133*lambda^2 + 107.0797*lambda + -164195.9548,0.007627294853448879
18.01779051905786,101.40412481778185,-164237.7725691549,U = 18.0178*lambda^2 + 101.4041*lambda + -164237.7726,0.011598755834981295
15.765566710024038,114.58413855580147,-164424.356178609,U = 15.7656*lambda^2 + 114.5841*lambda + -164424.3562,0.005044981342507527
18.017790499784258,128.64702404662967,-164264.3667202326,U = 18.0178*lambda^2 + 128.6470*lambda + -164264.3667,0.006741639888895198
22.52223812756566,128.0164013740432,-164165.01106680886,U = 22.5222*lambda^2 + 128.0164*lambda + -164165.0111,0.010786623824410245
20.270014309421157,107.64728923793882,-164443.55729699438,U = 20.2700*lambda^2 + 107.6473*lambda + -164443.5573,0.00894379598674365
20.270014329032637,126.94434283010196,-164480.69958205335,U = 20.2700*lambda^2 + 126.9443*lambda + -164480.6996,0.008943795993544884
