A,B,C,Equation,RMSE
18.017790504720573,47.45886011220864,-164064.0831810492,U = 18.0178*lambda^2 + 47.4589*lambda + -164064.0832,0.007627294855098911
4.504447617554548,79.65665173638263,-164257.7919721239,U = 4.5044*lambda^2 + 79.6567*lambda + -164257.7920,0.005393311905204634
18.017790488443783,67.89103454028373,-163915.71387654467,U = 18.0178*lambda^2 + 67.8910*lambda + -163915.7139,0.011598755833715398
18.017790470052677,69.4045289628848,-164135.6127444437,U = 18.0178*lambda^2 + 69.4045*lambda + -164135.6127,0.011598755833172871
22.522238119095963,68.34147929176106,-164276.4564453722,U = 22.5222*lambda^2 + 68.3415*lambda + -164276.4564,0.012932707640427058
15.76556669237285,69.8099292103725,-164491.15411505266,U = 15.7656*lambda^2 + 69.8099*lambda + -164491.1541,0.005044981339597145
24.77446192478191,60.74698060902301,-164508.19710189494,U = 24.7745*lambda^2 + 60.7470*lambda + -164508.1971,0.00884157781121765
18.017790513973576,71.29639691283228,-164373.62210077155,U = 18.0178*lambda^2 + 71.2964*lambda + -164373.6221,0.0026966559588249787
15.765566658250087,79.7737673886295,-164391.24463973174,U = 15.7656*lambda^2 + 79.7738*lambda + -164391.2446,0.009438295836052686
18.017790499087056,88.32320893806173,-164521.74090094003,U = 18.0178*lambda^2 + 88.3232*lambda + -164521.7409,0.011598755821418113
20.270014285056288,71.0171212067944,-164494.15994963347,U = 20.2700*lambda^2 + 71.0171*lambda + -164494.1599,0.013947213046601714
11.261119056093902,66.20637113106204,-164909.28255810944,U = 11.2611*lambda^2 + 66.2064*lambda + -164909.2826,0.010268559947254079
20.27001430803509,66.98113611145527,-164599.29359290632,U = 20.2700*lambda^2 + 66.9811*lambda + -164599.2936,0.0040449839246253965
15.765566677928753,65.26944602534059,-164667.82834863028,U = 15.7656*lambda^2 + 65.2694*lambda + -164667.8283,0.009438295843831011
13.513342887781887,68.95408415558632,-164503.6241865172,U = 13.5133*lambda^2 + 68.9541*lambda + -164503.6242,0.007627294852623862
13.513342874519308,64.91809910320444,-164886.93430093548,U = 13.5133*lambda^2 + 64.9181*lambda + -164886.9343,0.007627294850698826
11.261119050672603,87.77366634839564,-164885.60924862255,U = 11.2611*lambda^2 + 87.7737*lambda + -164885.6092,0.006466353821673234
20.27001430952985,59.918162239860976,-164701.80460854917,U = 20.2700*lambda^2 + 59.9182*lambda + -164701.8046,0.008943795982053143
20.270014300646864,98.63839400047436,-164620.77716331906,U = 20.2700*lambda^2 + 98.6384*lambda + -164620.7772,0.008943795993544884
15.765566679926586,81.16113723049057,-164450.3871027474,U = 15.7656*lambda^2 + 81.1611*lambda + -164450.3871,0.005044981336686764
22.5222381059719,76.28732491130359,-164208.89084236562,U = 22.5222*lambda^2 + 76.2873*lambda + -164208.8908,0.01136121348150854
13.513342857159664,82.8277828648861,-164336.75681854418,U = 13.5133*lambda^2 + 82.8278*lambda + -164336.7568,0.007627294842998677
13.513342866998196,83.83677912029088,-164283.2850613637,U = 13.5133*lambda^2 + 83.8368*lambda + -164283.2851,0.007627294855648922
6.756671427023016,85.80972718764679,-164430.0741163348,U = 6.7567*lambda^2 + 85.8097*lambda + -164430.0741,0.010786623821298916
15.765566692941473,88.60248468574719,-164554.37601610902,U = 15.7656*lambda^2 + 88.6025*lambda + -164554.3760,0.00943829583760835
18.017790497089138,76.21525373484474,-164317.1974125618,U = 18.0178*lambda^2 + 76.2153*lambda + -164317.1974,0.006741639885783868
18.01779050497208,56.2875774493441,-164248.0595816613,U = 18.0178*lambda^2 + 56.2876*lambda + -164248.0596,0.007627294836948559
13.513342887811133,81.06203936113161,-164061.21963943355,U = 13.5133*lambda^2 + 81.0620*lambda + -164061.2196,0.009144805257198718
13.51334286926012,83.08003191754688,-164109.25038424658,U = 13.5133*lambda^2 + 83.0800*lambda + -164109.2504,0.012648437592505989
24.774461918780485,70.33244515300612,-164189.06795476592,U = 24.7745*lambda^2 + 70.3324*lambda + -164189.0680,0.008841577826163564
9.008895285999067,99.15190098492894,-164261.05844683788,U = 9.0089*lambda^2 + 99.1519*lambda + -164261.0584,0.012932707627127534
18.017790495524196,91.09794867699384,-164354.84579372068,U = 18.0178*lambda^2 + 91.0979*lambda + -164354.8458,0.005720471131286488
18.017790481570252,79.36836708828923,-164412.40803625216,U = 18.0178*lambda^2 + 79.3684*lambda + -164412.4080,0.006741639887339534
18.01779048909067,75.71075561098405,-164194.51481755674,U = 18.0178*lambda^2 + 75.7108*lambda + -164194.5148,0.011598755824492437
22.522238102103785,82.71967611901346,-164215.1692299164,U = 22.5222*lambda^2 + 82.7197*lambda + -164215.1692,0.011361213481693161
18.01779049369282,63.72892493265681,-164193.5320256745,U = 18.0178*lambda^2 + 63.7289*lambda + -164193.5320,0.011598755836247192
20.27001432717537,79.46746489426005,-164386.6118507745,U = 20.2700*lambda^2 + 79.4675*lambda + -164386.6119,0.00894379598416387
20.270014323257918,53.8641846201499,-164198.8073755736,U = 20.2700*lambda^2 + 53.8642*lambda + -164198.8074,0.008943795985101971
