A,B,C,Equation,RMSE
78.82783333787486,-126.43984466203256,-164451.14900666857,U = 78.8278*lambda^2 + -126.4398*lambda + -164451.1490,4.1159031748919956e-11
47.29669999330844,-73.46754064381821,-164186.73582701592,U = 47.2967*lambda^2 + -73.4675*lambda + -164186.7358,3.757288355659128e-11
78.8278334033992,-116.98050478569348,-164309.3539782862,U = 78.8278*lambda^2 + -116.9805*lambda + -164309.3540,6.287145950683878e-11
94.59340012651003,-146.9350815629441,-164105.44403728616,U = 94.5934*lambda^2 + -146.9351*lambda + -164105.4440,1.6803104348644432e-11
94.5934000400352,-179.72746007464593,-164115.8619238282,U = 94.5934*lambda^2 + -179.7275*lambda + -164115.8619,1.0759236471891846e-10
63.06226664853151,-110.98958929073706,-163992.15898151897,U = 63.0623*lambda^2 + -110.9896*lambda + -163992.1590,1.2686065583084343e-10
47.29670008966574,-81.66563550313003,-164176.68428730458,U = 47.2967*lambda^2 + -81.6656*lambda + -164176.6843,4.1159031748919956e-11
63.06226683046067,-110.98958964843769,-164122.32032731228,U = 63.0623*lambda^2 + -110.9896*lambda + -164122.3203,1.6803104348644432e-11
94.593400047105,-184.14181875677605,-164297.5029658675,U = 94.5934*lambda^2 + -184.1418*lambda + -164297.5030,3.757288355659128e-11
78.8278334490194,-145.98914755559235,-164714.06180605685,U = 78.8278*lambda^2 + -145.9891*lambda + -164714.0618,1.365090650454929e-10
63.06226666758582,-127.38577867022832,-164624.36263147325,U = 63.0623*lambda^2 + -127.3858*lambda + -164624.3626,5.0409313045933295e-11
47.29670007487944,-67.79193680158642,-164384.49899379027,U = 47.2967*lambda^2 + -67.7919*lambda + -164384.4990,2.3763178059823288e-11
63.06226671588563,-105.94460808805889,-164317.56005575633,U = 63.0623*lambda^2 + -105.9446*lambda + -164317.5601,6.928097406773644e-11
47.29669999881035,-54.548860646318644,-164638.48393101402,U = 47.2967*lambda^2 + -54.5489*lambda + -164638.4839,1.0759236471891846e-10
78.82783338538025,-137.79105276166229,-164535.39690333125,U = 78.8278*lambda^2 + -137.7911*lambda + -164535.3969,2.3763178059823288e-11
47.29669994591616,-81.66563522162323,-164681.99644674518,U = 47.2967*lambda^2 + -81.6656*lambda + -164681.9964,1.558255792693333e-10
78.82783337039203,-127.70109005918493,-164519.41589142988,U = 78.8278*lambda^2 + -127.7011*lambda + -164519.4159,5.0409313045933295e-11
31.531133339566754,-32.16175599797862,-164460.2147116674,U = 31.5311*lambda^2 + -32.1618*lambda + -164460.2147,2.9103830456733704e-11
63.062266664551366,-94.59339998217183,-164277.74930189524,U = 63.0623*lambda^2 + -94.5934*lambda + -164277.7493,6.928097406773644e-11
63.06226664839693,-75.67471994039079,-164414.1826668488,U = 63.0623*lambda^2 + -75.6747*lambda + -164414.1827,9.797809314101157e-11
94.59340014160375,-153.24130826281908,-164252.06134096612,U = 94.5934*lambda^2 + -153.2413*lambda + -164252.0613,4.1159031748919956e-11
31.53113325639873,-18.288057161073084,-164643.21918212587,U = 31.5311*lambda^2 + -18.2881*lambda + -164643.2192,1.474466422569886e-10
63.062266761901114,-102.16087217706081,-164289.96137812966,U = 63.0623*lambda^2 + -102.1609*lambda + -164289.9614,1.1641532182693481e-10
63.06226678406513,-95.22402288313606,-164394.54363423365,U = 63.0623*lambda^2 + -95.2240*lambda + -164394.5436,7.881354545083945e-11
47.29669997258215,-72.20629526946868,-164482.66344410894,U = 47.2967*lambda^2 + -72.2063*lambda + -164482.6634,1.1641532182693481e-10
31.531133405583194,-46.0354548003379,-164909.52219402144,U = 31.5311*lambda^2 + -46.0355*lambda + -164909.5222,5.0409313045933295e-11
63.062266739359856,-90.80966412583075,-164654.95900634452,U = 63.0623*lambda^2 + -90.8097*lambda + -164654.9590,5.0409313045933295e-11
94.59340009595857,-168.37625217933964,-164625.0711005126,U = 94.5934*lambda^2 + -168.3763*lambda + -164625.0711,5.0409313045933295e-11
78.82783336895427,-127.70109005639097,-164562.39512024156,U = 78.8278*lambda^2 + -127.7011*lambda + -164562.3951,1.1881589029911645e-10
47.296699983111964,-91.75559796582093,-164906.2789110642,U = 47.2967*lambda^2 + -91.7556*lambda + -164906.2789,1.474466422569886e-10
47.29670003625992,-76.6206540636922,-164659.30123113116,U = 47.2967*lambda^2 + -76.6207*lambda + -164659.3012,1.6803104348644432e-11
94.59340007690399,-170.89874281066295,-164334.45488290876,U = 94.5934*lambda^2 + -170.8987*lambda + -164334.4549,1.1641532182693481e-10
78.827833316146,-134.00731662326143,-164468.08478297218,U = 78.8278*lambda^2 + -134.0073*lambda + -164468.0848,6.928097406773644e-11
78.82783346427686,-132.11544891302765,-164441.13172552042,U = 78.8278*lambda^2 + -132.1154*lambda + -164441.1317,7.881354545083945e-11
78.82783339232023,-125.80922210222343,-164167.41626322205,U = 78.8278*lambda^2 + -125.8092*lambda + -164167.4163,4.1159031748919956e-11
78.8278332918454,-139.05229791086458,-164364.69222644926,U = 78.8278*lambda^2 + -139.0523*lambda + -164364.6922,1.2686065583084343e-10
78.82783328043301,-128.3317125500762,-164590.56865331225,U = 78.8278*lambda^2 + -128.3317*lambda + -164590.5687,1.2686065583084343e-10
31.53113343890405,-27.116774857175187,-164614.59548546973,U = 31.5311*lambda^2 + -27.1168*lambda + -164614.5955,6.928097406773644e-11
94.59340007903165,-134.32262813061243,-164659.52104431795,U = 94.5934*lambda^2 + -134.3226*lambda + -164659.5210,1.0759236471891846e-10
78.82783332101116,-108.15178728615865,-164483.31717251678,U = 78.8278*lambda^2 + -108.1518*lambda + -164483.3172,6.928097406773644e-11
110.35896679691814,-201.48394224727235,-164384.30088114346,U = 110.3590*lambda^2 + -201.4839*lambda + -164384.3009,1.1641532182693481e-10
94.59340010810647,-187.92555487999925,-164465.32328140736,U = 94.5934*lambda^2 + -187.9256*lambda + -164465.3233,6.928097406773644e-11
78.8278333440443,-133.37669401073072,-164368.41679112345,U = 78.8278*lambda^2 + -133.3767*lambda + -164368.4168,8.731149137020111e-11
78.82783338598756,-122.02548608712095,-164799.53205847068,U = 78.8278*lambda^2 + -122.0255*lambda + -164799.5321,5.0409313045933295e-11
63.06226665059037,-87.0259279514139,-164478.93041042355,U = 63.0623*lambda^2 + -87.0259*lambda + -164478.9304,9.797809314101157e-11
78.82783345226882,-140.31354355956137,-164327.80799439072,U = 78.8278*lambda^2 + -140.3135*lambda + -164327.8080,4.1159031748919956e-11
78.82783349390125,-130.8542036380968,-164369.6491994838,U = 78.8278*lambda^2 + -130.8542*lambda + -164369.6492,9.048748618892874e-11
94.5933999267171,-161.43940251111053,-164397.08801923005,U = 94.5934*lambda^2 + -161.4394*lambda + -164397.0880,6.287145950683878e-11
94.59340004110136,-177.20496940887824,-164236.67048507734,U = 94.5934*lambda^2 + -177.2050*lambda + -164236.6705,1.2686065583084343e-10
94.59340006802529,-176.57434679464495,-164431.60349833278,U = 94.5934*lambda^2 + -176.5743*lambda + -164431.6035,6.928097406773644e-11
78.82783343858027,-135.2685621966957,-164554.7897371404,U = 78.8278*lambda^2 + -135.2686*lambda + -164554.7897,7.881354545083945e-11
78.82783343843414,-143.46665686646884,-164434.27007387817,U = 78.8278*lambda^2 + -143.4667*lambda + -164434.2701,7.881354545083945e-11
94.59340015555148,-163.33127096261887,-164159.6843521864,U = 94.5934*lambda^2 + -163.3313*lambda + -164159.6844,3.757288355659128e-11
94.59340000259883,-157.65566665834922,-164572.81923954957,U = 94.5934*lambda^2 + -157.6557*lambda + -164572.8192,1.2686065583084343e-10
78.82783326833766,-135.899184529364,-164758.1419510533,U = 78.8278*lambda^2 + -135.8992*lambda + -164758.1420,9.048748618892874e-11
94.59339999512842,-151.98006263995194,-164333.41012547037,U = 94.5934*lambda^2 + -151.9801*lambda + -164333.4101,1.1018532378366748e-10
94.59340005323071,-174.6824787663645,-164368.24572153552,U = 94.5934*lambda^2 + -174.6825*lambda + -164368.2457,5.0409313045933295e-11
78.82783331854597,-127.70108995764167,-163988.59230545402,U = 78.8278*lambda^2 + -127.7011*lambda + -163988.5923,6.928097406773644e-11
63.062266647184984,-103.4221172848629,-164306.12956141937,U = 63.0623*lambda^2 + -103.4221*lambda + -164306.1296,6.287145950683878e-11
78.82783332357535,-123.9173539645708,-164238.293688156,U = 78.8278*lambda^2 + -123.9174*lambda + -164238.2937,1.3123644029322588e-10
94.5934001461792,-157.0250442722172,-164155.0597875325,U = 94.5934*lambda^2 + -157.0250*lambda + -164155.0598,1.2686065583084343e-10
78.82783338548315,-123.28673142076877,-164374.8686454291,U = 78.8278*lambda^2 + -123.2867*lambda + -164374.8686,7.881354545083945e-11
31.531133365486767,-49.819190723239444,-163907.45112467656,U = 31.5311*lambda^2 + -49.8192*lambda + -163907.4511,6.928097406773644e-11
63.062266750880056,-116.03457082834211,-163795.61401548164,U = 63.0623*lambda^2 + -116.0346*lambda + -163795.6140,7.881354545083945e-11
47.29670006548044,-84.81874879052339,-163978.7260257343,U = 47.2967*lambda^2 + -84.8187*lambda + -163978.7260,5.0409313045933295e-11
47.29670010193388,-72.20629552280298,-163902.91113275,U = 47.2967*lambda^2 + -72.2063*lambda + -163902.9111,8.731149137020111e-11
47.29670009124151,-57.07135149624082,-164062.26097016106,U = 47.2967*lambda^2 + -57.0714*lambda + -164062.2610,9.797809314101157e-11
31.53113341850449,-32.79237882044981,-164332.23264776013,U = 31.5311*lambda^2 + -32.7924*lambda + -164332.2326,5.0409313045933295e-11
63.062266709743405,-88.28717340114235,-164309.74183368956,U = 63.0623*lambda^2 + -88.2872*lambda + -164309.7418,1.4551915228366852e-10
63.06226669799779,-104.68336271830776,-164108.3301683131,U = 63.0623*lambda^2 + -104.6834*lambda + -164108.3302,6.928097406773644e-11
63.06226671344125,-94.5934000777197,-164185.84827100404,U = 63.0623*lambda^2 + -94.5934*lambda + -164185.8483,4.1159031748919956e-11
94.5933999840194,-152.61068528614123,-164228.2868111382,U = 94.5934*lambda^2 + -152.6107*lambda + -164228.2868,1.0759236471891846e-10
110.35896675582259,-201.48394216752786,-164185.700973533,U = 110.3590*lambda^2 + -201.4839*lambda + -164185.7010,1.1641532182693481e-10
94.59340014341115,-184.77244161510316,-164353.6907992218,U = 94.5934*lambda^2 + -184.7724*lambda + -164353.6908,6.928097406773644e-11
