A,B,C,Equation,RMSE
15.765566688757206,-26.92758790818334,-164112.9135222021,U = 15.7656*lambda^2 + -26.9276*lambda + -164112.9135,0.008460690910537012
23.648350067705728,-18.697962185629876,-164401.67902072135,U = 23.6484*lambda^2 + -18.6980*lambda + -164401.6790,0.009870806059039275
15.765566691512255,6.369288901783875,-164320.6531442901,U = 15.7656*lambda^2 + 6.3693*lambda + -164320.6531,0.0028202303067662465
23.648350041529028,-32.697785340831615,-164178.60601916845,U = 23.6484*lambda^2 + -32.6978*lambda + -164178.6060,0.0042303454520146
15.765566719105227,-5.486417290754616,-164098.44640969098,U = 15.7656*lambda^2 + -5.4864*lambda + -164098.4464,0.008460690920298735
31.531133419528555,-40.48597535751469,-163776.3553146252,U = 31.5311*lambda^2 + -40.4860*lambda + -163776.3553,0.008460690907283104
15.765566721190257,4.225171776866773,-164287.08273892038,U = 15.7656*lambda^2 + 4.2252*lambda + -164287.0827,0.005640460607024677
23.64835000256448,-15.797097790869884,-164035.6329045572,U = 23.6484*lambda^2 + -15.7971*lambda + -164035.6329,0.012691036356043796
15.765566678920461,5.864790793173597,-164065.5794220013,U = 15.7656*lambda^2 + 5.8648*lambda + -164065.5794,0.008460690917044827
15.765566725029077,-5.612541835260345,-163874.27381293502,U = 15.7656*lambda^2 + -5.6125*lambda + -163874.2738,0.016921381814566212
23.648350064211268,-24.12131711404072,-163777.11436963352,U = 23.6484*lambda^2 + -24.1213*lambda + -163777.1144,0.007050575755526937
23.648350062531087,-16.806094175059116,-164225.91717050195,U = 23.6484*lambda^2 + -16.8061*lambda + -164225.9172,0.009870806052531461
31.531133371227387,-45.27870753328898,-163968.889060509,U = 31.5311*lambda^2 + -45.2787*lambda + -163968.8891,0.0056404606037707685
31.53113337652216,-30.39601260382915,-164053.06108363916,U = 31.5311*lambda^2 + -30.3960*lambda + -164053.0611,0.008460690910537014
23.648350047197823,-12.391735476223403,-164101.95366965694,U = 23.6484*lambda^2 + -12.3917*lambda + -164101.9537,0.009870806068800995
31.53113333519912,-28.756393588133506,-164229.35194646835,U = 31.5311*lambda^2 + -28.7564*lambda + -164229.3519,0.011280921207541535
23.6483500526188,-8.860248551834957,-164342.60615907988,U = 23.6484*lambda^2 + -8.8602*lambda + -164342.6062,0.012691036349535983
31.53113334069803,-27.621272798176506,-164323.78761387215,U = 31.5311*lambda^2 + -27.6213*lambda + -164323.7876,0.005640460623294212
15.765566721494105,-4.855794627859723,-164222.8608264767,U = 15.7656*lambda^2 + -4.8558*lambda + -164222.8608,0.008460690917044827
15.765566724267806,8.38728137225553,-164303.59889978843,U = 15.7656*lambda^2 + 8.3873*lambda + -164303.5989,0.008460690917044827
23.648350053284613,-33.95903069910128,-164433.3246462364,U = 23.6484*lambda^2 + -33.9590*lambda + -164433.3246,0.004230345445506787
23.64835006278404,-12.391735506767873,-164239.5124986011,U = 23.6484*lambda^2 + -12.3917*lambda + -164239.5125,0.009870806059039275
39.4139167199497,-54.58039189336705,-164268.18949211412,U = 39.4139*lambda^2 + -54.5804*lambda + -164268.1895,0.012691036369059426
15.765566703952398,-1.3243076587095857,-163903.30499375734,U = 15.7656*lambda^2 + -1.3243*lambda + -163903.3050,0.011280921207541535
7.882783374669747,23.490694270309177,-164297.09575713225,U = 7.8828*lambda^2 + 23.4907*lambda + -164297.0958,0.0070505757587808445
39.41391672986382,-58.36412791509065,-164178.68173465907,U = 39.4139*lambda^2 + -58.3641*lambda + -164178.6817,0.012691036362551611
31.53113338471696,-13.747574211345636,-164038.056429094,U = 31.5311*lambda^2 + -13.7476*lambda + -164038.0564,0.005640460607024676
31.531133395412155,-30.017639039389906,-163992.1672919526,U = 31.5311*lambda^2 + -30.0176*lambda + -163992.1673,0.011280921230318885
15.765566707430555,-15.198006339298445,-164025.0558601882,U = 15.7656*lambda^2 + -15.1980*lambda + -164025.0559,0.011280921207541535
23.64835007031771,-2.4278973839100217,-164000.49744072344,U = 23.6484*lambda^2 + -2.4279*lambda + -164000.4974,0.004230345458522417
31.531133408716958,-31.65725799910433,-164058.1427156569,U = 31.5311*lambda^2 + -31.6573*lambda + -164058.1427,0.008460690887759663
23.64835000318027,-25.63481139644864,-163808.06992776107,U = 23.6484*lambda^2 + -25.6348*lambda + -163808.0699,0.009870806052531461
31.53113335772792,-44.52196030609775,-164120.8643330295,U = 31.5311*lambda^2 + -44.5220*lambda + -164120.8643,0.011280921204287628
23.64835002515574,-20.589830104305292,-163799.42902282532,U = 23.6484*lambda^2 + -20.5898*lambda + -163799.4290,0.00987080606554709
31.53113338818734,-23.711412355405628,-163995.00283057493,U = 31.5311*lambda^2 + -23.7114*lambda + -163995.0028,0.011280921207541535
4.4551522139798004e-08,16.9006873882754,-163920.49274105887,U = 0.0000*lambda^2 + 16.9007*lambda + -163920.4927,0.008460690917044827
39.41391669168775,-47.139044368086616,-163818.7670862681,U = 39.4139*lambda^2 + -47.1390*lambda + -163818.7671,0.0070505757425113075
15.765566711127732,-14.819632746119169,-164216.88950697944,U = 15.7656*lambda^2 + -14.8196*lambda + -164216.8895,0.01410115151430778
31.531133406374835,-28.125771059800172,-164067.1666951471,U = 31.5311*lambda^2 + -28.1258*lambda + -164067.1667,0.011280921207541535
39.4139167157337,-53.19302201746905,-164379.5515407945,U = 39.4139*lambda^2 + -53.1930*lambda + -164379.5515,0.004230345438998971
23.648350066990353,-31.18429099059722,-164051.18776685634,U = 23.6484*lambda^2 + -31.1843*lambda + -164051.1878,0.0014101151582639865
31.531133352886968,-45.27870749744761,-164122.93113996275,U = 31.5311*lambda^2 + -45.2787*lambda + -164122.9311,0.005640460603770768
7.882783400273517,6.0855086130904965,-164168.52841843595,U = 7.8828*lambda^2 + 6.0855*lambda + -164168.5284,0.004230345458522414
15.76556670780003,-30.71132394655433,-163728.55118182016,U = 15.7656*lambda^2 + -30.7113*lambda + -163728.5512,0.0084606909040292
15.765566767568906,13.81063622457441,-164059.5158310833,U = 15.7656*lambda^2 + 13.8106*lambda + -164059.5158,0.011280921217303256
7.882783346629659,3.941391649772413,-164134.93010403635,U = 7.8828*lambda^2 + 3.9414*lambda + -164134.9301,0.007050575752273029
23.648350037170697,-6.716131454013521,-163906.4476709107,U = 23.6484*lambda^2 + -6.7161*lambda + -163906.4477,0.009870806055785367
31.53113341716708,-36.70223935227841,-164250.9443043607,U = 31.5311*lambda^2 + -36.7022*lambda + -164250.9443,0.008460690900775291
23.648350026443516,-16.553845037793508,-164390.32416995062,U = 23.6484*lambda^2 + -16.5538*lambda + -164390.3242,0.007050575765288657
15.765566700797866,-4.4774209874885855,-164762.94360411324,U = 15.7656*lambda^2 + -4.4774*lambda + -164762.9436,0.011280921207541535
39.41391668064343,-53.69752008363139,-164408.28618144983,U = 39.4139*lambda^2 + -53.6975*lambda + -164408.2862,0.00987080607530881
15.76556676413243,13.43226263023098,-164691.50449669632,U = 15.7656*lambda^2 + 13.4323*lambda + -164691.5045,0.008460690904029199
23.648350029365552,-22.86007171399251,-164192.52170743633,U = 23.6484*lambda^2 + -22.8601*lambda + -164192.5217,0.007050575762034752
31.531133378064137,-57.51278728416946,-164476.8007300891,U = 31.5311*lambda^2 + -57.5128*lambda + -164476.8007,0.008460690917044827
23.648350058321366,-23.36456990217266,-164543.3408970461,U = 23.6484*lambda^2 + -23.3646*lambda + -164543.3409,0.012691036356043796
23.64835003001912,-20.58983011325472,-164493.7285590299,U = 23.6484*lambda^2 + -20.5898*lambda + -164493.7286,0.009870806049277552
5.274386524458745e-09,33.04462773844716,-164587.4873618428,U = 0.0000*lambda^2 + 33.0446*lambda + -164587.4874,0.011280921217303256
23.648350051006133,-23.742943488658057,-164267.7150857907,U = 23.6484*lambda^2 + -23.7429*lambda + -164267.7151,0.009870806065547088
31.531133425431946,-17.152936692116782,-164407.9801271169,U = 31.5311*lambda^2 + -17.1529*lambda + -164407.9801,0.008460690920298735
23.648350004798193,-10.625991925946437,-164438.0405582662,U = 23.6484*lambda^2 + -10.6260*lambda + -164438.0406,0.00423034546177632
31.531133363352367,-45.4048320511356,-164624.24701129517,U = 31.5311*lambda^2 + -45.4048*lambda + -164624.2470,0.014101151507799966
23.64835006166473,-14.283603504954954,-164319.33275369203,U = 23.6484*lambda^2 + -14.2836*lambda + -164319.3328,0.009870806059039275
15.765566687602082,9.64852677793533,-164731.34188697493,U = 15.7656*lambda^2 + 9.6485*lambda + -164731.3419,0.008460690904029199
31.531133388711268,-26.107778491073987,-164438.27088678465,U = 31.5311*lambda^2 + -26.1078*lambda + -164438.2709,0.0028202303002584305
15.76556673304748,-2.0810549159359653,-164643.27122654972,U = 15.7656*lambda^2 + -2.0811*lambda + -164643.2712,0.005640460597262954
23.648350060403548,-9.99536936779623,-164660.26197472456,U = 23.6484*lambda^2 + -9.9954*lambda + -164660.2620,0.004230345458522414
23.648350056808635,-30.427543770943885,-164602.690011485,U = 23.6484*lambda^2 + -30.4275*lambda + -164602.6900,0.007050575752273029
7.882783399885251,16.427720352105098,-164565.25309133815,U = 7.8828*lambda^2 + 16.4277*lambda + -164565.2531,0.015511266672571763
15.765566697438324,5.864790758132585,-164542.2177531041,U = 15.7656*lambda^2 + 5.8648*lambda + -164542.2178,0.008460690910537012
31.531133438689245,-36.071616727509536,-164669.91906582165,U = 31.5311*lambda^2 + -36.0716*lambda + -164669.9191,0.008460690910537014
23.648350048388323,-12.64398454563343,-164257.27895765257,U = 23.6484*lambda^2 + -12.6440*lambda + -164257.2790,0.012691036359297704
23.648350003827684,-9.238622056887834,-164354.28544026968,U = 23.6484*lambda^2 + -9.2386*lambda + -164354.2854,0.009870806055785367
31.531133370994294,-26.86452565784566,-164206.98138112752,U = 31.5311*lambda^2 + -26.8645*lambda + -164206.9814,0.011280921217303256
15.765566657778054,-17.594372376508545,-164123.39083225955,U = 15.7656*lambda^2 + -17.5944*lambda + -164123.3908,0.002820230303512338
23.64835006542263,-30.805917386707733,-164620.00379237562,U = 23.6484*lambda^2 + -30.8059*lambda + -164620.0038,0.0042303454682841345
23.648350031648196,-22.103324517069268,-164539.792372906,U = 23.6484*lambda^2 + -22.1033*lambda + -164539.7924,0.012691036359297704
31.531133381873055,-40.48597528497339,-164618.82788554684,U = 31.5311*lambda^2 + -40.4860*lambda + -164618.8279,0.008460690894267478
15.765566748528602,-11.288145883794641,-164386.57964722943,U = 15.7656*lambda^2 + -11.2881*lambda + -164386.5796,0.0028202303132740646
31.53113339480556,-18.414181967120385,-164504.44897237344,U = 31.5311*lambda^2 + -18.4142*lambda + -164504.4490,0.008460690910537014
23.648350026773127,-35.472525047371164,-164349.2850167754,U = 23.6484*lambda^2 + -35.4725*lambda + -164349.2850,0.007050575765288658
15.76556671557501,-25.666342626223923,-164185.5221969415,U = 15.7656*lambda^2 + -25.6663*lambda + -164185.5222,0.008460690907283106
15.765566648187633,-15.071881690077134,-164219.00592767497,U = 15.7656*lambda^2 + -15.0719*lambda + -164219.0059,0.0028202303035123376
15.765566727143142,-24.90959544829093,-164345.49080565645,U = 15.7656*lambda^2 + -24.9096*lambda + -164345.4908,0.014101151511053872
31.531133346833595,-27.2428992104833,-164197.54787182208,U = 31.5311*lambda^2 + -27.2429*lambda + -164197.5479,0.008460690904029199
31.531133347139843,-64.70188562842668,-163970.99163373496,U = 31.5311*lambda^2 + -64.7019*lambda + -163970.9916,0.011280921207541535
23.64835001417238,-24.751939684545505,-164339.0671935908,U = 23.6484*lambda^2 + -24.7519*lambda + -164339.0672,0.007050575755526937
23.648350037112223,-3.31076905275404,-163871.08058894577,U = 23.6484*lambda^2 + -3.3108*lambda + -163871.0806,0.007050575755526936
15.765566739275531,-7.504409864457557,-164466.4466710569,U = 15.7656*lambda^2 + -7.5044*lambda + -164466.4467,0.002820230303512341
15.765566720162768,10.909772048617015,-164189.65629258403,U = 15.7656*lambda^2 + 10.9098*lambda + -164189.6563,0.008460690907283104
23.6483500628693,-27.778928580970387,-164432.5102284334,U = 23.6484*lambda^2 + -27.7789*lambda + -164432.5102,0.012691036359297705
23.64835003670585,-15.544848790203105,-164245.0551529825,U = 23.6484*lambda^2 + -15.5448*lambda + -164245.0552,0.009870806062293182
15.765566700522825,-19.990738593653077,-164483.32012743587,U = 15.7656*lambda^2 + -19.9907*lambda + -164483.3201,0.00846069091379092
31.5311333676973,-44.5219603262085,-164553.8561979172,U = 31.5311*lambda^2 + -44.5220*lambda + -164553.8562,0.011280921207541535
7.8827833334198125,-5.391823795056553,-164514.04655095725,U = 7.8828*lambda^2 + -5.3918*lambda + -164514.0466,0.012691036365805519
23.648350078943224,-12.770109138262342,-164522.7310593315,U = 23.6484*lambda^2 + -12.7701*lambda + -164522.7311,0.00705057576528866
