A,B,C,Equation,RMSE
22.52223810627278,172.28611261490732,-164419.87745196704,U = 22.5222*lambda^2 + 172.2861*lambda + -164419.8775,0.006324218797579669
18.01779048824433,156.1421723383246,-164555.01083189037,U = 18.0178*lambda^2 + 156.1422*lambda + -164555.0108,0.012648437569454997
18.017790512259257,172.28611259858008,-164625.24855189712,U = 18.0178*lambda^2 + 172.2861*lambda + -164625.2486,0.011598755819248005
13.513342882238307,146.93508139209007,-164386.03608502093,U = 13.5133*lambda^2 + 146.9351*lambda + -164386.0361,0.0026966559518244826
15.76556665319329,151.6647514164215,-164371.7858145298,U = 15.7656*lambda^2 + 151.6648*lambda + -164371.7858,0.009438295845386675
15.765566662181282,162.38533674916835,-164603.4497730726,U = 15.7656*lambda^2 + 162.3853*lambda + -164603.4498,0.00943829583449702
11.261119071494369,173.73654473770875,-164328.3408147867,U = 11.2611*lambda^2 + 173.7365*lambda + -164328.3408,0.00539331190831596
18.01779045929009,137.09736781317042,-164449.94692493894,U = 18.0178*lambda^2 + 137.0974*lambda + -164449.9469,0.007627294846848751
22.52223811686587,160.43040646938607,-164180.12222424542,U = 22.5222*lambda^2 + 160.4304*lambda + -164180.1222,0.011361213479108432
11.26111904806001,194.79934182754369,-164632.45697331257,U = 11.2611*lambda^2 + 194.7993*lambda + -164632.4570,0.006466353817131932
18.017790501803063,163.33127073390642,-164467.92400146514,U = 18.0178*lambda^2 + 163.3313*lambda + -164467.9240,0.006741639895117858
15.765566674976432,163.64658207655884,-164441.35590170356,U = 15.7656*lambda^2 + 163.6466*lambda + -164441.3559,0.009438295836052683
22.52223810328064,155.51154967496404,-164260.12243030855,U = 22.5222*lambda^2 + 155.5115*lambda + -164260.1224,0.0080899678686966
18.0177904919246,137.7279904599127,-164553.57045412454,U = 18.0178*lambda^2 + 137.7280*lambda + -164553.5705,0.007627294860599017
15.765566640708176,164.78170289643458,-164572.62536085275,U = 15.7656*lambda^2 + 164.7817*lambda + -164572.6254,0.005044981333776378
15.76556665426022,159.73672155325767,-164626.41651440648,U = 15.7656*lambda^2 + 159.7367*lambda + -164626.4165,0.005044981336686761
9.008895218539104,185.02469050022773,-164616.37472665703,U = 9.0089*lambda^2 + 185.0247*lambda + -164616.3747,0.008841577823316724
18.017790476465485,177.58334302145522,-164509.90952785814,U = 18.0178*lambda^2 + 177.5833*lambda + -164509.9095,0.012648437586370112
18.01779049053613,136.46674512678874,-164450.52341654463,U = 18.0178*lambda^2 + 136.4667*lambda + -164450.5234,0.007627294841348642
15.765566694480787,156.07911006116774,-164419.25896941015,U = 15.7656*lambda^2 + 156.0791*lambda + -164419.2590,0.009438295839164014
13.513342856618157,142.52072273765225,-164332.35647291387,U = 13.5133*lambda^2 + 142.5207*lambda + -164332.3565,0.012134951803433817
15.765566637379038,146.6197700900084,-164286.5418835329,U = 15.7656*lambda^2 + 146.6198*lambda + -164286.5419,0.009438295839164015
13.513342868089223,162.82677260710625,-164354.15434046462,U = 13.5133*lambda^2 + 162.8268*lambda + -164354.1543,0.007627294842448664
15.765566652717231,159.61059702120838,-164292.68556716142,U = 15.7656*lambda^2 + 159.6106*lambda + -164292.6856,0.010089962673373521
11.261119042747696,186.85349622671492,-164399.21310385288,U = 11.2611*lambda^2 + 186.8535*lambda + -164399.2131,0.01026855996094009
15.76556665072995,160.61959328848752,-164498.0837995547,U = 15.7656*lambda^2 + 160.6196*lambda + -164498.0838,0.005044981336686761
18.017790459791556,187.04268303580466,-164548.41181264818,U = 18.0178*lambda^2 + 187.0427*lambda + -164548.4118,0.007627294845198718
15.76556664843782,149.77288341810345,-164490.60190793299,U = 15.7656*lambda^2 + 149.7729*lambda + -164490.6019,0.00943829583449702
15.765566676875622,155.07011380433687,-164663.7108980706,U = 15.7656*lambda^2 + 155.0701*lambda + -164663.7109,0.010089962664642372
18.01779048367685,166.23213501280406,-164541.61153907335,U = 18.0178*lambda^2 + 166.2321*lambda + -164541.6115,0.007627294847948771
18.017790486612334,159.67365927409264,-164926.1374939882,U = 18.0178*lambda^2 + 159.6737*lambda + -164926.1375,0.01159875581653537
11.26111902943447,150.6557551511214,-164498.07520248776,U = 11.2611*lambda^2 + 150.6558*lambda + -164498.0752,0.006466353816483175
22.522238088724755,155.00705154958996,-164654.03749806373,U = 22.5222*lambda^2 + 155.0071*lambda + -164654.0375,0.006324218788624609
18.017790508500745,168.12400299901492,-164542.33350077324,U = 18.0178*lambda^2 + 168.1240*lambda + -164542.3335,0.00762729484684875
24.774461906350236,151.66475141097908,-164830.1580519485,U = 24.7745*lambda^2 + 151.6648*lambda + -164830.1581,0.008089967861696109
13.513342862988544,144.91708886853303,-164627.33740017275,U = 13.5133*lambda^2 + 144.9171*lambda + -164627.3374,0.0076272948460237334
20.27001428890076,148.89001167414244,-164718.5446583926,U = 20.2700*lambda^2 + 148.8900*lambda + -164718.5447,0.013947213041789176
24.774461889849693,161.62858955774573,-164685.62184992936,U = 24.7745*lambda^2 + 161.6286*lambda + -164685.6218,0.003813647427824461
18.01779049669061,140.5027301928494,-164817.67986167147,U = 18.0178*lambda^2 + 140.5027*lambda + -164817.6799,0.011598755818705479
18.017790488012867,172.03386354536633,-164642.96706595318,U = 18.0178*lambda^2 + 172.0339*lambda + -164642.9671,0.011598755818343793
24.77446188997342,146.99814368400257,-164597.55677268724,U = 24.7745*lambda^2 + 146.9981*lambda + -164597.5568,0.0063242187939313126
18.01779046680434,157.6556667512632,-164418.99909753056,U = 18.0178*lambda^2 + 157.6557*lambda + -164418.9991,0.006741639873338546
22.522238108473964,138.6108621970343,-164460.37154803946,U = 22.5222*lambda^2 + 138.6109*lambda + -164460.3715,0.006324218800896359
13.51334285962738,166.6105086132011,-164562.77746203798,U = 13.5133*lambda^2 + 166.6105*lambda + -164562.7775,0.007627294846573744
24.774461895550957,120.63811620205524,-164709.44407836316,U = 24.7745*lambda^2 + 120.6381*lambda + -164709.4441,0.012932707630046942
22.52223810406917,168.3762520798482,-164667.21519682277,U = 22.5222*lambda^2 + 168.3763*lambda + -164667.2152,0.010786623818187586
13.513342831177054,135.457748882327,-164827.26796832727,U = 13.5133*lambda^2 + 135.4577*lambda + -164827.2680,0.007627294849598803
18.017790491251752,146.30445873184362,-164830.02828426636,U = 18.0178*lambda^2 + 146.3045*lambda + -164830.0283,0.006741639885783867
20.270014292356283,163.52045754506253,-164706.48858309787,U = 20.2700*lambda^2 + 163.5205*lambda + -164706.4886,0.008943796002691372
20.270014298024428,173.86266928035184,-164752.39914156473,U = 20.2700*lambda^2 + 173.8627*lambda + -164752.3991,0.008943795980411465
22.522238089879107,168.75462568813236,-164674.66155647882,U = 22.5222*lambda^2 + 168.7546*lambda + -164674.6616,0.003813647425624418
15.765566675464493,142.07928686556988,-164442.50523743132,U = 15.7656*lambda^2 + 142.0793*lambda + -164442.5052,0.014269362051378246
18.01779047979421,151.34944007362355,-164450.06538448329,U = 18.0178*lambda^2 + 151.3494*lambda + -164450.0654,0.006741639884228202
18.017790471748782,151.9800627452205,-164406.20917289163,U = 18.0178*lambda^2 + 151.9801*lambda + -164406.2092,0.006741639893562193
18.017790441993444,146.93508142689825,-164210.46389706963,U = 18.0178*lambda^2 + 146.9351*lambda + -164210.4639,0.006741639885783868
20.270014287311156,162.88983488129452,-164527.85040205292,U = 20.2700*lambda^2 + 162.8898*lambda + -164527.8504,0.008943795987447226
20.27001426077371,156.9619818268984,-164657.76593436665,U = 20.2700*lambda^2 + 156.9620*lambda + -164657.7659,0.010268559938879056
18.017790501119215,136.97124325539335,-164728.62687750423,U = 18.0178*lambda^2 + 136.9712*lambda + -164728.6269,0.011598755818705477
24.774461900050845,151.917000480782,-164629.7275275531,U = 24.7745*lambda^2 + 151.9170*lambda + -164629.7275,0.01388188616445242
15.765566655372742,139.55679621058516,-164464.08596005657,U = 15.7656*lambda^2 + 139.5568*lambda + -164464.0860,0.005044981327955612
13.513342846061727,141.76397554337746,-164325.6045377992,U = 13.5133*lambda^2 + 141.7640*lambda + -164325.6045,0.007627294848498781
