A,B,C,Equation,RMSE
33.783357167979204,44.53096917143557,-164431.84951061313,U = 33.7834*lambda^2 + 44.5310*lambda + -164431.8495,0.009144805263850456
33.783357149763326,51.59394306328613,-164240.87869143664,U = 33.7834*lambda^2 + 51.5939*lambda + -164240.8787,0.009144805256510605
29.278909524554827,45.269698608404724,-164112.94742028543,U = 29.2789*lambda^2 + 45.2697*lambda + -164112.9474,0.006741639881116871
22.522238065966235,53.062393025524216,-164431.18460757931,U = 22.5222*lambda^2 + 53.0624*lambda + -164431.1846,0.00808996787414143
31.53113332143728,52.59393045667093,-164468.37624208617,U = 31.5311*lambda^2 + 52.5939*lambda + -164468.3762,0.010089962664642372
29.278909529036298,37.44997753287316,-164601.41904490488,U = 29.2789*lambda^2 + 37.4500*lambda + -164601.4190,0.007627294841898655
27.026685732609728,47.90930489139282,-164446.48556027148,U = 27.0267*lambda^2 + 47.9093*lambda + -164446.4856,0.005393311898981969
24.774461921776687,35.41396719071781,-164234.01732684934,U = 24.7745*lambda^2 + 35.4140*lambda + -164234.0173,0.006324218795921325
31.531133348324527,20.43217440909939,-164407.03061110905,U = 31.5311*lambda^2 + 20.4322*lambda + -164407.0306,0.010089962667552755
36.03558096127823,27.387041546637192,-164552.47066163155,U = 36.0356*lambda^2 + 27.3870*lambda + -164552.4707,0.005393311914538621
31.531133322883893,50.70206245404552,-164565.96706777788,U = 31.5311*lambda^2 + 50.7021*lambda + -164565.9671,0.010089962667552755
36.03558099492897,31.170777507242747,-164626.08336114517,U = 36.0356*lambda^2 + 31.1708*lambda + -164626.0834,0.0053933119098716256
22.522238102253237,60.2514913843188,-164924.69742468954,U = 22.5222*lambda^2 + 60.2515*lambda + -164924.6974,0.008841577811454887
29.278909551459904,44.0084532412875,-164592.4886777614,U = 29.2789*lambda^2 + 44.0085*lambda + -164592.4887,0.006741639895117858
29.278909526775543,40.350841803330695,-164489.3990579956,U = 29.2789*lambda^2 + 40.3508*lambda + -164489.3991,0.011598755834981293
33.78335715409239,6.441360103606712,-164227.7857059678,U = 33.7834*lambda^2 + 6.4414*lambda + -164227.7857,0.012134951776987509
27.026685707455908,43.49494625296211,-164555.35397514055,U = 27.0267*lambda^2 + 43.4949*lambda + -164555.3540,0.013947213048256024
31.531133339366626,64.82801017415477,-164573.06992762478,U = 31.5311*lambda^2 + 64.8280*lambda + -164573.0699,0.005044981333776378
31.53113336171465,48.30569627226214,-164582.29796794598,U = 31.5311*lambda^2 + 48.3057*lambda + -164582.2980,0.00713468102414566
29.278909529322025,38.58509833243443,-164339.37527961272,U = 29.2789*lambda^2 + 38.5851*lambda + -164339.3753,0.012648437578244224
24.77446191275956,55.08939441110124,-164498.47489208088,U = 24.7745*lambda^2 + 55.0894*lambda + -164498.4749,0.010786623815076255
29.278909530513058,39.8463436649763,-164268.5933330541,U = 29.2789*lambda^2 + 39.8463*lambda + -164268.5933,0.007627294847948771
36.035580968454326,19.441195933381096,-164198.38654303685,U = 36.0356*lambda^2 + 19.4412*lambda + -164198.3865,0.006466353813888146
31.53113331443967,32.414005122933304,-164080.13377860322,U = 31.5311*lambda^2 + 32.4140*lambda + -164080.1338,0.010089962664642372
36.03558096581523,18.432199669914553,-164340.51144918686,U = 36.0356*lambda^2 + 18.4322*lambda + -164340.5114,0.01026855994500712
27.02668572870621,47.026433162303874,-164407.172949708,U = 27.0267*lambda^2 + 47.0264*lambda + -164407.1729,0.004044983929292391
27.026685753622377,29.873496591171715,-164550.74174795568,U = 27.0267*lambda^2 + 29.8735*lambda + -164550.7417,0.008943795981349567
33.78335716415848,16.152949162526056,-164738.7291255996,U = 33.7834*lambda^2 + 16.1529*lambda + -164738.7291,0.012648437588194292
22.522238103615017,64.4136009850481,-164336.3494022134,U = 22.5222*lambda^2 + 64.4136*lambda + -164336.3494,0.008089967863251774
33.783357126286894,70.63874763369677,-164158.99985855614,U = 33.7834*lambda^2 + 70.6387*lambda + -164158.9999,0.014076957347830942
31.5311333479286,31.405008814268513,-164213.52125757674,U = 31.5311*lambda^2 + 31.4050*lambda + -164213.5213,0.005044981339597144
24.77446192351598,32.6392274540558,-164388.6909373771,U = 24.7745*lambda^2 + 32.6392*lambda + -164388.6909,0.01136121348686262
33.783357134445865,39.107614275912056,-164365.58029336948,U = 33.7834*lambda^2 + 39.1076*lambda + -164365.5803,0.007627294852623862
36.035580953122114,33.06264555855887,-164328.4802213355,U = 36.0356*lambda^2 + 33.0626*lambda + -164328.4802,0.005393311911427292
31.531133327231124,36.954488309304,-164313.29904626295,U = 31.5311*lambda^2 + 36.9545*lambda + -164313.2990,0.010089962658821606
31.531133326900765,40.359850710607134,-164303.62000876828,U = 31.5311*lambda^2 + 40.3599*lambda + -164303.6200,0.009438295839164015
27.02668572969078,57.9992675659887,-164507.6431871861,U = 27.0267*lambda^2 + 57.9993*lambda + -164507.6432,0.010268559941738819
29.278909547966514,49.9363063153578,-164397.5015637879,U = 29.2789*lambda^2 + 49.9363*lambda + -164397.5016,0.012648437586701781
24.774461917091124,90.15201468893792,-164139.86049302685,U = 24.7745*lambda^2 + 90.1520*lambda + -164139.8605,0.011361213469508013
18.01779046765396,68.80994188148179,-164216.05747159827,U = 18.0178*lambda^2 + 68.8099*lambda + -164216.0575,0.004471897990909309
27.026685712664026,65.18836599067436,-164166.61888170763,U = 27.0267*lambda^2 + 65.1884*lambda + -164166.6189,0.008943795998938967
24.774461911260367,53.197526412521256,-164167.4340618822,U = 24.7745*lambda^2 + 53.1975*lambda + -164167.4341,0.010786623818187586
27.02668576446701,54.34165605608723,-164254.72304964784,U = 27.0267*lambda^2 + 54.3417*lambda + -164254.7230,0.005393311910649459
31.53113334775773,18.792555475782137,-164097.83968822635,U = 31.5311*lambda^2 + 18.7926*lambda + -164097.8397,0.005044981333776378
31.5311333418219,57.89116083452245,-164232.70415938302,U = 31.5311*lambda^2 + 57.8912*lambda + -164232.7042,0.014269362054465173
31.531133356997213,59.65690428437665,-164085.48190844106,U = 31.5311*lambda^2 + 59.6569*lambda + -164085.4819,0.010089962673373521
36.03558096172151,48.575963155104546,-164061.801188169,U = 36.0356*lambda^2 + 48.5760*lambda + -164061.8012,0.0064663538207000975
31.531133368194425,30.14376345538767,-164109.20768977702,U = 31.5311*lambda^2 + 30.1438*lambda + -164109.2077,0.00504498134541791
31.53113332646062,37.20673737718607,-164168.46314464047,U = 31.5311*lambda^2 + 37.2067*lambda + -164168.4631,2.6031257322754125e-11
33.78335715064757,56.891173464478925,-164344.5597474613,U = 33.7834*lambda^2 + 56.8912*lambda + -164344.5597,0.0026966559518244873
29.278909516077178,46.90931755286874,-164578.82903828836,U = 29.2789*lambda^2 + 46.9093*lambda + -164578.8290,0.007627294838598589
22.522238101126163,72.35944659178494,-164341.62698036624,U = 22.5222*lambda^2 + 72.3594*lambda + -164341.6270,0.008841577834229612
29.278909561575208,48.29668736518943,-164337.7892233188,U = 29.2789*lambda^2 + 48.2967*lambda + -164337.7892,0.011598755831002762
22.522238115029033,59.368619635293726,-164468.27159123885,U = 22.5222*lambda^2 + 59.3686*lambda + -164468.2716,0.008089967863251774
22.52223810897666,56.84612897579791,-164394.46710211178,U = 22.5222*lambda^2 + 56.8461*lambda + -164394.4671,0.008089967864807437
36.03558094488751,35.45901170314755,-164264.5404545812,U = 36.0356*lambda^2 + 35.4590*lambda + -164264.5405,0.010268559943372968
31.531133362683974,64.32351201243,-164439.01464765702,U = 31.5311*lambda^2 + 64.3235*lambda + -164439.0146,0.00943829584071968
27.02668569081046,39.7112102714018,-164308.43715472653,U = 27.0267*lambda^2 + 39.7112*lambda + -164308.4372,0.010268559934589408
27.026685727130847,24.45014168752823,-164200.62590357,U = 27.0267*lambda^2 + 24.4501*lambda + -164200.6259,0.00894379599424846
27.026685729034824,63.548747036547866,-164022.01526418317,U = 27.0267*lambda^2 + 63.5487*lambda + -164022.0153,0.008943795981349567
33.7833571560857,54.8731809243036,-164474.80568237757,U = 33.7834*lambda^2 + 54.8732*lambda + -164474.8057,0.007627294848498782
33.78335713369704,51.97231668306631,-164056.39994265971,U = 33.7834*lambda^2 + 51.9723*lambda + -164056.3999,0.007627294842448665
24.774461920168868,78.80080667929724,-163855.67375188568,U = 24.7745*lambda^2 + 78.8008*lambda + -163855.6738,0.01136121348741649
29.27890954236628,63.17938232800225,-164228.29177779716,U = 29.2789*lambda^2 + 63.1794*lambda + -164228.2918,0.0076272948435486855
31.531133357255715,46.79220187707688,-164065.02933501248,U = 31.5311*lambda^2 + 46.7922*lambda + -164065.0293,0.005044981339597144
31.531133356433248,38.72023174102651,-164086.70688885095,U = 31.5311*lambda^2 + 38.7202*lambda + -164086.7069,0.010089962673373521
27.02668571682431,52.70203717975528,-164119.85897044657,U = 27.0267*lambda^2 + 52.7020*lambda + -164119.8590,0.0040449839292923916
27.026685732074586,45.13456515764119,-164066.56269171345,U = 27.0267*lambda^2 + 45.1346*lambda + -164066.5627,0.00404498392929239
27.026685723628148,39.45896116437507,-164003.03009406227,U = 27.0267*lambda^2 + 39.4590*lambda + -164003.0301,0.004044983946404708
33.78335717243611,31.792391293129185,-163956.61639217468,U = 33.7834*lambda^2 + 31.7924*lambda + -163956.6164,0.0076272948454737255
31.53113333446685,37.458986434561666,-164191.68489636184,U = 31.5311*lambda^2 + 37.4590*lambda + -164191.6849,0.010089962673373521
27.026685706374643,38.702213985903654,-164082.0888028951,U = 27.0267*lambda^2 + 38.7022*lambda + -164082.0888,0.008943796003394948
27.026685727919144,47.657055830874015,-163773.41193030064,U = 27.0267*lambda^2 + 47.6571*lambda + -163773.4119,0.004044983944849041
33.78335711955986,43.64809749671258,-163748.01465628465,U = 33.7834*lambda^2 + 43.6481*lambda + -163748.0147,0.0026966559580471443
31.531133348372983,38.72023175092181,-163757.32721690618,U = 31.5311*lambda^2 + 38.7202*lambda + -163757.3272,0.010089962676283905
24.77446191041683,45.75617894268362,-163817.30483787355,U = 24.7745*lambda^2 + 45.7562*lambda + -163817.3048,0.00632421879757967
24.774461910568693,62.15236828409252,-163812.5570453524,U = 24.7745*lambda^2 + 62.1524*lambda + -163812.5570,0.0063242187899512844
29.27890953789557,35.431984986847965,-164181.44037409412,U = 29.2789*lambda^2 + 35.4320*lambda + -164181.4404,0.012648437603948565
27.02668573881363,51.31466728576925,-163958.6211466496,U = 27.0267*lambda^2 + 51.3147*lambda + -163958.6211,0.008943795995655613
36.035580960815444,43.15260822066921,-164298.6841159214,U = 36.0356*lambda^2 + 43.1526*lambda + -164298.6841,0.005393311917649951
27.026685730663793,42.107576357986545,-164111.8756641728,U = 27.0267*lambda^2 + 42.1076*lambda + -164111.8757,0.00894379599119963
27.02668570910481,43.11657265140093,-164208.53540115058,U = 27.0267*lambda^2 + 43.1166*lambda + -164208.5354,0.00894379598111504
36.035580982525026,27.38704152018181,-164319.706869387,U = 36.0356*lambda^2 + 27.3870*lambda + -164319.7069,0.00539331189587064
24.77446191905312,53.5759000024118,-164170.90021823347,U = 24.7745*lambda^2 + 53.5759*lambda + -164170.9002,0.011361213469877259
31.531133317838062,66.84600273452816,-164291.44968690607,U = 31.5311*lambda^2 + 66.8460*lambda + -164291.4497,0.00943829584694234
31.531133367323108,54.611922934738686,-163964.671174956,U = 31.5311*lambda^2 + 54.6119*lambda + -163964.6712,0.010089962658821606
27.026685714523996,77.92694386062794,-163961.8537325229,U = 27.0267*lambda^2 + 77.9269*lambda + -163961.8537,0.004044983929292389
29.278909539276427,45.90032125660218,-163869.2364730399,U = 29.2789*lambda^2 + 45.9003*lambda + -163869.2365,0.016179935718725218
31.531133331413013,26.86452563290368,-163885.6123922509,U = 31.5311*lambda^2 + 26.8645*lambda + -163885.6124,0.010089962670463137
31.531133342328232,47.927322695351904,-164327.90279599928,U = 31.5311*lambda^2 + 47.9273*lambda + -164327.9028,0.009438295829830023
18.017790496829065,50.01738637077506,-164086.8669209393,U = 18.0178*lambda^2 + 50.0174*lambda + -164086.8669,0.012648437592505987
38.28780478311287,32.81940536363982,-164029.18995112443,U = 38.2878*lambda^2 + 32.8194*lambda + -164029.1900,0.008841577799355814
31.53113333799711,28.882518159342,-164341.20455322196,U = 31.5311*lambda^2 + 28.8825*lambda + -164341.2046,0.005044981327955611
22.522238127848546,59.3686196198978,-164485.51083897994,U = 22.5222*lambda^2 + 59.3686*lambda + -164485.5108,0.008089967863251774
29.27890953808501,56.62090659761452,-164110.8449397378,U = 29.2789*lambda^2 + 56.6209*lambda + -164110.8449,0.006741639879561207
31.531133339656446,28.504144556703977,-164057.16622453893,U = 31.5311*lambda^2 + 28.5041*lambda + -164057.1662,0.005044981333776378
31.531133330234166,35.69324297143612,-163762.8294009652,U = 31.5311*lambda^2 + 35.6932*lambda + -163762.8294,0.007134681028261563
29.278909560958184,64.81900123986998,-163956.80766973074,U = 29.2789*lambda^2 + 64.8190*lambda + -163956.8077,0.006741639879561207
29.278909537396185,67.9721146033844,-164112.53501308773,U = 29.2789*lambda^2 + 67.9721*lambda + -164112.5350,0.006741639885783867
29.278909534463132,68.85498634065152,-164035.3594111061,U = 29.2789*lambda^2 + 68.8550*lambda + -164035.3594,0.007627294858398974
29.278909511143812,28.8735092835268,-164149.06935698388,U = 29.2789*lambda^2 + 28.8735*lambda + -164149.0694,0.006741639888895197
27.026685715489077,58.62989025071147,-164404.48071978224,U = 27.0267*lambda^2 + 58.6299*lambda + -164404.4807,0.005393311920761282
31.531133368843552,21.06279705101042,-164132.30516492447,U = 31.5311*lambda^2 + 21.0628*lambda + -164132.3052,0.007134681009739998
29.278909510222974,15.252059678779915,-164200.20985254287,U = 29.2789*lambda^2 + 15.2521*lambda + -164200.2099,0.007627294849598803
27.026685717011258,52.197539045562735,-164282.00583109725,U = 27.0267*lambda^2 + 52.1975*lambda + -164282.0058,0.008943795984398395
36.03558096975613,46.305721544718836,-164109.61091273604,U = 36.0356*lambda^2 + 46.3057*lambda + -164109.6109,0.005393311912982955
38.28780477282206,52.36870805211947,-164416.42667950515,U = 38.2878*lambda^2 + 52.3687*lambda + -164416.4267,0.008841577808133574
29.278909533572232,78.94494901268627,-164161.87124848482,U = 29.2789*lambda^2 + 78.9449*lambda + -164161.8712,0.012648437595822678
29.27890953979088,55.35966126146377,-164198.6511274617,U = 29.2789*lambda^2 + 55.3597*lambda + -164198.6511,0.006741639893562193
36.035580959941036,52.6119482263166,-164039.34885519807,U = 36.0356*lambda^2 + 52.6119*lambda + -164039.3489,0.005393311903648965
22.522238092521786,63.404604731011204,-164393.984700528,U = 22.5222*lambda^2 + 63.4046*lambda + -164393.9847,0.008841577819995408
31.531133344252872,38.08960908904555,-164463.40066593688,U = 31.5311*lambda^2 + 38.0896*lambda + -164463.4007,0.01008996267337352
22.522238124508977,67.18834069467266,-164444.18493442592,U = 22.5222*lambda^2 + 67.1883*lambda + -164444.1849,0.00884157780837081
29.278909527185665,44.008453271118924,-164143.44582600254,U = 29.2789*lambda^2 + 44.0085*lambda + -164143.4458,0.006741639879561207
31.53113338099552,39.72922797873616,-164203.24394320112,U = 31.5311*lambda^2 + 39.7292*lambda + -164203.2439,1.4667868577356162e-10
29.278909534081397,32.65724525752012,-164128.95848536398,U = 29.2789*lambda^2 + 32.6572*lambda + -164128.9585,0.006741639887339532
29.27890953782929,32.65724525274709,-164237.87963239988,U = 29.2789*lambda^2 + 32.6572*lambda + -164237.8796,0.006741639876449876
24.774461919003183,44.999431731994264,-164317.69231819717,U = 24.7745*lambda^2 + 44.9994*lambda + -164317.6923,0.010786623815076255
31.531133327157114,29.387016306398436,-164229.39649548277,U = 31.5311*lambda^2 + 29.3870*lambda + -164229.3965,0.010089962673373521
27.026685754802884,51.94528993355925,-164087.21707675554,U = 27.0267*lambda^2 + 51.9453*lambda + -164087.2171,0.008943795998000865
27.02668572786877,51.693040899554035,-164300.53779861407,U = 27.0267*lambda^2 + 51.6930*lambda + -164300.5378,0.005393311906760296
31.531133343739736,33.29687682085205,-163696.8627322198,U = 31.5311*lambda^2 + 33.2969*lambda + -163696.8627,0.011831529977359376
24.774461872192155,74.00807446942781,-163860.61323023506,U = 24.7745*lambda^2 + 74.0081*lambda + -163860.6132,0.010786623815076255
22.522238096773638,49.7831551200652,-163984.93850705633,U = 22.5222*lambda^2 + 49.7832*lambda + -163984.9385,0.00381364741077413
31.531133332862158,40.73822430483415,-164325.61699230675,U = 31.5311*lambda^2 + 40.7382*lambda + -164325.6170,0.0071346810138559
31.53113334764254,65.33250829819008,-164071.07820188106,U = 31.5311*lambda^2 + 65.3325*lambda + -164071.0782,0.010089962679194287
31.531133323896906,63.44064032571623,-164037.7492964044,U = 31.5311*lambda^2 + 63.4406*lambda + -164037.7493,0.007134681026203611
31.531133306599266,62.81001767970156,-164100.9527523018,U = 31.5311*lambda^2 + 62.8100*lambda + -164100.9528,0.010089962676283905
31.53113334073761,59.65690430326504,-164262.38204961477,U = 31.5311*lambda^2 + 59.6569*lambda + -164262.3820,0.010089962664642372
31.531133380146912,58.26953438812052,-164081.595143436,U = 31.5311*lambda^2 + 58.2695*lambda + -164081.5951,0.01008996267337352
29.278909544358754,46.53094391833292,-163899.13006027546,U = 29.2789*lambda^2 + 46.5309*lambda + -163899.1301,0.006741639893562193
33.78335714109275,41.882354003202636,-163844.18408749023,U = 33.7834*lambda^2 + 41.8824*lambda + -163844.1841,0.007627294842448664
29.278909540508245,21.43216177757131,-164026.0234578516,U = 29.2789*lambda^2 + 21.4322*lambda + -164026.0235,0.011598755835885505
29.278909518981173,31.269875408470398,-164116.3578484945,U = 29.2789*lambda^2 + 31.2699*lambda + -164116.3578,0.011598755826662544
27.02668571482001,26.846507836744422,-164186.40164864517,U = 27.0267*lambda^2 + 26.8465*lambda + -164186.4016,0.0134832797731234
27.026685731575324,34.41397982049966,-164129.49098493188,U = 27.0267*lambda^2 + 34.4140*lambda + -164129.4910,0.004044983946404707
27.0266857264489,67.45860757483752,-164648.17094293615,U = 27.0267*lambda^2 + 67.4586*lambda + -164648.1709,0.01394721304960955
33.783357161859705,72.90898919204483,-164364.35866403332,U = 33.7834*lambda^2 + 72.9090*lambda + -164364.3587,0.0044718979918474105
24.774461908676525,63.03524002007907,-164611.31568984175,U = 24.7745*lambda^2 + 63.0352*lambda + -164611.3157,0.011361213475969833
27.02668572648945,50.68404463364277,-164461.2815955434,U = 27.0267*lambda^2 + 50.6840*lambda + -164461.2816,0.008943795995655613
38.28780478403389,34.71127336358768,-164474.652725023,U = 38.2878*lambda^2 + 34.7113*lambda + -164474.6527,0.013881886159012835
29.27890953485994,60.026269002846675,-164754.5824588727,U = 29.2789*lambda^2 + 60.0263*lambda + -164754.5825,0.007627294849048793
29.27890952827672,35.55810953199398,-164135.39928709273,U = 29.2789*lambda^2 + 35.5581*lambda + -164135.3993,0.00762729484739876
27.026685738096074,63.9271206256235,-164350.35277212458,U = 27.0267*lambda^2 + 63.9271*lambda + -164350.3528,0.008943795982053143
33.783357170625656,55.62992810661672,-164670.04346138347,U = 33.7834*lambda^2 + 55.6299*lambda + -164670.0435,0.012134951794099827
27.0266857256152,46.26968596634106,-164268.43808251718,U = 27.0267*lambda^2 + 46.2697*lambda + -164268.4381,0.015254589698097584
36.03558098901886,46.81021965449327,-164788.10647230854,U = 36.0356*lambda^2 + 46.8102*lambda + -164788.1065,0.0019068237166622861
24.774461901846756,30.36898587938049,-164583.85039244185,U = 24.7745*lambda^2 + 30.3690*lambda + -164583.8504,0.006324218797579669
31.531133328883115,38.21573364100186,-164327.3723309817,U = 31.5311*lambda^2 + 38.2157*lambda + -164327.3723,0.010089962679194287
27.02668569412858,45.89131240389543,-164555.59171915508,U = 27.0267*lambda^2 + 45.8913*lambda + -164555.5917,0.008943795993544884
20.27001426837234,56.71099558332935,-164222.2079830698,U = 20.2700*lambda^2 + 56.7110*lambda + -164222.2080,0.005393311916094287
27.026685747878812,33.78335713260458,-164307.47810121742,U = 27.0267*lambda^2 + 33.7834*lambda + -164307.4781,0.013483279768456405
33.783357155601436,48.440829721745104,-164250.84642206394,U = 33.7834*lambda^2 + 48.4408*lambda + -164250.8464,0.01264843759482767
36.035580960694126,37.350879684789106,-164248.4359575169,U = 36.0356*lambda^2 + 37.3509*lambda + -164248.4360,0.010268559950318109
33.783357136950585,54.49480734736426,-164339.17451633184,U = 33.7834*lambda^2 + 54.4948*lambda + -164339.1745,0.007627294841348642
33.7833571517261,34.94550465341308,-164295.47236550588,U = 33.7834*lambda^2 + 34.9455*lambda + -164295.4724,0.007627294844923712
29.27890952263628,40.2247172750067,-164381.11628691165,U = 29.2789*lambda^2 + 40.2247*lambda + -164381.1163,0.006741639882672536
27.026685746545095,36.179723269538954,-164144.9653635588,U = 27.0267*lambda^2 + 36.1797*lambda + -164144.9654,0.008943795986509124
24.77446192184455,48.78316773058032,-164373.13404901384,U = 24.7745*lambda^2 + 48.7832*lambda + -164373.1340,0.010786623815076255
