times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
0.0|1.0|1.0|0.0|0|-2.5287968932406533|-5.0575937864813065
0.2|1.0|1.0|0.0|0|-1.4693508128763655|-2.938701625752731
0.4|1.0|1.0|0.0|0|-2.339610095713872|-4.679220191427744
0.6|1.0|1.0|0.0|0|-2.9387016312588847|-5.8774032625177695
0.8|1.0|1.0|0.0|0|-3.5945492014929217|-7.189098402985843
1.0|1.0|1.0|0.0|0|-2.2197917858147433|-4.439583571629487
1.2|1.0|1.0|0.0|0|-1.6333127100626021|-3.2666254201252043
1.4|1.0|1.0|0.0|0|-2.219791792968756|-4.439583585937512
1.6|1.0|1.0|0.0|0|-3.6828363751355244|-7.365672750271049
1.8|1.0|1.0|0.0|0|-2.91978295111185|-5.8395659022237
2.0|1.0|1.0|0.0|0|-2.5477155734045684|-5.095431146809137
2.2|1.0|1.0|0.0|0|-1.3558387360317294|-2.711677472063459
2.4|1.0|1.0|0.0|0|-2.11889216176118|-4.23778432352236
2.6|1.0|1.0|0.0|0|-1.090977212926374|-2.181954425852748
2.8|1.0|1.0|0.0|0|-2.7558210552332483|-5.5116421104664965
3.0|1.0|1.0|0.0|0|-1.633312704432466|-3.266625408864932
3.2|1.0|1.0|0.0|0|-2.554021801183701|-5.108043602367402
3.4|1.0|1.0|0.0|0|-0.6432351199595729|-1.2864702399191459
3.6|1.0|1.0|0.0|0|-1.8918679996434382|-3.7837359992868764
3.8|1.0|1.0|0.0|0|-1.513494398807817|-3.026988797615634
4.0|1.0|1.0|0.0|0|-3.064826165256384|-6.129652330512768
4.2|1.0|1.0|0.0|0|-0.365761143221462|-0.731522286442924
4.4|1.0|1.0|0.0|0|-2.043217443541218|-4.086434887082436
4.6|1.0|1.0|0.0|0|-1.9044804576627228|-3.8089609153254456
4.8|1.0|1.0|0.0|0|-1.444125905389375|-2.88825181077875
5.0|1.0|1.0|0.0|0|-0.9207090960067589|-1.8414181920135178
5.2|1.0|1.0|0.0|0|-1.8161932825166167|-3.6323865650332334
5.4|1.0|1.0|0.0|0|-3.367525043586796|-6.735050087173592
5.6|1.0|1.0|0.0|0|-2.5540218011278215|-5.108043602255643
5.8|1.0|1.0|0.0|0|-1.8351119593164202|-3.6702239186328405
6.0|1.0|1.0|0.0|0|-1.5324130812738455|-3.064826162547691
6.2|1.0|1.0|0.0|0|-3.417974856213262|-6.835949712426524
6.4|1.0|1.0|0.0|0|-2.680146332465231|-5.360292664930462
6.6|1.0|1.0|0.0|0|-2.642308978260555|-5.28461795652111
6.8|1.0|1.0|0.0|0|-2.516184442044471|-5.032368884088942
7.0|1.0|1.0|0.0|0|-2.781045958217294|-5.562091916434588
7.2|1.0|1.0|0.0|0|-2.566634251001526|-5.133268502003052
7.4|1.0|1.0|0.0|0|-0.5423354971435043|-1.0846709942870085
7.6|1.0|1.0|0.0|0|-2.686452562612251|-5.372905125224502
7.8|1.0|1.0|0.0|0|-2.163035745723175|-4.32607149144635
8.0|1.0|1.0|0.0|0|-4.029678844945451|-8.059357689890902
8.2|1.0|1.0|0.0|0|-3.7585110975999885|-7.517022195199977
8.4|1.0|1.0|0.0|0|-2.667533880214617|-5.335067760429234
8.6|1.0|1.0|0.0|0|-2.4405097217424214|-4.881019443484843
8.8|1.0|1.0|0.0|0|-1.7405185590282797|-3.4810371180565594
9.0|1.0|1.0|0.0|0|-2.80627087119123|-5.61254174238246
9.2|1.0|1.0|0.0|0|-2.6170840727619384|-5.234168145523877
9.4|1.0|1.0|0.0|0|-3.2287880502222133|-6.4575761004444265
9.6|1.0|1.0|0.0|0|-3.544099388177568|-7.088198776355136
9.8|1.0|1.0|0.0|0|-3.5314869358929024|-7.062973871785805
10.0|1.0|1.0|0.0|0|-2.7053712439339166|-5.410742487867833
10.2|1.0|1.0|0.0|0|-2.869333137329379|-5.738666274658758
10.4|1.0|1.0|0.0|0|-3.2666254192523803|-6.5332508385047605
10.6|1.0|1.0|0.0|0|-3.153113333166987|-6.306226666333974
10.8|1.0|1.0|0.0|0|-2.7179836905872823|-5.435967381174565
11.0|1.0|1.0|0.0|0|-3.0396012527990415|-6.079202505598083
11.2|1.0|1.0|0.0|0|-3.4936495753272934|-6.987299150654587
11.4|1.0|1.0|0.0|0|-2.5540217991528356|-5.108043598305671
11.6|1.0|1.0|0.0|0|-2.06844234569726|-4.13688469139452
11.8|1.0|1.0|0.0|0|-2.478347079291418|-4.956694158582836
12.0|1.0|1.0|0.0|0|-3.140500885444347|-6.281001770888694
12.2|1.0|1.0|0.0|0|-2.465734628415378|-4.931469256830756
12.4|1.0|1.0|0.0|0|-0.9963838144647897|-1.9927676289295795
12.6|1.0|1.0|0.0|0|-2.320691416566844|-4.641382833133688
12.8|1.0|1.0|0.0|0|-1.6963749758104691|-3.3927499516209383
13.0|1.0|1.0|0.0|0|-1.4441259104560609|-2.8882518209121217
13.2|1.0|1.0|0.0|0|-1.1414270299248175|-2.282854059849635
13.4|1.0|1.0|0.0|0|-0.6558475764089968|-1.3116951528179936
13.6|1.0|1.0|0.0|0|-1.7657434680228488|-3.5314869360456975
13.8|1.0|1.0|0.0|0|-2.093667254366157|-4.187334508732314
14.0|1.0|1.0|0.0|0|-1.8918680015543958|-3.7837360031087917
14.2|1.0|1.0|0.0|0|-3.0522137057228274|-6.104427411445655
14.4|1.0|1.0|0.0|0|-4.029678843350561|-8.059357686701121
14.6|1.0|1.0|0.0|0|-3.6954488323020667|-7.390897664604133
14.8|1.0|1.0|0.0|0|-1.7468247896694826|-3.4936495793389652
15.0|1.0|1.0|0.0|0|-3.3170752295153245|-6.634150459030649
15.2|1.0|1.0|0.0|0|-3.5188744809682277|-7.0377489619364555
15.4|1.0|1.0|0.0|0|-2.7810459643410312|-5.5620919286820625
15.6|1.0|1.0|0.0|0|-1.41890100150864|-2.83780200301728
15.8|1.0|1.0|0.0|0|-3.4431997629461724|-6.886399525892345
16.0|1.0|1.0|0.0|0|-2.781045960756021|-5.562091921512042
16.2|1.0|1.0|0.0|0|-1.5702504442865044|-3.140500888573009
16.4|1.0|1.0|0.0|0|-2.579246708020221|-5.158493416040442
16.6|1.0|1.0|0.0|0|-1.7846621510849234|-3.569324302169847
16.8|1.0|1.0|0.0|0|-4.181028283079508|-8.362056566159016
17.0|1.0|1.0|0.0|0|-2.989151445195023|-5.978302890390046
17.2|1.0|1.0|0.0|0|-2.2197917861668994|-4.439583572333799
17.4|1.0|1.0|0.0|0|-1.8540306422454904|-3.708061284490981
17.6|1.0|1.0|0.0|0|-1.7152936543888078|-3.4305873087776155
17.8|1.0|1.0|0.0|0|-2.295466509378459|-4.590933018756918
18.0|1.0|1.0|0.0|0|-2.1441170666462877|-4.288234133292575
18.2|1.0|1.0|0.0|0|-1.9423178136764927|-3.8846356273529854
18.4|1.0|1.0|0.0|0|-3.644999012928168|-7.289998025856336
18.6|1.0|1.0|0.0|0|-2.667533882527207|-5.335067765054414
18.8|1.0|1.0|0.0|0|-3.342300139720031|-6.684600279440062
19.0|1.0|1.0|0.0|0|-2.4783470806849093|-4.9566941613698186
19.2|1.0|1.0|0.0|0|-0.22071793207753237|-0.44143586415506475
