times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.0, 0.0)|(1.0, 0.02, 0.0)|(1.0, 0.04, 0.0)
0.0|1.0|0.0|0.0|-164552.66955262076|-164548.57050528552|-164544.43362059025
0.2|1.0|0.0|0.0|-164542.6804895761|-164537.6607331471|-164532.59052690474
0.4|1.0|0.0|0.0|-164446.67449475802|-164442.5249976094|-164438.32505064746
0.6|1.0|0.0|0.0|-164258.93094008812|-164254.47874405936|-164249.97609821724
0.8|1.0|0.0|0.0|-164447.89071601615|-164443.06014638723|-164438.17912694495
1.0|1.0|0.0|0.0|-164289.09992847548|-164284.38287092664|-164279.60275111106
1.2|1.0|0.0|0.0|-164396.8859547124|-164392.522045857|-164388.10768718828
1.4|1.0|0.0|0.0|-164325.07064539893|-164320.24007577|-164315.35905632772
1.6|1.0|0.0|0.0|-164052.44092400395|-164047.96350306852|-164043.43563231974
1.8|1.0|0.0|0.0|-164118.47972968806|-164114.090595926|-164109.6510123506
2.0|1.0|0.0|0.0|-164632.91647648785|-164628.42644309907|-164623.87334744364
2.2|1.0|0.0|0.0|-164533.89094602002|-164529.38830017793|-164524.84781697582
2.4|1.0|0.0|0.0|-164464.80622508464|-164460.1270048958|-164455.38472244024
2.6|1.0|0.0|0.0|-164485.79596648895|-164480.7635976066|-164475.66816645756
2.8|1.0|0.0|0.0|-164534.6061609117|-164529.76297882944|-164524.84412202713
3.0|1.0|0.0|0.0|-164656.3920103551|-164651.3974788328|-164646.3524974971
3.2|1.0|0.0|0.0|-164755.53110591657|-164750.70053628768|-164745.84474175205
3.4|1.0|0.0|0.0|-164615.38152441123|-164610.56356723566|-164605.6825477934
3.6|1.0|0.0|0.0|-164431.94600304574|-164427.3298451236|-164422.6380124814
3.8|1.0|0.0|0.0|-164603.4619700095|-164599.40076003424|-164595.27648779235
4.0|1.0|0.0|0.0|-164335.55942993698|-164331.19552108162|-164326.76854995952
4.2|1.0|0.0|0.0|-164692.2671848764|-164687.7393141276|-164683.16099356549
4.4|1.0|0.0|0.0|-164664.04051430323|-164659.26039448768|-164654.4424373121
4.6|1.0|0.0|0.0|-164938.2155584932|-164933.97777417122|-164929.68954003588
4.8|1.0|0.0|0.0|-165041.28452718124|-165037.05935531258|-165032.78373363058
5.0|1.0|0.0|0.0|-164821.1341541453|-164816.90898227663|-164812.63336059466
5.2|1.0|0.0|0.0|-164813.95766819525|-164809.87123331337|-164805.72173616476
5.4|1.0|0.0|0.0|-164665.95052825962|-164661.18302089738|-164656.3650637218
5.6|1.0|0.0|0.0|-164750.891310919|-164746.89316321048|-164742.84456568857
5.8|1.0|0.0|0.0|-164686.529961529|-164681.91380360685|-164677.234583418
6.0|1.0|0.0|0.0|-164548.66323407806|-164544.63986146284|-164540.57865148762
6.2|1.0|0.0|0.0|-164862.3727859843|-164857.75662806214|-164853.10263277995
6.4|1.0|0.0|0.0|-164682.32429602748|-164677.96038717212|-164673.53341605005
6.6|1.0|0.0|0.0|-164807.99478109938|-164803.7822216841|-164799.49398754875
6.8|1.0|0.0|0.0|-164561.53994520754|-164556.9616246454|-164552.30762936323
7.0|1.0|0.0|0.0|-164523.34480158353|-164518.16108326113|-164512.92691512534
7.2|1.0|0.0|0.0|-164635.27212359683|-164630.78209020811|-164626.25421945934
7.4|1.0|0.0|0.0|-164363.63828585055|-164359.19870227517|-164354.7086688864
7.6|1.0|0.0|0.0|-164329.61751243696|-164325.0644167815|-164320.44825885937
7.8|1.0|0.0|0.0|-164171.01295288347|-164166.3589576013|-164161.64190005243
8.0|1.0|0.0|0.0|-164413.39908115644|-164409.03517230108|-164404.62081363235
8.2|1.0|0.0|0.0|-164176.6301814936|-164171.93834885137|-164167.17084148916
8.4|1.0|0.0|0.0|-164100.48875162925|-164095.55728237363|-164090.5627508513
8.6|1.0|0.0|0.0|-164169.26445968798|-164165.17802480605|-164161.0663650175
8.8|1.0|0.0|0.0|-164000.79492513422|-163996.51930345222|-163992.19323195686
9.0|1.0|0.0|0.0|-164032.12080144897|-164027.34068163342|-164022.4848870978
9.2|1.0|0.0|0.0|-164140.51222544615|-164135.84561771064|-164131.1033352551
9.4|1.0|0.0|0.0|-164469.28615840396|-164464.5060385884|-164459.67546895953
9.6|1.0|0.0|0.0|-164139.5692303346|-164136.03774339962|-164132.4305817446
9.8|1.0|0.0|0.0|-164347.59903571155|-164343.1468396828|-164338.6441938407
10.0|1.0|0.0|0.0|-164584.77428952674|-164580.28425613797|-164575.74377293585
10.2|1.0|0.0|0.0|-164257.16955358945|-164252.95699417416|-164248.6939849455
10.4|1.0|0.0|0.0|-164539.2092351609|-164534.84532630554|-164530.40574273016
10.6|1.0|0.0|0.0|-164432.63920293257|-164428.12394463713|-164423.55823652833
10.8|1.0|0.0|0.0|-164324.9207839106|-164320.82173657537|-164316.67223942676
11.0|1.0|0.0|0.0|-164173.05423325318|-164168.81644893115|-164164.51560234252
11.2|1.0|0.0|0.0|-164078.1455218756|-164074.03386208703|-164069.8465275784
11.4|1.0|0.0|0.0|-164096.35182988108|-164091.4708104388|-164086.52672872983
11.6|1.0|0.0|0.0|-164306.37038350737|-164302.2334988121|-164298.03355185015
11.8|1.0|0.0|0.0|-163984.18232763163|-163979.0868964826|-163973.92840306685
12.0|1.0|0.0|0.0|-164117.35044570966|-164112.62077570744|-164107.8406558919
12.2|1.0|0.0|0.0|-164281.32744069851|-164276.55993333628|-164271.72936370736
12.4|1.0|0.0|0.0|-164479.44385775086|-164474.8655371887|-164470.24937926655
12.6|1.0|0.0|0.0|-164183.26035704848|-164178.36672515288|-164173.41003099055
12.8|1.0|0.0|0.0|-164013.6502904078|-164009.26115664572|-164004.808960617
13.0|1.0|0.0|0.0|-164254.42202465335|-164249.9067663579|-164245.3032208891
13.2|1.0|0.0|0.0|-164262.38048271037|-164258.44539726857|-164254.44724956
13.4|1.0|0.0|0.0|-164302.57637150245|-164298.40164944716|-164294.17647757853
13.6|1.0|0.0|0.0|-164332.45945864738|-164328.2468992321|-164323.99650245678
13.8|1.0|0.0|0.0|-164409.83685988345|-164405.29637668133|-164400.70544366585
14.0|1.0|0.0|0.0|-164289.33195356515|-164285.2707435899|-164281.15908380132
