times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.84, 0.0)|(1.0, 0.86, 0.0)|(1.0, 0.88, 0.0)|(1.0, 0.9, 0.0)|(1.0, 0.92, 0.0)
0.0|1.0|0.88|0.0|-164217.5655969198|-164217.30073539968|-164217.04848633287|-164216.72056254608|-164216.4430885726
0.2|1.0|0.88|0.0|-163980.1875422942|-163979.50646981387|-163978.83800978694|-163978.10648749326|-163977.4128025596
0.4|1.0|0.88|0.0|-163838.75375519725|-163838.28709442372|-163837.8330461035|-163837.30332306324|-163836.811437383
0.6|1.0|0.88|0.0|-164101.8999816666|-164101.1936842796|-164100.48738689258|-164099.73063969225|-164098.98650494523
0.8|1.0|0.88|0.0|-164146.92353816127|-164146.4821022944|-164146.06589133418|-164145.57400565397|-164145.1073448804
1.0|1.0|0.88|0.0|-164100.5254707494|-164099.75611109566|-164098.99936389533|-164098.19216688164|-164097.42280722794
1.2|1.0|0.88|0.0|-164070.36951977568|-164069.85240918878|-164069.3605235085|-164068.79296310828|-164068.25062761467
1.4|1.0|0.88|0.0|-163974.66622383773|-163974.2374004242|-163973.80857701067|-163973.3419162371|-163972.90048037024
1.6|1.0|0.88|0.0|-164210.09935979792|-164209.1534257975|-164208.19487934373|-164207.1858830766|-164206.18949926278
1.8|1.0|0.88|0.0|-163899.04337664004|-163898.6145532265|-163898.21095471963|-163897.75690639945|-163897.3280829859
2.0|1.0|0.88|0.0|-163860.72417002442|-163860.21967189084|-163859.74039866394|-163859.19806317033|-163858.68095258347
2.2|1.0|0.88|0.0|-164167.22739419635|-164166.82379568947|-164166.4454220893|-164166.01659867578|-164165.6003877156
2.4|1.0|0.88|0.0|-164075.79520149136|-164075.1645788244|-164074.57179351748|-164073.90333349048|-164073.2727108235
2.6|1.0|0.88|0.0|-164257.49020429607|-164256.91003144247|-164256.32985858887|-164255.72446082855|-164255.0938381616
2.8|1.0|0.88|0.0|-164387.13472630494|-164386.579778358|-164386.05005531776|-164385.4446575575|-164384.8644847039
