times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.68, 0.0)|(1.0, 0.7, 0.0)|(1.0, 0.72, 0.0)|(1.0, 0.74, 0.0)|(1.0, 0.76, 0.0)
0.0|1.0|0.72|0.0|-163746.1420466618|-163744.3510782876|-163742.5979472735|-163740.79436644597|-163739.0033980718
0.2|1.0|0.72|0.0|-164316.20369366772|-164315.14424758722|-164314.1100264134|-164312.9875180662|-164311.9280719857
0.4|1.0|0.72|0.0|-163811.67967871157|-163810.60762017773|-163809.54817409723|-163808.45089065674|-163807.36621966958
0.6|1.0|0.72|0.0|-163953.56946251413|-163952.1694801935|-163950.76949787285|-163949.31906573885|-163947.88124605815
0.8|1.0|0.72|0.0|-163881.6934624907|-163880.4826669701|-163879.27187144957|-163878.02323856897|-163876.77460568838
1.0|1.0|0.72|0.0|-163594.2808757967|-163593.28449198292|-163592.28810816913|-163591.2538869953|-163590.2196658215
1.2|1.0|0.72|0.0|-163783.65841411534|-163782.7124801149|-163781.7791585678|-163780.820612114|-163779.86206566024
1.4|1.0|0.72|0.0|-163541.10649044075|-163540.2110062537|-163539.32813451992|-163538.39481297284|-163537.4867163324
1.6|1.0|0.72|0.0|-163723.55606382736|-163722.06779433333|-163720.5921372926|-163719.06603043858|-163717.53992358453
1.8|1.0|0.72|0.0|-163554.8811082669|-163553.35500141289|-163551.84150701217|-163550.27756279812|-163548.7262310374
2.0|1.0|0.72|0.0|-163627.7162822985|-163626.53071168464|-163625.37036597743|-163624.15957045686|-163622.97399984297
2.2|1.0|0.72|0.0|-163620.37842815823|-163619.29375717105|-163618.23431109055|-163617.09919029003|-163615.97668194285
2.4|1.0|0.72|0.0|-163920.12599421793|-163919.19267267085|-163918.25935112374|-163917.2881922166|-163916.3170333095
2.6|1.0|0.72|0.0|-164046.17485289002|-164044.6235211293|-164043.09741427525|-164041.52085760786|-164039.94430094043
2.8|1.0|0.72|0.0|-163706.78498930464|-163705.7759930375|-163704.79222167702|-163703.7453880499|-163702.73639178273
3.0|1.0|0.72|0.0|-163975.46808278986|-163973.95458838914|-163972.44109398843|-163970.90237468106|-163969.3636553737
3.2|1.0|0.72|0.0|-164010.61899024624|-164009.06765848552|-164007.56677653815|-164005.99021987073|-164004.4262756567
3.4|1.0|0.72|0.0|-163977.0157278245|-163975.55268323715|-163974.10225110312|-163972.62659406243|-163971.15093702174
3.6|1.0|0.72|0.0|-163878.23499327176|-163877.02419775122|-163875.8007897773|-163874.5395444434|-163873.30352401614
3.8|1.0|0.72|0.0|-164282.1337265176|-164280.79680646365|-164279.4598864097|-164278.09774144905|-164276.7355964884
4.0|1.0|0.72|0.0|-164108.49086263755|-164107.3052920237|-164106.1449463165|-164104.93415079592|-164103.7359677287
4.2|1.0|0.72|0.0|-164200.92753316063|-164199.6789002801|-164198.4428798528|-164197.15640961225|-164195.8951642783
4.4|1.0|0.72|0.0|-164251.8923229757|-164250.6815274552|-164249.48334438796|-164248.24732396074|-164247.0239159868
4.6|1.0|0.72|0.0|-164165.0705184179|-164163.3552247638|-164161.652543563|-164159.91202500218|-164158.1841188947
4.8|1.0|0.72|0.0|-164090.25731768526|-164089.48795803156|-164088.74382328457|-164087.93662627085|-164087.1546541638
5.0|1.0|0.72|0.0|-163814.75945659188|-163813.93964712482|-163813.11983765778|-163812.2621908307|-163811.42976891034
5.2|1.0|0.72|0.0|-164232.92894791524|-164231.2767165278|-164229.6370975937|-164227.94702884625|-164226.29479745883
5.4|1.0|0.72|0.0|-164092.85504112995|-164091.64424560938|-164090.4586749955|-164089.19742966158|-164087.96140923433
5.6|1.0|0.72|0.0|-164024.293744778|-164023.18384888413|-164022.0739529903|-164020.9136072831|-164019.77848648254
5.8|1.0|0.72|0.0|-164116.9026502376|-164115.78014189043|-164114.6450210899|-164113.47206292936|-164112.31171722215
6.0|1.0|0.72|0.0|-164096.23083921467|-164094.98220633407|-164093.73357345347|-164092.44710321288|-164091.18585787897
