times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.66, 0.0)|(1.0, 0.68, 0.0)|(1.0, 0.7, 0.0)|(1.0, 0.72, 0.0)|(1.0, 0.74, 0.0)
0.0|1.0|0.7|0.0|-164268.31899736504|-164266.7676656043|-164265.1280466702|-164263.51365264278|-164261.86142125537
0.2|1.0|0.7|0.0|-164338.88567379792|-164337.5235288373|-164336.13615896995|-164334.73617664934|-164333.2857445153
0.4|1.0|0.7|0.0|-164150.53761268375|-164149.28897980318|-164147.98989710922|-164146.69081441528|-164145.35389436132
0.6|1.0|0.7|0.0|-164294.01482689253|-164292.6274570252|-164291.1770248912|-164289.7392052105|-164288.2635481698
0.8|1.0|0.7|0.0|-164477.39568880075|-164476.3488551736|-164475.25157173307|-164474.17951319923|-164473.01916749205
1.0|1.0|0.7|0.0|-164473.98484568845|-164472.97584942132|-164471.89117843413|-164470.85695726034|-164469.74706136648
1.2|1.0|0.7|0.0|-164319.71400220707|-164318.54104404652|-164317.31763607264|-164316.0942280987|-164314.82037031144
1.4|1.0|0.7|0.0|-164488.47670991995|-164487.45510119948|-164486.3704302123|-164485.2857592251|-164484.17586333127
1.6|1.0|0.7|0.0|-164553.29423308966|-164552.26001191587|-164551.150116022|-164550.06544503485|-164548.91771178096
1.8|1.0|0.7|0.0|-164483.69871556392|-164482.8284562835|-164481.90774718975|-164481.01226300263|-164480.06632900223
2.0|1.0|0.7|0.0|-164240.20674052427|-164239.23558161713|-164238.17613553663|-164237.14191436282|-164236.05724337566
2.2|1.0|0.7|0.0|-164204.70268437435|-164203.58017602717|-164202.41983031997|-164201.24687215942|-164200.0486890922
2.4|1.0|0.7|0.0|-163951.6085832164|-163950.13292617572|-163948.56898196164|-163947.05548756092|-163945.4663184402
2.6|1.0|0.7|0.0|-164066.8611818301|-164065.36029988274|-164063.771130762|-164062.23241145464|-164060.61801742722
2.8|1.0|0.7|0.0|-163958.96529975918|-163957.85540386534|-163956.72028306482|-163955.58516226427|-163954.39959165038
3.0|1.0|0.7|0.0|-163906.9641546416|-163905.89209610777|-163904.75697530725|-163903.64707941338|-163902.46150879952
3.2|1.0|0.7|0.0|-164058.85428389983|-164057.75700045933|-164056.60926720547|-164055.46153395157|-164054.2759633377
