times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.94, 0.0)|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
19.8|1.0|0.98|0.0|-164513.85847367634|-164513.17740119604|-164512.50894116904|-164511.7900313287
20.0|1.0|0.98|0.0|-164539.6383283017|-164539.20950488816|-164538.8059063813|-164538.35185806107
20.2|1.0|0.98|0.0|-164547.63462371874|-164547.25625011855|-164546.86526406504|-164546.41121574485
20.4|1.0|0.98|0.0|-164346.44937212998|-164346.15928570315|-164345.86919927638|-164345.54127548955
20.6|1.0|0.98|0.0|-164587.10881821156|-164586.78089442474|-164586.4781955446|-164586.1250468511
20.8|1.0|0.98|0.0|-164542.1556588109|-164541.9034097441|-164541.676385584|-164541.42413651722
21.0|1.0|0.98|0.0|-164197.6166935648|-164197.16264524462|-164196.72120937772|-164196.24193615085
21.2|1.0|0.98|0.0|-164169.1440685453|-164169.05578137192|-164168.99271910524|-164168.86659457185
21.4|1.0|0.98|0.0|-164114.94071742176|-164114.7893679817|-164114.688468355|-164114.49928155492
21.6|1.0|0.98|0.0|-164242.95513524167|-164242.42541220144|-164241.90830161452|-164241.3533536676
21.8|1.0|0.98|0.0|-163991.35395390537|-163990.76116859846|-163990.1683832915|-163989.53776062452
22.0|1.0|0.98|0.0|-164205.10981309836|-164204.20171645793|-164203.33145717753|-164202.38552317707
22.2|1.0|0.98|0.0|-164136.5948830798|-164136.69578270652|-164136.80929478657|-164136.87235705325
22.4|1.0|0.98|0.0|-164027.22631089634|-164026.8605497495|-164026.54523841603|-164026.15425236252
22.6|1.0|0.98|0.0|-163886.08982650028|-163885.68622799343|-163885.3204668466|-163884.89164343305
22.8|1.0|0.98|0.0|-163916.03735122285|-163915.709427436|-163915.41934100923|-163915.05357986238
23.0|1.0|0.98|0.0|-164018.17705240645|-164017.72300408626|-164017.28156821936|-164016.78968253915
23.2|1.0|0.98|0.0|-164187.96787164267|-164187.31202406905|-164186.69401385542|-164186.02555382843
23.4|1.0|0.98|0.0|-164252.80226658136|-164252.2347061811|-164251.69237068752|-164251.08697292724
23.6|1.0|0.98|0.0|-164140.55410614697|-164140.12528273344|-164139.74690913325|-164139.2802483597
23.8|1.0|0.98|0.0|-164146.43150940302|-164145.95223617612|-164145.47296294925|-164144.943239909
24.0|1.0|0.98|0.0|-164343.55415532546|-164343.21361908526|-164342.88569529846|-164342.5073216983
24.2|1.0|0.98|0.0|-164119.14077306085|-164118.6110500206|-164118.10655188703|-164117.55160394008
24.4|1.0|0.98|0.0|-164136.2623008168|-164136.21185100346|-164136.19923855012|-164136.11095137673
24.6|1.0|0.98|0.0|-164608.99279154083|-164608.3117190605|-164607.68109639356|-164606.97479900657
24.8|1.0|0.98|0.0|-164438.9895329816|-164438.11927370122|-164437.27423932747|-164436.3787551404
25.0|1.0|0.98|0.0|-164510.0971447146|-164509.3656224209|-164508.65932503392|-164507.90257783356
25.2|1.0|0.98|0.0|-164691.3486870862|-164691.0964380194|-164690.90725121932|-164690.62977724583
25.4|1.0|0.98|0.0|-164582.88057454553|-164582.42652622532|-164581.98509035844|-164581.49320467823
25.6|1.0|0.98|0.0|-164356.1717257732|-164355.28885403945|-164354.43120721236|-164353.5357230253
25.8|1.0|0.98|0.0|-164770.51611014456|-164769.6836882242|-164768.8512663038|-164767.9810070234
26.0|1.0|0.98|0.0|-164464.7019540287|-164464.10916872177|-164463.55422077482|-164462.92359810785
26.2|1.0|0.98|0.0|-164659.8193734431|-164659.20136322948|-164658.58335301586|-164657.9275054422
26.4|1.0|0.98|0.0|-164327.63652576224|-164327.08157781532|-164326.55185477505|-164325.93384456143
26.6|1.0|0.98|0.0|-164364.87075898593|-164364.26536122564|-164363.67257591872|-164363.0545657051
26.8|1.0|0.98|0.0|-164240.8853418838|-164240.0024701501|-164239.144823323|-164238.2367266826
27.0|1.0|0.98|0.0|-164422.1729901379|-164421.47930520424|-164420.7856202706|-164420.06671043023
27.2|1.0|0.98|0.0|-164455.7851782869|-164454.99059372654|-164454.19600916613|-164453.3761996991
27.4|1.0|0.98|0.0|-164466.948492985|-164466.68363146487|-164466.43138239806|-164466.12868351792
27.6|1.0|0.98|0.0|-164376.34482288818|-164376.15563608808|-164375.966449288|-164375.72681267455
27.8|1.0|0.98|0.0|-164069.60406459117|-164069.1374038176|-164068.6833554974|-164068.17885736385
28.0|1.0|0.98|0.0|-164406.38011620616|-164406.16570449938|-164405.9765176993|-164405.72426863253
28.2|1.0|0.98|0.0|-164416.11439064375|-164415.37025589673|-164414.62612114972|-164413.83153658936
28.4|1.0|0.98|0.0|-164216.90609164693|-164216.42681842003|-164215.9853825532|-164215.46827196627
28.6|1.0|0.98|0.0|-164423.48508845968|-164422.9679778728|-164422.45086728586|-164421.89591933895
28.8|1.0|0.98|0.0|-164656.4663717499|-164656.11322305645|-164655.7852992696|-164655.38170076275
29.0|1.0|0.98|0.0|-164236.3945087864|-164235.91523555954|-164235.46118723933|-164234.9314641991
29.2|1.0|0.98|0.0|-164449.60407592077|-164448.99867816048|-164448.41850530688|-164447.7878826399
