times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.04, 0.0)|(1.0, 0.06, 0.0)|(1.0, 0.08, 0.0)|(1.0, 0.1, 0.0)|(1.0, 0.12, 0.0)
0.0|1.0|0.08|0.0|-165077.34668745784|-165072.73052953568|-165068.15220897354|-165063.52343859806|-165058.89466822255
0.2|1.0|0.08|0.0|-164728.25949583467|-164724.28657303282|-164720.3262626843|-164716.32811497577|-164712.3425797206
0.4|1.0|0.08|0.0|-164530.65862926317|-164526.9631804348|-164523.29295651306|-164519.55967032467|-164515.85160904296
0.6|1.0|0.08|0.0|-164726.8075035946|-164722.80935588607|-164718.8490455376|-164714.83828537568|-164710.82752521383
0.8|1.0|0.08|0.0|-164944.94529971396|-164941.1615637122|-164937.40305261713|-164933.58147925534|-164929.7599058936
1.0|1.0|0.08|0.0|-164932.21725985646|-164927.96686308115|-164923.74169121252|-164919.4282321705|-164915.1652229418
1.2|1.0|0.08|0.0|-165095.38247878337|-165091.0816321947|-165086.79339805938|-165082.44210165733|-165078.116030162
1.4|1.0|0.08|0.0|-164836.0658421679|-164832.30733107284|-164828.56143243107|-164824.79030888266|-164821.0065728809
1.6|1.0|0.08|0.0|-164389.6347120116|-164385.47260240966|-164381.36094262105|-164377.17360811247|-164373.01149851052
1.8|1.0|0.08|0.0|-164181.15224154986|-164177.15409384132|-164173.16855858613|-164169.13257351756|-164165.10920090237
2.0|1.0|0.08|0.0|-164320.1784690894|-164316.14248402088|-164312.15694876568|-164308.09573879046|-164304.04714126856
2.2|1.0|0.08|0.0|-164239.09744067036|-164235.30109221526|-164231.5299686668|-164227.70839530506|-164223.8994343966
2.4|1.0|0.08|0.0|-164330.0099839483|-164326.1253483198|-164322.265937598|-164318.35607706287|-164314.45882898106
2.6|1.0|0.08|0.0|-164706.73036801477|-164702.80789502626|-164698.8854220378|-164694.92511168926|-164690.96480134074
2.8|1.0|0.08|0.0|-164566.63260908637|-164563.03805988468|-164559.44351068302|-164555.82373657468|-164552.2039624663
3.0|1.0|0.08|0.0|-164541.08678926874|-164537.2399910003|-164533.43103009183|-164529.53378201002|-164525.67437128825
3.2|1.0|0.08|0.0|-164764.70559609556|-164760.42997441356|-164756.1669651849|-164751.82828123623|-164747.51482219424
3.4|1.0|0.08|0.0|-164506.03182992624|-164502.08413203107|-164498.1364341359|-164494.15089888073|-164490.1905885322
3.6|1.0|0.08|0.0|-164726.170489788|-164722.1849545328|-164718.22464418426|-164714.2012715691|-164710.1905114072
3.8|1.0|0.08|0.0|-164550.73291309166|-164547.16358879668|-164543.61948940833|-164540.02494020667|-164536.43039100498
4.0|1.0|0.08|0.0|-164181.29242910442|-164177.4330183826|-164173.5736076608|-164169.66374712565|-164165.7791114972
4.2|1.0|0.08|0.0|-164458.62688145333|-164454.5404465714|-164450.49184904952|-164446.35496435425|-164442.26852947235
4.4|1.0|0.08|0.0|-164406.52483670902|-164402.3375022004|-164398.16278014512|-164393.95022072984|-164389.7502737679
4.6|1.0|0.08|0.0|-164766.6251375266|-164762.7026645381|-164758.78019154962|-164754.8198812011|-164750.87218330594
4.8|1.0|0.08|0.0|-164529.0165636533|-164525.11931557153|-164521.20945503638|-164517.24914468787|-164513.3014467927
5.0|1.0|0.08|0.0|-164275.524662241|-164271.03462885224|-164266.56982037018|-164262.0419496214|-164257.53930377928
5.2|1.0|0.08|0.0|-164302.1038924583|-164297.55079680288|-164293.01031360074|-164288.41938058528|-164283.85367247649
5.4|1.0|0.08|0.0|-164506.95656033244|-164502.51697675706|-164498.07739318162|-164493.5999722462|-164489.14777621746
5.6|1.0|0.08|0.0|-164490.97446236425|-164486.44659161547|-164481.9565582267|-164477.37823766455|-164472.85036691578
5.8|1.0|0.08|0.0|-164332.50388547432|-164328.41745059242|-164324.33101571052|-164320.2067434686|-164316.0824712267
6.0|1.0|0.08|0.0|-164495.78323815766|-164491.82292780915|-164487.86261746066|-164483.87708220546|-164479.87893449693
6.2|1.0|0.08|0.0|-164314.94588218004|-164310.88467220482|-164306.8234622296|-164302.71180244102|-164298.6253675591
6.4|1.0|0.08|0.0|-164493.03372332972|-164488.2157661541|-164483.42303388522|-164478.57985180296|-164473.73666972073
6.6|1.0|0.08|0.0|-164600.90648030295|-164596.4164469142|-164591.92641352542|-164587.39854277665|-164582.87067202787
6.8|1.0|0.08|0.0|-163946.47412054503|-163942.3498483031|-163938.22557606117|-163934.06346645922|-163929.92658176398
7.0|1.0|0.08|0.0|-164467.4693430812|-164462.60093609226|-164457.75775401|-164452.85150966106|-164447.97049021878
7.2|1.0|0.08|0.0|-164261.1271091447|-164257.1415738895|-164253.1560386343|-164249.1326660191|-164245.13451831057
7.4|1.0|0.08|0.0|-164240.36116110274|-164236.60265000767|-164232.86936381928|-164229.08562781752|-164225.31450426907
7.6|1.0|0.08|0.0|-164092.86641838506|-164088.6034091564|-164084.3656248344|-164080.06477824575|-164075.7765441104
7.8|1.0|0.08|0.0|-164213.252402202|-164209.38037902687|-164205.52096830506|-164201.61110776992|-164197.70124723477
8.0|1.0|0.08|0.0|-164382.8344613098|-164378.899375868|-164374.96429042617|-164370.97875517097|-164367.0058323691
8.2|1.0|0.08|0.0|-164628.4568683738|-164623.99205989172|-164619.51463895632|-164614.98676820754|-164610.49673481876
8.4|1.0|0.08|0.0|-164190.6256133157|-164186.69052787384|-164182.755442432|-164178.7699071768|-164174.8095968283
8.6|1.0|0.08|0.0|-164178.2437170261|-164174.0942198775|-164169.9447227289|-164165.7321633136|-164161.54482880497
8.8|1.0|0.08|0.0|-164290.60301475145|-164286.35261797614|-164282.1274461075|-164277.86443687885|-164273.6014276502
9.0|1.0|0.08|0.0|-164125.20330166104|-164121.28082867252|-164117.37096813737|-164113.43588269554|-164109.48818480037
9.2|1.0|0.08|0.0|-164272.37801967628|-164268.07717308763|-164263.7889389523|-164259.4502550036|-164255.1115710549
9.4|1.0|0.08|0.0|-164270.0805197816|-164266.03192225972|-164261.99593719115|-164257.90950230928|-164253.82306742735
9.6|1.0|0.08|0.0|-164060.16423032706|-164056.43094413867|-164052.7102704036|-164048.93914685515|-164045.1806357601
9.8|1.0|0.08|0.0|-164030.88012681928|-164027.19729044422|-164023.48922916251|-164019.75594297412|-164016.0226567857
10.0|1.0|0.08|0.0|-164205.39925481108|-164201.4767818226|-164197.5795337408|-164193.64444829896|-164189.68413795045
10.2|1.0|0.08|0.0|-164315.63109223393|-164311.7212316988|-164307.8365960703|-164303.88889817512|-164299.9538127333
10.4|1.0|0.08|0.0|-164343.47275790662|-164339.57550982482|-164335.69087419633|-164331.74317630116|-164327.833315766
