times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.0, 0.0)|(1.0, 0.02, 0.0)|(1.0, 0.04, 0.0)|(1.0, 0.06, 0.0)
16.2|1.0|0.02|0.0|0|3.7528354911657518|7.5056709823315035|11.258506473497254
16.4|1.0|0.02|0.0|0|4.416881159527693|8.833762319055387|13.25064347858308
16.6|1.0|0.02|0.0|0|4.9926396542863225|9.985279308572645|14.977918962858967
16.8|1.0|0.02|0.0|0|4.688048906214536|9.376097812429071|14.064146718643606
17.0|1.0|0.02|0.0|0|5.2184025691013085|10.436805138202617|15.655207707303925
17.2|1.0|0.02|0.0|0|4.80660596772097|9.61321193544194|14.419817903162912
17.4|1.0|0.02|0.0|0|5.067053129124106|10.134106258248211|15.201159387372318
17.6|1.0|0.02|0.0|0|4.7239943983743435|9.447988796748687|14.17198319512303
17.8|1.0|0.02|0.0|0|4.1753526779991805|8.350705355998361|12.526058033997542
18.0|1.0|0.02|0.0|0|4.54363631552842|9.08727263105684|13.63090894658526
18.2|1.0|0.02|0.0|0|4.270576700597885|8.54115340119577|12.811730101793655
18.4|1.0|0.02|0.0|0|4.601653600806022|9.203307201612043|13.804960802418062
18.6|1.0|0.02|0.0|0|4.478051558178268|8.956103116356536|13.434154674534803
18.8|1.0|0.02|0.0|0|4.190487622116925|8.38097524423385|12.571462866350775
19.0|1.0|0.02|0.0|0|3.9382385552249617|7.876477110449923|11.814715665674884
19.2|1.0|0.02|0.0|0|4.730931247613044|9.461862495226088|14.19279374283913
19.4|1.0|0.02|0.0|0|4.203730698014843|8.407461396029685|12.611192094044526
19.6|1.0|0.02|0.0|0|4.184812017987133|8.369624035974265|12.554436053961398
19.8|1.0|0.02|0.0|0|4.508321446208283|9.016642892416566|13.52496433862485
20.0|1.0|0.02|0.0|0|4.804083476888482|9.608166953776964|14.412250430665445
20.2|1.0|0.02|0.0|0|4.6697608489560665|9.339521697912133|14.009282546868198
20.4|1.0|0.02|0.0|0|5.10362924381625|10.2072584876325|15.310887731448746
20.6|1.0|0.02|0.0|0|4.934622369058779|9.869244738117558|14.803867107176337
20.8|1.0|0.02|0.0|0|4.252919266050449|8.505838532100897|12.758757798151345
21.0|1.0|0.02|0.0|0|4.222018755425234|8.444037510850467|12.6660562662757
21.2|1.0|0.02|0.0|0|3.4091461376834196|6.818292275366839|10.227438413050258
21.4|1.0|0.02|0.0|0|4.763723626147839|9.527447252295678|14.291170878443518
21.6|1.0|0.02|0.0|0|4.235261831494281|8.470523662988562|12.705785494482843
21.8|1.0|0.02|0.0|0|4.448412292715512|8.896824585431023|13.345236878146533
22.0|1.0|0.02|0.0|0|4.465439104746329|8.930878209492658|13.396317314238985
22.2|1.0|0.02|0.0|0|4.409944310073625|8.81988862014725|13.229832930220873
22.4|1.0|0.02|0.0|0|4.569491844951408|9.138983689902815|13.708475534854223
22.6|1.0|0.02|0.0|0|4.1009392032556935|8.201878406511387|12.30281760976708
22.8|1.0|0.02|0.0|0|3.620404731189483|7.240809462378966|10.861214193568449
23.0|1.0|0.02|0.0|0|4.379674422103562|8.759348844207125|13.139023266310687
23.2|1.0|0.02|0.0|0|4.258594870113302|8.517189740226604|12.775784610339906
23.4|1.0|0.02|0.0|0|4.700030736954068|9.400061473908137|14.100092210862202
23.6|1.0|0.02|0.0|0|4.671022094237269|9.342044188474539|14.013066282711806
23.8|1.0|0.02|0.0|0|4.448412292721332|8.896824585442664|13.345236878163997
24.0|1.0|0.02|0.0|0|4.947234822427272|9.894469644854544|14.841704467281815
24.2|1.0|0.02|0.0|0|4.725255643685814|9.450511287371627|14.175766931057442
24.4|1.0|0.02|0.0|0|4.582104298156919|9.164208596313838|13.746312894470757
24.6|1.0|0.02|0.0|0|4.290756626094808|8.581513252189616|12.872269878284422
24.8|1.0|0.02|0.0|0|4.563185618105926|9.126371236211853|13.689556854317779
25.0|1.0|0.02|0.0|0|4.25418051159475|8.5083610231895|12.76254153478425
25.2|1.0|0.02|0.0|0|4.260486737986794|8.520973475973587|12.781460213960381
25.4|1.0|0.02|0.0|0|4.184181395334308|8.368362790668616|12.552544186002924
25.6|1.0|0.02|0.0|0|3.8102221537235894|7.620444307447179|11.430666461170768
25.8|1.0|0.02|0.0|0|4.636337847483228|9.272675694966455|13.909013542449683
26.0|1.0|0.02|0.0|0|5.097953639716143|10.195907279432285|15.293860919148427
26.2|1.0|0.02|0.0|0|4.785164796934114|9.570329593868228|14.355494390802342
26.4|1.0|0.02|0.0|0|4.47426782206283|8.94853564412566|13.422803466188489
26.6|1.0|0.02|0.0|0|4.106614807354636|8.213229614709272|12.319844422063905
26.8|1.0|0.02|0.0|0|4.451565406247392|8.903130812494783|13.354696218742173
27.0|1.0|0.02|0.0|0|4.599131110140006|9.198262220280013|13.797393330420018
27.2|1.0|0.02|0.0|0|4.758048022288713|9.516096044577425|14.274144066866137
27.4|1.0|0.02|0.0|0|4.984441559771658|9.968883119543316|14.953324679314973
27.6|1.0|0.02|0.0|0|4.859578271557111|9.719156543114222|14.578734814671334
27.8|1.0|0.02|0.0|0|4.563185618186253|9.126371236372506|13.68955685455876
28.0|1.0|0.02|0.0|0|4.418142404764658|8.836284809529316|13.254427214293973
28.2|1.0|0.02|0.0|0|4.523456390167121|9.046912780334242|13.570369170501362
28.4|1.0|0.02|0.0|0|4.94597357700055|9.8919471540011|14.837920731001649
28.6|1.0|0.02|0.0|0|4.125533487292123|8.251066974584246|12.376600461876368
28.8|1.0|0.02|0.0|0|4.409313687364921|8.818627374729841|13.227941062094759
29.0|1.0|0.02|0.0|0|4.315981532753212|8.631963065506424|12.947944598259637
29.2|1.0|0.02|0.0|0|4.411836178237572|8.823672356475145|13.235508534712716
29.4|1.0|0.02|0.0|0|4.044813785943552|8.089627571887103|12.134441357830655
29.6|1.0|0.02|0.0|0|4.5184114088414935|9.036822817682987|13.55523422652448
29.8|1.0|0.02|0.0|0|4.334269589974428|8.668539179948857|13.002808769923286
30.0|1.0|0.02|0.0|0|4.664085244891466|9.328170489782933|13.9922557346744
30.2|1.0|0.02|0.0|0|4.33553083552455|8.6710616710491|13.006592506573652
30.4|1.0|0.02|0.0|0|4.894262518417673|9.788525036835345|14.682787555253016
30.6|1.0|0.02|0.0|0|4.767507362227771|9.535014724455541|14.302522086683311
30.8|1.0|0.02|0.0|0|4.493186502098688|8.986373004197375|13.479559506296063
31.0|1.0|0.02|0.0|0|4.73093124751118|9.46186249502236|14.19279374253354
31.2|1.0|0.02|0.0|0|4.702553227605531|9.405106455211062|14.107659682816593
31.4|1.0|0.02|0.0|0|4.351927024744218|8.703854049488436|13.055781074232653
